dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,322,85,1,1.83569755898418,1.46231270133198,1.01598099580742,0.67017359600843,3.37033704967187,8.3718151736506,19448.0962732919,60-69,60,70,bounded_band,ratio,paper,calendar_month,all,strict_band_60_69_ratio_paper_ncloc_calendar_month_all
treatment,507,86,1,2.1972649714637,1.87015998951029,1.16804243864648,0.704609130782305,4.11916436286308,9.36153534179905,155998.42800789,60-69,60,70,bounded_band,ratio,paper,calendar_month,all,strict_band_60_69_ratio_paper_ncloc_calendar_month_all
