outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,-6,-0.0565002543123722,-0.184944893255454,0.0719443846307099,0.0655329790525929,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,-5,-0.0756263411654205,-0.207007515550851,0.0557548332200102,0.0670312114211381,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,-4,-0.0270296609386301,-0.141077805796688,0.0870184839194277,0.0581878290092132,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,-3,0.0978767531407871,-0.0324023691808453,0.22815587546242,0.0664689399600166,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,-2,0.0655837025044271,-0.0679233168287557,0.19909072183761,0.0681158261903993,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,0,0.108891811478056,-0.0115423123204754,0.229325935276588,0.061445981529863,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,1,0.105284083307138,-0.0425736188008652,0.253141785415142,0.0754376031163283,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,2,0.0679569838937889,-0.0734211788558793,0.209335146643457,0.0721317156886062,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,3,-0.0164273235233257,-0.167542531981717,0.134687884935066,0.0770995961522405,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,4,-0.108189301727219,-0.269490081688132,0.0531114782336945,0.0822963163065884,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,5,-0.0999234050070233,-0.243281981092418,0.0434351710783715,0.0731421306558137,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
has_npr_scored_function_change_event,Any NPR-Scored Function-Change Event,6,-0.273846590056353,-0.496982691990766,-0.0507104881219405,0.113844949966537,,TRUE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-6,0.0810839025381725,-0.436987059564231,0.599154864640576,0.264321919440002,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-5,-0.0862797340924169,-0.491787638248314,0.31922817006348,0.206891787834641,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-4,-0.142630156877872,-0.512188464794674,0.226928151038929,0.188550157100409,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-3,0.0716299118613109,-0.325187034137533,0.468446857860155,0.202457625509614,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),-2,0.242060549773431,-0.236866949086358,0.720988048633219,0.244350764724382,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),0,0.574610752046421,0.13761267772681,1.01160882636603,0.222958201183475,,TRUE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),1,0.46148121056578,-0.0424664770324379,0.965428898163998,0.257116167141948,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),2,0.2393681601149,-0.256030683026889,0.73476700325669,0.252754511807035,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),3,-0.0704728600768727,-0.665881641720818,0.524935921567072,0.303779990634666,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),4,-0.344497252470614,-0.974140367177441,0.285145862236212,0.32124648709532,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),5,-0.14031872121077,-0.771864576145099,0.491227133723558,0.322217272925678,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,NPR-Scored Function-Change Events (log1p),6,-0.308408174852206,-1.16215599821926,0.545339648514846,0.435585624166863,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-6,-0.0228639355568188,-0.3660686452901,0.320340774176463,0.17510444374147,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-5,-0.0511609132514029,-0.319756243145113,0.217434416642307,0.13703843361924,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-4,-0.284107629077991,-0.558920343077887,-0.00929491507809538,0.140210568367294,,TRUE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-3,-0.236265735384037,-0.514524281542383,0.0419928107743097,0.141968645999156,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),-2,0.0419868080360588,-0.280594666699763,0.364568282771881,0.164582385069297,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),0,0.454649011150567,0.147134719581202,0.762163302719931,0.156895046719064,,TRUE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),1,0.207904828468978,-0.157210250443417,0.573019907381374,0.186283203526732,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),2,0.137567020208777,-0.200884509804516,0.476018550222069,0.172679352047598,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),3,-0.0527569375987238,-0.519522623563596,0.414008748366148,0.238145758145343,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),4,-0.244657848312638,-0.705079088580904,0.215763391955629,0.234908796055238,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),5,-0.104010874471291,-0.637928296223869,0.429906547281286,0.272406847832948,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,NPR AGC-Like Function-Change Events (log1p),6,0.14587366085989,-0.327006059633048,0.618753381352828,0.241265163516805,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-6,0.0722660505504023,-0.439916628794244,0.584448729895049,0.261317693543187,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-5,-0.0606784597419737,-0.465167553761832,0.343810634277884,0.206371986744825,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-4,-0.0965336747854149,-0.45792178302353,0.2648544334527,0.184381687876589,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-3,0.143732433026048,-0.253042327176973,0.540507193229069,0.202436102144399,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),-2,0.243248059425154,-0.221948294127675,0.708444412977984,0.23734507834328,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),0,0.570164517221027,0.14168227864425,0.998646755797803,0.218613387028967,,TRUE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),1,0.460628789344847,-0.0117783067056655,0.933035885395359,0.2410240285972,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),2,0.227820899255414,-0.261585360189178,0.717227158700007,0.2496970711452,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),3,-0.0409124547271381,-0.610687549758575,0.528862640304299,0.290701579097672,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),4,-0.288418868664294,-0.891531650487742,0.314693913159153,0.307710602971147,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),5,-0.080823723452476,-0.69184961543337,0.530202168528418,0.311747904071885,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,NPR HWC-Like Function-Change Events (log1p),6,-0.316082875275217,-1.15859416642405,0.526428415873617,0.429852699565732,,FALSE,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
