outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,panel,specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
has_npr_scored_function_change_event,treat,0.0123058975562895,0.0501546002790126,-0.0859971189905753,0.110608914103154,,Borusyak static treatment effect,Any NPR-Scored Function-Change Event,strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_scored_function_change_events,treat,0.202896314204943,0.200403190454641,-0.189893939086154,0.595686567496039,,Borusyak static treatment effect,NPR-Scored Function-Change Events (log1p),strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_agc_function_change_events,treat,0.137334651879441,0.143756747296134,-0.144428572820982,0.419097876579864,,Borusyak static treatment effect,NPR AGC-Like Function-Change Events (log1p),strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
log1p_npr_hwc_function_change_events,treat,0.217754862050631,0.19453463588838,-0.163533024290595,0.599042748391856,,Borusyak static treatment effect,NPR HWC-Like Function-Change Events (log1p),strict_range100_200_full_paper_ncloc_calendar_month_parse_clean,range100_200,full,paper,calendar_month,parse_clean
