time_to_event_calc,N
-14,14
-13,18
-12,20
-11,21
-10,22
-9,30
-8,31
-7,31
-6,31
-5,33
-4,35
-3,40
-2,42
-1,53
0,100
1,71
2,60
3,59
4,55
5,48
6,18
7,9
8,5
9,3
10,3
11,1
