outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,estimate_pct,conf_low_pct,conf_high_pct
log_commits,Commits,-6,-0.0363474555878182,-0.341696600818805,0.269001689643169,0.155790380219891,0.815520684119129,FALSE,strict,-3.569481795554,-28.9436243529691,30.8657352208554
log_commits,Commits,-5,-0.0319962937879462,-0.306242083316286,0.242249495740394,0.139921321187929,0.819122717743137,FALSE,strict,-3.1489828423382,-26.3791625882825,27.4112038690388
log_commits,Commits,-4,-0.149889900083244,-0.421957171669084,0.122177371502596,0.138809832441755,0.280221487107334,FALSE,strict,-13.9197254481448,-34.4237876010722,12.9954505735365
log_commits,Commits,-3,0.100520608441878,-0.169821982549442,0.370863199433198,0.137929893362919,0.46613597797793,FALSE,strict,10.5746429180287,-15.6184982975089,44.898483788048
log_commits,Commits,-2,0.056788966379677,-0.179627840052614,0.293205772811968,0.120620819608312,0.637779511658302,FALSE,strict,5.84324219992165,-16.4418876619894,34.0718645494714
log_commits,Commits,0,0.474705730088575,0.210882149656774,0.738529310520375,0.134603867567245,0.000420793656571096,TRUE,strict,60.7541076906308,23.4766828791825,109.285530975077
log_commits,Commits,1,0.481805211349531,0.19694984027199,0.766660582427072,0.145334372998745,0.000915940406363229,TRUE,strict,61.8994392852589,21.7682960527936,115.256592155294
log_commits,Commits,2,0.22994222163492,-0.0959723636603115,0.555856806930151,0.166282951681241,0.166714844492874,FALSE,strict,25.8527292179391,-9.15108769642203,74.3434131459613
log_commits,Commits,3,-0.0206478056595577,-0.367315894513402,0.326020283194287,0.176871473905023,0.907066854149269,FALSE,strict,-2.04360993144568,-30.740917515744,38.5443469806867
log_commits,Commits,4,-0.106056248521816,-0.469481427446368,0.257368930402736,0.185421009655384,0.56733866857343,FALSE,strict,-10.0625941808199,-37.467353864346,29.3522258427502
log_commits,Commits,5,0.113660785161823,-0.261833753185915,0.489155323509562,0.191578846095785,0.552990681994848,FALSE,strict,12.0372013606812,-23.0361036901866,63.0938022966663
log_commits,Commits,6,-0.193281651163415,-0.726659341037126,0.340096038710295,0.272131474425362,0.477548501333267,FALSE,strict,-17.5750209469196,-51.6478424273138,40.5082526397652
log_lines_added,Lines Added,-6,0.0852069895671428,-0.628802340879713,0.799216320013998,0.364290474717783,0.815063790601536,FALSE,strict,8.89424430972525,-46.6769953441224,122.379749984308
log_lines_added,Lines Added,-5,-0.0237044587471439,-0.638853443699198,0.59144452620491,0.313851522934722,0.939794922237201,FALSE,strict,-2.34257148994246,-47.2102658786271,80.659620699544
log_lines_added,Lines Added,-4,-0.0539977248159696,-0.719540453614555,0.611545003982616,0.339562616733972,0.87365200869719,FALSE,strict,-5.25657379133508,-51.3024007395449,84.3277070343373
log_lines_added,Lines Added,-3,0.222687177334731,-0.435632568228526,0.881006922897988,0.335877421205743,0.507329701588666,FALSE,strict,24.9429662679107,-35.3144642514036,141.332851914472
log_lines_added,Lines Added,-2,0.219052096406847,-0.376062912611491,0.814167105425185,0.303630106642009,0.470636428513811,FALSE,strict,24.4896129613465,-31.344086154477,125.729480058133
log_lines_added,Lines Added,0,1.78417824260219,1.14253240187305,2.42582408333133,0.327370326902622,5.0361203209757e-08,TRUE,strict,495.468463032989,213.469663379485,1031.15472369527
log_lines_added,Lines Added,1,1.30103512438769,0.629716513406623,1.97235373536876,0.342509495398504,0.000145552474727127,TRUE,strict,267.309681255761,87.7078377277167,618.757424183395
log_lines_added,Lines Added,2,1.33304815920122,0.593958469367899,2.07213784903455,0.377086576445574,0.000407582401995895,TRUE,strict,279.258619297781,81.1143600728063,694.178331601302
log_lines_added,Lines Added,3,0.284234639513141,-0.500965713378318,1.0694349924046,0.400612424944622,0.478014059459371,FALSE,strict,32.874467018067,-39.4054792324879,191.373275367193
log_lines_added,Lines Added,4,-0.0312595862471532,-0.904879091489704,0.842359918995397,0.445724237368648,0.944088500598294,FALSE,strict,-3.07760567884564,-59.540919938321,132.183987046281
log_lines_added,Lines Added,5,0.941857243440267,0.0896389559655668,1.79407553091497,0.434805248711582,0.0302990493804508,TRUE,strict,156.474034490031,9.37793099132045,501.391247497757
log_lines_added,Lines Added,6,0.596525416153323,-0.322352327683786,1.51540315999043,0.468815175427097,0.203227256554228,FALSE,strict,81.579868208885,-27.5557095930091,355.125564120016
