repo_name,time,dataset_source,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,age,ncloc_paper,ncloc_python_snapshot,paper_covariate_matched,python_snapshot_ncloc_matched,analysis_ready_agc_paper_ncloc,analysis_ready_agc_python_snapshot_ncloc,latest_commit,python_file_count,files_analyzed,failure_count,agc_analysis_status,agc_repo_month_matched,top_level_blocks_scored,agc_top_level_blocks,human_top_level_blocks,agc_top_level_block_ratio,function_blocks_scored,agc_function_blocks,human_function_blocks,agc_function_block_ratio,class_blocks_scored,agc_class_blocks,human_class_blocks,agc_class_block_ratio,comparison_status,changed_top_level_blocks,changed_agc_top_level_blocks,changed_hwc_top_level_blocks,agc_changed_top_level_block_ratio,added_top_level_blocks,added_agc_top_level_blocks,added_hwc_top_level_blocks,agc_added_top_level_block_ratio,modified_top_level_blocks,modified_agc_top_level_blocks,modified_hwc_top_level_blocks,agc_modified_top_level_block_ratio,changed_function_blocks,changed_agc_function_blocks,changed_hwc_function_blocks,agc_changed_function_block_ratio,changed_class_blocks,changed_agc_class_blocks,changed_hwc_class_blocks,agc_changed_class_block_ratio,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc
1mrat/cursor-taskrunner,2024-08,treatment,1,2024-08,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,264,8,1,9.0,0.0,0.0,209.0,121,1,1,1,1,53d6ca106d0525b5eec3d03eba2406488da0ddcd,1,1,0,ok,1,8,4,4,0.5,8,4,4,0.5,0,0,0,,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Anemll/Anemll,2025-02,treatment,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,2742,701,2,212.0,3.0,0.0,3990.0,4482,1,1,1,1,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,22,22,0,ok,1,73,12,61,0.1643835616438356,56,11,45,0.1964285714285714,17,1,16,0.0588235294117647,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Anemll/Anemll,2025-04,treatment,1,2025-02,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,23138,423,2,23.0,5.0,51.0,4093.0,4609,1,1,1,1,d175746c2ffbabd0a0e4491212c0ef0a501d9848,23,23,0,ok,1,77,12,65,0.1558441558441558,60,11,49,0.1833333333333333,17,1,16,0.0588235294117647,ready,19,1,18,0.05263157894736842,4,0,4,0.0,15,1,14,0.06666666666666667,16,1,15,0.0625,3,0,3,0.0,1,1
Anemll/Anemll,2025-05,treatment,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,551.0,2.0,81.0,4093.0,4609,1,1,1,1,4bfa0b08183a437e759798f2245bbcba2313521f,23,23,0,ok,1,77,12,65,0.1558441558441558,60,11,49,0.1833333333333333,17,1,16,0.0588235294117647,ready,1,0,1,0.0,0,0,0,,1,0,1,0.0,1,0,1,0.0,0,0,0,,1,1
Anemll/Anemll,2025-06,treatment,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,91287,9154,3,74.0,3.0,112.0,18458.0,19392,1,1,1,1,b0ea623eaac791a0803849c4f35ef8357f98935b,113,113,0,ok,1,284,29,255,0.102112676056338,230,26,204,0.1130434782608695,54,3,51,0.0555555555555555,ready,226,17,209,0.0752212389380531,207,17,190,0.0821256038647343,19,0,19,0.0,186,15,171,0.08064516129032258,40,2,38,0.05,1,1
Anemll/Anemll,2025-07,treatment,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5389,567,1,35.0,2.0,142.0,21444.0,22574,1,1,1,1,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,119,119,0,ok,1,311,34,277,0.1093247588424437,248,31,217,0.125,63,3,60,0.0476190476190476,ready,48,6,42,0.125,27,4,23,0.14814814814814814,21,2,19,0.09523809523809523,32,6,26,0.1875,16,0,16,0.0,1,1
Apocrathia/home-assistant-config,2024-01,treatment,0,2025-02,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,22,1,3.0,0.0,2070.0,48.0,59,1,1,1,1,bbe44a43577ec4c93304b6303bf7604710f10533,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Apocrathia/home-assistant-config,2024-02,treatment,0,2025-02,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4.0,0.0,2101.0,48.0,59,1,1,1,1,26904b6524e3139a36005bd9d482feb396099c25,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-03,treatment,0,2025-02,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,147,1,2.0,0.0,2130.0,48.0,59,1,1,1,1,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-04,treatment,0,2025-02,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,108,40,1,6.0,0.0,2161.0,48.0,59,1,1,1,1,a47d24eaa2e788005bda981bc81601dc1324825e,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-05,treatment,0,2025-02,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,120,46,4,5.0,2.0,2191.0,48.0,59,1,1,1,1,b26234ca26d401d2aa3188cb603a9f7838bf808d,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-06,treatment,0,2025-02,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,2.0,0.0,2222.0,48.0,59,1,1,1,1,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-07,treatment,0,2025-02,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,500,61,3,0.0,0.0,2252.0,48.0,59,1,1,1,1,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-10,treatment,0,2025-02,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0.0,0.0,2344.0,48.0,59,1,1,1,1,26df583b9e21bfa769cc54f3d1b5919f8bcb8fd0,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-11,treatment,0,2025-02,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,315,450,3,0.0,6.0,2375.0,48.0,59,1,1,1,1,74da233ac46648847f2a3055f9332c60819a8d8b,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2024-12,treatment,0,2025-02,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,26,8,1,1.0,0.0,2405.0,48.0,59,1,1,1,1,f50010a30ef67bdc89a203fa9f3eacaa764e6a8f,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-01,treatment,0,2025-02,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,465,213,2,0.0,0.0,2436.0,48.0,59,1,1,1,1,72683f55d312c6f3938b60b7762200802a81f56c,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-02,treatment,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,207,78,1,0.0,0.0,2467.0,48.0,59,1,1,1,1,752ba2d5b9ca6bf5b909cf1374aacb9f4809464a,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-03,treatment,1,2025-02,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,16,9,1,0.0,0.0,2495.0,48.0,59,1,1,1,1,8b66b9e3b784774ae1ee8cb39da7ccc9847981e0,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-05,treatment,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0.0,0.0,2556.0,48.0,59,1,1,1,1,b7ca64b95ae0af3ec3d7843f5f3be6a84dd04aff,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-06,treatment,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,2,1,0.0,0.0,2587.0,57.0,68,1,1,1,1,840bf311a24b770f0bddce641acfcc26f8c852d3,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,1,0,1,0.0,0,0,0,,1,0,1,0.0,1,0,1,0.0,0,0,0,,1,1
Apocrathia/home-assistant-config,2025-07,treatment,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,855,159,3,0.0,0.0,2617.0,57.0,68,1,1,1,1,87df5e43eff43caa79cc09749b9a6c1368729d3e,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Apocrathia/home-assistant-config,2025-08,treatment,1,2025-02,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,133,35,3,0.0,0.0,2648.0,57.0,68,1,1,1,1,56ce01ca8b29b3fd1acec9be4f6835c5047154f6,2,2,0,ok,1,1,0,1,0.0,1,0,1,0.0,0,0,0,,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,treatment,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,64,357094,344695,3,12.0,0.0,0.0,6573.0,2936,1,1,1,1,8a14987a286e25f89700138a78d8383f04a0115a,13,13,0,ok,1,19,6,13,0.3157894736842105,8,3,5,0.375,11,3,8,0.2727272727272727,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,treatment,1,2025-03,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,1,1.0,0.0,13.0,6573.0,2936,1,1,1,1,89ec1d902b5b85a3b89144a32b132bd87b662f58,13,13,0,ok,1,19,6,13,0.3157894736842105,8,3,5,0.375,11,3,8,0.2727272727272727,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-06,treatment,1,2025-03,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,1,0.0,0.0,74.0,6573.0,2936,1,1,1,1,fcaef112fb7619c370516489ecd6cc3f77e5fb56,13,13,0,ok,1,19,6,13,0.3157894736842105,8,3,5,0.375,11,3,8,0.2727272727272727,ready,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-08,treatment,1,2025-03,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1009,1,1,0.0,0.0,0.0,7296.0,3570,1,1,1,1,e5dde69cff032c97647d5cc4b52836d45d2c12ae,15,15,0,ok,1,31,10,21,0.3225806451612903,20,7,13,0.35,11,3,8,0.2727272727272727,ready,12,4,8,0.3333333333333333,12,4,8,0.3333333333333333,0,0,0,,12,4,8,0.3333333333333333,0,0,0,,1,1
Chocksy/qc-options-framework,2024-04,treatment,0,2025-03,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7346,12,1,1.0,2.0,0.0,4036.0,4176,1,1,1,1,ddcf0acdc52bd7f3b95ddad64d911dd2b6466f41,63,63,0,ok,1,60,16,44,0.2666666666666666,1,1,0,1.0,59,15,44,0.2542372881355932,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
Chocksy/qc-options-framework,2024-06,treatment,0,2025-03,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,462,501,2,5.0,10.0,36.0,4123.0,4126,1,1,1,1,54b5d33a2f3e6c6ef0290ab041141ffcc7e4bb76,62,62,0,ok,1,56,15,41,0.2678571428571428,1,1,0,1.0,55,14,41,0.2545454545454545,ready,18,3,15,0.16666666666666666,1,0,1,0.0,17,3,14,0.17647058823529413,0,0,0,,18,3,15,0.16666666666666666,1,1
Chocksy/qc-options-framework,2024-07,treatment,0,2025-03,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,246,159,2,0.0,0.0,66.0,4179.0,4182,1,1,1,1,a7e14b0436c9bb305f456b6a2578f54ab749aa9a,63,63,0,ok,1,57,15,42,0.2631578947368421,1,1,0,1.0,56,14,42,0.25,ready,7,1,6,0.14285714285714285,1,0,1,0.0,6,1,5,0.16666666666666666,0,0,0,,7,1,6,0.14285714285714285,1,1
Chocksy/qc-options-framework,2024-08,treatment,0,2025-03,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4116,1083,3,1.0,4.0,97.0,4467.0,5618,1,1,1,1,ac3b7dfbc87ddcf9f1e25f8fe3098df1d2882485,67,67,0,ok,1,60,15,45,0.25,1,1,0,1.0,59,14,45,0.2372881355932203,ready,24,4,20,0.16666666666666666,3,0,3,0.0,21,4,17,0.19047619047619047,0,0,0,,24,4,20,0.16666666666666666,1,1
Chocksy/qc-options-framework,2024-09,treatment,0,2025-03,0,-6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1088,608,2,1.0,11.0,128.0,4631.0,5769,1,1,1,1,c4cae7ee5c6730684da47b2c83218111af20e1a1,68,68,0,ok,1,63,15,48,0.238095238095238,1,1,0,1.0,62,14,48,0.2258064516129032,ready,18,2,16,0.1111111111111111,4,0,4,0.0,14,2,12,0.14285714285714285,0,0,0,,18,2,16,0.1111111111111111,1,1
Chocksy/qc-options-framework,2024-10,treatment,0,2025-03,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,46,14,1,0.0,1.0,158.0,4645.0,5783,1,1,1,1,a101728f870ee1a9765e15cabf37e1170bd33e53,68,68,0,ok,1,63,15,48,0.238095238095238,1,1,0,1.0,62,14,48,0.2258064516129032,ready,5,1,4,0.2,0,0,0,,5,1,4,0.2,0,0,0,,5,1,4,0.2,1,1
Chocksy/qc-options-framework,2024-11,treatment,0,2025-03,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,8666,1236,1,1.0,2.0,189.0,9277.0,10504,1,1,1,1,eac11d6d9fdffa581b21cfaf8a24f71639656376,99,99,0,ok,1,128,54,74,0.421875,12,8,4,0.6666666666666666,116,46,70,0.396551724137931,ready,71,41,30,0.5774647887323944,67,40,27,0.5970149253731343,4,1,3,0.25,12,8,4,0.6666666666666666,59,33,26,0.559322033898305,1,1
Chocksy/qc-options-framework,2024-12,treatment,0,2025-03,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,316,148,1,0.0,2.0,219.0,9402.0,10635,1,1,1,1,a382960aba410d0af0234db18e653f1ed10634a0,100,100,0,ok,1,131,56,75,0.4274809160305343,12,8,4,0.6666666666666666,119,48,71,0.4033613445378151,ready,10,6,4,0.6,3,2,1,0.6666666666666666,7,4,3,0.5714285714285714,0,0,0,,10,6,4,0.6,1,1
Chocksy/qc-options-framework,2025-01,treatment,0,2025-03,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,73,7,2,0.0,0.0,250.0,9444.0,10677,1,1,1,1,2c53c7c3c63650bb5ab0ad698321326da37928ad,100,100,0,ok,1,131,56,75,0.4274809160305343,12,8,4,0.6666666666666666,119,48,71,0.4033613445378151,ready,2,1,1,0.5,0,0,0,,2,1,1,0.5,0,0,0,,2,1,1,0.5,1,1
Chocksy/qc-options-framework,2025-03,treatment,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,6077,1105,1,3.0,0.0,309.0,9863.0,11117,1,1,1,1,e4ce33d3a1c00a3a017343a5e937ea0bb4e1e522,101,101,0,ok,1,135,58,77,0.4296296296296296,12,8,4,0.6666666666666666,123,50,73,0.4065040650406504,ready,14,4,10,0.2857142857142857,4,3,1,0.75,10,1,9,0.1,0,0,0,,14,4,10,0.2857142857142857,1,1
DannyMac180/mirror,2024-12,treatment,1,2024-12,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,7096,1779,1,8.0,0.0,226.0,3664.0,3261,1,1,1,1,07faea189c83c42cd4cb5361ea41527168d3a377,42,42,0,ok,1,117,39,78,0.3333333333333333,95,34,61,0.3578947368421052,22,5,17,0.2272727272727272,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
DataDog/integrations-core,2024-01,treatment,0,2025-03,0,-14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235,48568,7872,45,10.0,10.0,2819.0,409310.0,361969,1,1,1,1,3f21b7bd08df0737cb477548d027a7a93f92f1ff,4205,4205,0,ok,1,13102,5497,7605,0.4195542665241947,10620,5022,5598,0.4728813559322034,2482,475,2007,0.1913779210314262,no_previous_month,,,,,,,,,,,,,,,,,,,,,0,0
DataDog/integrations-core,2024-02,treatment,0,2025-03,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199,44603,13161,51,5.0,7.0,2850.0,409208.0,362799,1,1,1,1,1209aff535676d2788511da7ff82444c89640360,4212,4212,0,ok,1,13100,5503,7597,0.4200763358778626,10617,5029,5588,0.4736742959404728,2483,474,2009,0.1908981071284736,ready,294,34,260,0.11564625850340136,81,24,57,0.2962962962962963,213,10,203,0.046948356807511735,210,33,177,0.15714285714285714,84,1,83,0.011904761904761904,1,1
DataDog/integrations-core,2024-03,treatment,0,2025-03,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,115076,16734,52,16.0,9.0,2879.0,434278.0,369688,1,1,1,1,de516ffa17050c785c973acb4fcbab0a92a4253b,4289,4289,0,ok,1,13340,5640,7700,0.4227886056971514,10810,5153,5657,0.4766882516188714,2530,487,2043,0.1924901185770751,ready,439,150,289,0.3416856492027335,254,140,114,0.5511811023622047,185,10,175,0.05405405405405406,333,136,197,0.4084084084084084,106,14,92,0.1320754716981132,1,1
DataDog/integrations-core,2024-04,treatment,0,2025-03,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,21104,3587,37,10.0,8.0,2910.0,441517.0,377011,1,1,1,1,6d0b7455cbbd6b6bfc4a6d2a4ad3345d7a3b31ec,4334,4334,0,ok,1,13445,5662,7783,0.4211230940870212,10894,5170,5724,0.47457315953736,2551,492,2059,0.1928655429243434,ready,403,41,362,0.10173697270471464,134,35,99,0.26119402985074625,269,6,263,0.022304832713754646,340,35,305,0.10294117647058823,63,6,57,0.09523809523809523,1,1
DataDog/integrations-core,2024-05,treatment,0,2025-03,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,29120,3821,45,6.0,6.0,2940.0,447709.0,382729,1,1,1,1,970e957779bbea1ac84e41927e6e0bd9f118f7ba,4380,4380,0,ok,1,13661,5759,7902,0.4215650391625796,11053,5260,5793,0.4758888989414638,2608,499,2109,0.1913343558282208,ready,314,100,214,0.3184713375796178,216,97,119,0.44907407407407407,98,3,95,0.030612244897959183,212,90,122,0.42452830188679247,102,10,92,0.09803921568627451,1,1
DataDog/integrations-core,2024-06,treatment,0,2025-03,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155,13412,4653,44,12.0,5.0,2971.0,449685.0,384743,1,1,1,1,40193a9e2b1b854a8f3b95dd0e7041259f22653d,4383,4383,0,ok,1,13733,5761,7972,0.419500473312459,11115,5298,5817,0.4766531713900135,2618,463,2155,0.1768525592055004,ready,512,49,463,0.095703125,258,44,214,0.17054263565891473,254,5,249,0.01968503937007874,225,46,179,0.20444444444444446,287,3,284,0.010452961672473868,1,1
DataDog/integrations-core,2024-07,treatment,0,2025-03,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148,108977,6988,53,8.0,5.0,3001.0,506444.0,391612,1,1,1,1,cdbf62d31e3f4f8ab0702b386c32dd06473d95e7,4408,4408,0,ok,1,13850,5805,8045,0.4191335740072202,11211,5340,5871,0.4763179020604763,2639,465,2174,0.17620310723759,ready,233,51,182,0.21888412017167383,122,47,75,0.38524590163934425,111,4,107,0.036036036036036036,165,47,118,0.28484848484848485,68,4,64,0.058823529411764705,1,1
DataDog/integrations-core,2024-08,treatment,0,2025-03,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209,59996,5918,53,21.0,6.0,3032.0,511113.0,396425,1,1,1,1,523c5afc8405d8726f7cf8867bbd5f75a75ce24e,4470,4470,0,ok,1,14014,5893,8121,0.4205080633652062,11335,5422,5913,0.4783414203793559,2679,471,2208,0.1758118701007838,ready,607,112,495,0.18451400329489293,203,100,103,0.49261083743842365,404,12,392,0.0297029702970297,507,105,402,0.20710059171597633,100,7,93,0.07,1,1
DataDog/integrations-core,2024-09,treatment,0,2025-03,0,-6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171,114966,22299,53,10.0,8.0,3063.0,545858.0,408264,1,1,1,1,c1e85309a37c7c508f41c365f3002708f77f8cbf,4418,4418,0,ok,1,14104,5981,8123,0.4240640952921157,11343,5494,5849,0.4843515824737723,2761,487,2274,0.1763853676204274,ready,723,254,469,0.35131396957123096,381,227,154,0.5958005249343832,342,27,315,0.07894736842105263,494,237,257,0.4797570850202429,229,17,212,0.07423580786026202,1,1
DataDog/integrations-core,2024-10,treatment,0,2025-03,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141,100590,78175,55,12.0,13.0,3093.0,526367.0,388781,1,1,1,1,cbb5fc6a80505309a1b00b37b77d772255490afa,4434,4434,0,ok,1,14164,6001,8163,0.423679751482632,11397,5509,5888,0.4833728174080898,2767,492,2275,0.177809902421395,ready,282,43,239,0.1524822695035461,82,23,59,0.2804878048780488,200,20,180,0.1,182,36,146,0.1978021978021978,100,7,93,0.07,1,1
DataDog/integrations-core,2024-11,treatment,0,2025-03,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128,82686,5126,51,9.0,28.0,3124.0,530105.0,392540,1,1,1,1,c08fd423affb8f7257d8fcb8e9a5afd869681415,4471,4471,0,ok,1,14274,6062,8212,0.4246882443603755,11490,5568,5922,0.4845953002610966,2784,494,2290,0.1774425287356321,ready,218,65,153,0.2981651376146789,111,61,50,0.5495495495495496,107,4,103,0.037383177570093455,165,63,102,0.38181818181818183,53,2,51,0.03773584905660377,1,1
DataDog/integrations-core,2024-12,treatment,0,2025-03,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,59478,2322,46,10.0,11.0,3154.0,545404.0,396752,1,1,1,1,e6b077a2f4e4526dc00261698d752e7481547e66,4551,4551,0,ok,1,14491,6180,8311,0.4264716030639707,11642,5674,5968,0.48737330355609,2849,506,2343,0.1776061776061776,ready,340,144,196,0.4235294117647059,240,135,105,0.5625,100,9,91,0.09,229,127,102,0.5545851528384279,111,17,94,0.15315315315315314,1,1
DataDog/integrations-core,2025-01,treatment,0,2025-03,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,137,73303,6537,41,10.0,5.0,3185.0,550705.0,401980,1,1,1,1,82c4055486147402d96748c0abd63de6850e83d1,4564,4564,0,ok,1,14587,6212,8375,0.4258586412559128,11720,5705,6015,0.4867747440273037,2867,507,2360,0.1768399023369375,ready,311,36,275,0.1157556270096463,104,31,73,0.2980769230769231,207,5,202,0.024154589371980676,126,34,92,0.2698412698412698,185,2,183,0.010810810810810811,1,1
DataDog/integrations-core,2025-02,treatment,0,2025-03,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,153,97879,4721,48,28.0,13.0,3216.0,551182.0,402468,1,1,1,1,c3628b5ded79e88ab572dfd7bac6e5c1cd91f1d8,4575,4575,0,ok,1,14633,6244,8389,0.4267067586960978,11760,5736,6024,0.4877551020408163,2873,508,2365,0.1768186564566655,ready,143,36,107,0.2517482517482518,48,32,16,0.6666666666666666,95,4,91,0.042105263157894736,105,33,72,0.3142857142857143,38,3,35,0.07894736842105263,1,1
DataDog/integrations-core,2025-03,treatment,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,149,55897,6165,61,9.0,8.0,3244.0,554804.0,405951,1,1,1,1,67cf3ad93e6873944bcdbd153c7305b03c2f51d4,4424,4424,0,ok,1,14816,6326,8490,0.4269708423326134,11898,5801,6097,0.487560934610859,2918,525,2393,0.1799177518848526,ready,372,99,273,0.2661290322580645,201,86,115,0.42786069651741293,171,13,158,0.07602339181286549,256,81,175,0.31640625,116,18,98,0.15517241379310345,1,1
DataDog/integrations-core,2025-04,treatment,1,2025-03,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,154,46834,3096,61,10.0,15.0,3275.0,554848.0,407725,1,1,1,1,fe4697fca14149122b2d992e53f8a0396755ebff,4441,4441,0,ok,1,14897,6367,8530,0.4274014902329328,11965,5841,6124,0.4881738403677392,2932,526,2406,0.1793997271487039,ready,229,52,177,0.22707423580786026,87,42,45,0.4827586206896552,142,10,132,0.07042253521126761,147,49,98,0.3333333333333333,82,3,79,0.036585365853658534,1,1
DataDog/integrations-core,2025-05,treatment,1,2025-03,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,162,116050,8249,59,9.0,12.0,3305.0,563812.0,414875,1,1,1,1,1c924825332db0360a98ffc39e7c9d87618d66aa,4497,4497,0,ok,1,15160,6423,8737,0.4236807387862797,12191,5889,6302,0.4830612747108522,2969,534,2435,0.1798585382283597,ready,371,68,303,0.18328840970350405,269,57,212,0.21189591078066913,102,11,91,0.10784313725490197,291,59,232,0.2027491408934708,80,9,71,0.1125,1,1
