dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,378,86,1,1.99073697534671,0.965318250295099,1.69032986256002,0.289859936199749,3.41045009551697,8.38038485823081,18988.9285714286,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
treatment,584,96,1,2.47049016631517,1.36713638277515,2.16377626626936,0.274431995014268,3.95100633495215,9.0677062137601,137759.943493151,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
