outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.034174046302124,-0.10767093930924,0.176019031913488,0.072369890618043,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,0.038493342411632,-0.0972453715387059,0.17423205636197,0.0692544458930295,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,0.0260428329461114,-0.117540645940678,0.169626311832901,0.0732568769830557,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,-0.0141032178155107,-0.163580661971175,0.135374226340153,0.0762640021202368,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,-0.0160737053226891,-0.134943378390058,0.10279596774468,0.0606477923813108,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,-0.0549104541783891,-0.143556839137615,0.0337359307808367,0.0452277474281765,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,0.00862773928544105,-0.104124708212147,0.121380186783029,0.0575267589273407,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,-0.0618588109522311,-0.203169582714607,0.0794519608101446,0.0720973325318244,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,-0.090774135707309,-0.195555601452031,0.0140073300374128,0.0534599315024091,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.100572999405343,-0.212336927790983,0.0111909289802976,0.0570224124416533,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,-0.0628730113553538,-0.187335062734967,0.0615890400242592,0.0635010466222516,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,0.0359431935772511,-0.125438151268876,0.197324538423378,0.0823374208398609,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,ratio,paper,calendar_month,all,strict_width20_80_139_band_120_139_ratio_paper_ncloc_calendar_month_all
