outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,treat,0.0331682289085367,0.0515791786873411,-0.0679269613186518,0.134263419135725,,Borusyak static treatment effect,Any Function-Change Event,width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_80_99_full_paper_ncloc_calendar_month_all
log1p_function_change_events,treat,0.134735982808678,0.185575660127441,-0.228992311041106,0.498464276658462,,Borusyak static treatment effect,Total Function-Change Events (log1p),width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_80_99_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,treat,0.0860492111227527,0.157885177507716,-0.223405736792371,0.395504159037876,,Borusyak static treatment effect,AGC-Like Function-Change Events (log1p),width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_80_99_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,treat,0.0864165364420108,0.169520531129354,-0.245843704571522,0.418676777455544,,Borusyak static treatment effect,HWC-Like Function-Change Events (log1p),width20_80_139,post_hoc_exploratory_sensitivity,20,80-99,80,100,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_80_99_full_paper_ncloc_calendar_month_all
