group_type,dataset_source,post_event,paired_rows,paper_mean,paper_median,snapshot_mean,snapshot_median,pearson_correlation,spearman_correlation,mean_absolute_difference,median_snapshot_to_paper_ratio
all,all,all,1596,60724.72619047619,7683.0,37814.19736842105,7038.0,0.9772583670510365,0.949850073493006,24678.24686716792,1.0098914377672898
source,control,all,752,17487.132978723403,4892.5,14470.783244680852,4310.0,0.9376623507335137,0.9270632672213192,5741.110372340426,1.0132013201320131
source,treatment,all,844,99249.21682464455,9865.0,58613.068720379146,9363.0,0.9880894341323955,0.9694576836307987,41551.14573459716,0.9968075055345703
source_post,control,0,752,17487.132978723403,4892.5,14470.783244680852,4310.0,0.9376623507335137,0.9270632672213192,5741.110372340426,1.0132013201320131
source_post,treatment,0,417,117832.18465227817,8729.0,69636.90887290168,8904.0,0.9851979395962084,0.9762829348973556,48839.25659472422,0.9558963172077506
source_post,treatment,1,427,81101.44730679157,11136.0,47847.3981264637,9519.0,0.9927084423152714,0.9567601854696718,34433.71662763466,1.0145610278372592
