dataset_source,base_rows,base_repositories,detector_repo_month_rows,matched_base_rows,unmatched_base_rows,match_rate
treatment,853,100,1264,853,0,1.0
control,780,120,1779,780,0,1.0
all,1633,220,3043,1633,0,1.0
