group_type,dataset_source,post_event,outcome,rows,nonmissing,mean,median,std,min,max
source,control,all,agc_top_level_block_ratio,780,734,0.2287121709838907,0.20507646559048429,0.1352361527148526,0.0,1.0
source,control,all,agc_function_block_ratio,780,722,0.27799182703722874,0.21568627450980393,0.2080413267984884,0.0,1.0
source,control,all,agc_class_block_ratio,780,675,0.17677530102825034,0.16091954022988506,0.1659210132371806,0.0,1.0
source,treatment,all,agc_top_level_block_ratio,853,847,0.2499008112896262,0.23481781376518218,0.12140634307773701,0.0,1.0
source,treatment,all,agc_function_block_ratio,853,844,0.2798377619443718,0.2550335570469799,0.1736933486816933,0.0,1.0
source,treatment,all,agc_class_block_ratio,853,800,0.23894517753298863,0.22023360630664987,0.16302311787795362,0.0,1.0
source_post,control,0,agc_top_level_block_ratio,780,734,0.2287121709838907,0.20507646559048429,0.1352361527148526,0.0,1.0
source_post,control,0,agc_function_block_ratio,780,722,0.27799182703722874,0.21568627450980393,0.2080413267984884,0.0,1.0
source_post,control,0,agc_class_block_ratio,780,675,0.17677530102825034,0.16091954022988506,0.1659210132371806,0.0,1.0
source_post,treatment,0,agc_top_level_block_ratio,421,417,0.2612240222033338,0.23799582463465555,0.1347302970603065,0.0,1.0
source_post,treatment,0,agc_function_block_ratio,421,415,0.3028950818167728,0.2647058823529412,0.19528115463398446,0.0,1.0
source_post,treatment,0,agc_class_block_ratio,421,387,0.23908682815843454,0.22580645161290322,0.16640532476771192,0.0,1.0
source_post,treatment,1,agc_top_level_block_ratio,432,430,0.23891993000819353,0.2257841122330444,0.10591993391079833,0.0,0.5922865013774105
source_post,treatment,1,agc_function_block_ratio,432,429,0.25753289540114005,0.234375,0.1467000542112425,0.0,1.0
source_post,treatment,1,agc_class_block_ratio,432,413,0.23881244438033108,0.21428571428571427,0.15999101459072454,0.0,1.0
