repo_name,time,dataset_source,latest_commit,python_file_count,files_analyzed,failure_count,agc_analysis_status,top_level_blocks_scored,agc_top_level_blocks,human_top_level_blocks,agc_top_level_block_ratio,function_blocks_scored,agc_function_blocks,human_function_blocks,agc_function_block_ratio,class_blocks_scored,agc_class_blocks,human_class_blocks,agc_class_block_ratio,ncloc_python_snapshot,python_snapshot_ncloc_matched,regular_python_files_counted,tokenized_files,fallback_files,ncloc_failure_count
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,control,5221bbfc995e48829975b34634f55d0e5936e59a,3,3,0,ok,14,1,13,0.07142857142857142,14,1,13,0.07142857142857142,0,0,0,,408,1,3,3,0,0
