repo_name,time,dataset_source,duplicate_rows,stars_unique_nonmissing,issues_unique_nonmissing,age_unique_nonmissing,ncloc_unique_nonmissing,has_conflict
cameronapak/freedom-stack,2024-02,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-02,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-03,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-03,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-04,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-04,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-05,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-05,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-06,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-06,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-07,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-07,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-08,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-08,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-09,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-09,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-10,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-10,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-11,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-11,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2024-12,control,2,1,1,1,1,0
cameronapak/freedom-stack,2024-12,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-01,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-01,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-02,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-02,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-03,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-03,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-04,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-04,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-05,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-05,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-06,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-06,treatment,2,1,1,1,1,0
cameronapak/freedom-stack,2025-07,control,2,1,1,1,1,0
cameronapak/freedom-stack,2025-07,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-07,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-07,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-08,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-08,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-09,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-09,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-10,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-10,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-11,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-11,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-12,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2024-12,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-01,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-01,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-02,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-02,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-03,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-03,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-04,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-04,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-05,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-05,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-06,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-06,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-07,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-07,treatment,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-08,control,2,1,1,1,1,0
v112263/it-autonomos-spain,2025-08,treatment,2,1,1,1,1,0
yuiseki/TRIDENT,2024-01,control,2,1,1,1,1,0
yuiseki/TRIDENT,2024-01,treatment,2,1,1,1,1,0
yuiseki/TRIDENT,2024-02,control,2,1,1,1,1,0
yuiseki/TRIDENT,2024-02,treatment,2,1,1,1,1,0
yuiseki/TRIDENT,2024-03,control,2,1,1,1,1,0
yuiseki/TRIDENT,2024-03,treatment,2,1,1,1,1,0
yuiseki/TRIDENT,2024-04,control,2,1,1,1,1,0
