classification,token_range,event_month,treatment_event_row_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_event_row_count_per_100_repo_months,treatment_event_row_count_per_100_repositories,control_event_row_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_event_row_count_per_100_repo_months,control_event_row_count_per_100_repositories,event_row_count_difference_treatment_minus_control,treatment_event_row_share_within_month,control_event_row_share_within_month
AGC-like,100-110,-4,1,35,35,300,2.857142857142857,2.857142857142857,10,47,47,300,21.27659574468085,21.27659574468085,-9,0.04,0.09259259259259259
AGC-like,111-120,-4,6,35,35,300,17.142857142857142,17.142857142857142,3,47,47,300,6.382978723404255,6.382978723404255,3,0.24,0.027777777777777776
AGC-like,121-130,-4,6,35,35,300,17.142857142857142,17.142857142857142,5,47,47,300,10.638297872340425,10.638297872340425,1,0.24,0.046296296296296294
AGC-like,131-140,-4,5,35,35,300,14.285714285714286,14.285714285714286,28,47,47,300,59.57446808510638,59.57446808510638,-23,0.2,0.25925925925925924
AGC-like,141-150,-4,1,35,35,300,2.857142857142857,2.857142857142857,22,47,47,300,46.808510638297875,46.808510638297875,-21,0.04,0.2037037037037037
AGC-like,151-160,-4,1,35,35,300,2.857142857142857,2.857142857142857,3,47,47,300,6.382978723404255,6.382978723404255,-2,0.04,0.027777777777777776
AGC-like,161-170,-4,3,35,35,300,8.571428571428571,8.571428571428571,4,47,47,300,8.51063829787234,8.51063829787234,-1,0.12,0.037037037037037035
AGC-like,171-180,-4,1,35,35,300,2.857142857142857,2.857142857142857,13,47,47,300,27.659574468085108,27.659574468085108,-12,0.04,0.12037037037037036
AGC-like,181-190,-4,0,35,35,300,0.0,0.0,7,47,47,300,14.893617021276595,14.893617021276595,-7,0.0,0.06481481481481481
AGC-like,191-200,-4,1,35,35,300,2.857142857142857,2.857142857142857,13,47,47,300,27.659574468085108,27.659574468085108,-12,0.04,0.12037037037037036
HWC-like,ALL,-4,395,35,35,300,1128.5714285714287,1128.5714285714287,451,47,47,300,959.5744680851063,959.5744680851063,-56,1.0,1.0
HWC-like,100-110,-4,54,35,35,300,154.28571428571428,154.28571428571428,77,47,47,300,163.82978723404256,163.82978723404256,-23,0.13670886075949368,0.17073170731707318
HWC-like,111-120,-4,56,35,35,300,160.0,160.0,48,47,47,300,102.12765957446808,102.12765957446808,8,0.14177215189873418,0.10643015521064302
HWC-like,121-130,-4,38,35,35,300,108.57142857142857,108.57142857142857,42,47,47,300,89.36170212765957,89.36170212765957,-4,0.09620253164556962,0.09312638580931264
HWC-like,131-140,-4,35,35,35,300,100.0,100.0,56,47,47,300,119.14893617021276,119.14893617021276,-21,0.08860759493670886,0.12416851441241686
HWC-like,141-150,-4,42,35,35,300,120.0,120.0,33,47,47,300,70.2127659574468,70.2127659574468,9,0.10632911392405063,0.07317073170731707
HWC-like,151-160,-4,30,35,35,300,85.71428571428571,85.71428571428571,56,47,47,300,119.14893617021276,119.14893617021276,-26,0.0759493670886076,0.12416851441241686
HWC-like,161-170,-4,42,35,35,300,120.0,120.0,27,47,47,300,57.4468085106383,57.4468085106383,15,0.10632911392405063,0.0598669623059867
HWC-like,171-180,-4,39,35,35,300,111.42857142857143,111.42857142857143,39,47,47,300,82.97872340425532,82.97872340425532,0,0.09873417721518987,0.08647450110864745
HWC-like,181-190,-4,29,35,35,300,82.85714285714286,82.85714285714286,28,47,47,300,59.57446808510638,59.57446808510638,1,0.07341772151898734,0.06208425720620843
HWC-like,191-200,-4,30,35,35,300,85.71428571428571,85.71428571428571,45,47,47,300,95.74468085106383,95.74468085106383,-15,0.0759493670886076,0.09977827050997783
ALL,ALL,-3,745,40,40,300,1862.5,1862.5,394,45,45,300,875.5555555555555,875.5555555555555,351,1.0,1.0
ALL,100-110,-3,111,40,40,300,277.5,277.5,60,45,45,300,133.33333333333334,133.33333333333334,51,0.14899328859060404,0.15228426395939088
ALL,111-120,-3,98,40,40,300,245.0,245.0,52,45,45,300,115.55555555555556,115.55555555555556,46,0.13154362416107382,0.1319796954314721
ALL,121-130,-3,85,40,40,300,212.5,212.5,47,45,45,300,104.44444444444444,104.44444444444444,38,0.11409395973154363,0.11928934010152284
ALL,131-140,-3,101,40,40,300,252.5,252.5,52,45,45,300,115.55555555555556,115.55555555555556,49,0.13557046979865772,0.1319796954314721
ALL,141-150,-3,68,40,40,300,170.0,170.0,45,45,45,300,100.0,100.0,23,0.0912751677852349,0.11421319796954314
ALL,151-160,-3,67,40,40,300,167.5,167.5,36,45,45,300,80.0,80.0,31,0.08993288590604027,0.09137055837563451
ALL,161-170,-3,61,40,40,300,152.5,152.5,29,45,45,300,64.44444444444444,64.44444444444444,32,0.08187919463087248,0.07360406091370558
ALL,171-180,-3,48,40,40,300,120.0,120.0,32,45,45,300,71.11111111111111,71.11111111111111,16,0.06442953020134229,0.08121827411167512
ALL,181-190,-3,55,40,40,300,137.5,137.5,29,45,45,300,64.44444444444444,64.44444444444444,26,0.0738255033557047,0.07360406091370558
ALL,191-200,-3,51,40,40,300,127.5,127.5,12,45,45,300,26.666666666666668,26.666666666666668,39,0.06845637583892618,0.030456852791878174
AGC-like,ALL,-3,105,40,40,300,262.5,262.5,36,45,45,300,80.0,80.0,69,1.0,1.0
AGC-like,100-110,-3,14,40,40,300,35.0,35.0,6,45,45,300,13.333333333333334,13.333333333333334,8,0.13333333333333333,0.16666666666666666
AGC-like,111-120,-3,11,40,40,300,27.5,27.5,4,45,45,300,8.88888888888889,8.88888888888889,7,0.10476190476190476,0.1111111111111111
AGC-like,121-130,-3,15,40,40,300,37.5,37.5,9,45,45,300,20.0,20.0,6,0.14285714285714285,0.25
AGC-like,131-140,-3,12,40,40,300,30.0,30.0,6,45,45,300,13.333333333333334,13.333333333333334,6,0.11428571428571428,0.16666666666666666
AGC-like,141-150,-3,13,40,40,300,32.5,32.5,4,45,45,300,8.88888888888889,8.88888888888889,9,0.12380952380952381,0.1111111111111111
AGC-like,151-160,-3,10,40,40,300,25.0,25.0,2,45,45,300,4.444444444444445,4.444444444444445,8,0.09523809523809523,0.05555555555555555
AGC-like,161-170,-3,10,40,40,300,25.0,25.0,0,45,45,300,0.0,0.0,10,0.09523809523809523,0.0
AGC-like,171-180,-3,6,40,40,300,15.0,15.0,1,45,45,300,2.2222222222222223,2.2222222222222223,5,0.05714285714285714,0.027777777777777776
AGC-like,181-190,-3,8,40,40,300,20.0,20.0,3,45,45,300,6.666666666666667,6.666666666666667,5,0.0761904761904762,0.08333333333333333
AGC-like,191-200,-3,6,40,40,300,15.0,15.0,1,45,45,300,2.2222222222222223,2.2222222222222223,5,0.05714285714285714,0.027777777777777776
HWC-like,ALL,-3,640,40,40,300,1600.0,1600.0,358,45,45,300,795.5555555555555,795.5555555555555,282,1.0,1.0
HWC-like,100-110,-3,97,40,40,300,242.5,242.5,54,45,45,300,120.0,120.0,43,0.1515625,0.15083798882681565
HWC-like,111-120,-3,87,40,40,300,217.5,217.5,48,45,45,300,106.66666666666667,106.66666666666667,39,0.1359375,0.1340782122905028
HWC-like,121-130,-3,70,40,40,300,175.0,175.0,38,45,45,300,84.44444444444444,84.44444444444444,32,0.109375,0.10614525139664804
HWC-like,131-140,-3,89,40,40,300,222.5,222.5,46,45,45,300,102.22222222222223,102.22222222222223,43,0.1390625,0.12849162011173185
HWC-like,141-150,-3,55,40,40,300,137.5,137.5,41,45,45,300,91.11111111111111,91.11111111111111,14,0.0859375,0.11452513966480447
HWC-like,151-160,-3,57,40,40,300,142.5,142.5,34,45,45,300,75.55555555555556,75.55555555555556,23,0.0890625,0.09497206703910614
HWC-like,161-170,-3,51,40,40,300,127.5,127.5,29,45,45,300,64.44444444444444,64.44444444444444,22,0.0796875,0.08100558659217877
HWC-like,171-180,-3,42,40,40,300,105.0,105.0,31,45,45,300,68.88888888888889,68.88888888888889,11,0.065625,0.08659217877094973
HWC-like,181-190,-3,47,40,40,300,117.5,117.5,26,45,45,300,57.77777777777778,57.77777777777778,21,0.0734375,0.07262569832402235
HWC-like,191-200,-3,45,40,40,300,112.5,112.5,11,45,45,300,24.444444444444443,24.444444444444443,34,0.0703125,0.030726256983240222
ALL,ALL,-2,595,42,42,300,1416.6666666666667,1416.6666666666667,361,49,49,300,736.734693877551,736.734693877551,234,1.0,1.0
ALL,100-110,-2,76,42,42,300,180.95238095238096,180.95238095238096,51,49,49,300,104.08163265306122,104.08163265306122,25,0.12773109243697478,0.14127423822714683
ALL,111-120,-2,71,42,42,300,169.04761904761904,169.04761904761904,46,49,49,300,93.87755102040816,93.87755102040816,25,0.11932773109243698,0.12742382271468145
ALL,121-130,-2,90,42,42,300,214.28571428571428,214.28571428571428,48,49,49,300,97.95918367346938,97.95918367346938,42,0.15126050420168066,0.1329639889196676
ALL,131-140,-2,64,42,42,300,152.38095238095238,152.38095238095238,24,49,49,300,48.97959183673469,48.97959183673469,40,0.10756302521008404,0.0664819944598338
ALL,141-150,-2,63,42,42,300,150.0,150.0,33,49,49,300,67.34693877551021,67.34693877551021,30,0.10588235294117647,0.09141274238227147
ALL,151-160,-2,62,42,42,300,147.61904761904762,147.61904761904762,35,49,49,300,71.42857142857143,71.42857142857143,27,0.10420168067226891,0.09695290858725762
ALL,161-170,-2,57,42,42,300,135.71428571428572,135.71428571428572,39,49,49,300,79.59183673469387,79.59183673469387,18,0.0957983193277311,0.10803324099722991
ALL,171-180,-2,34,42,42,300,80.95238095238095,80.95238095238095,31,49,49,300,63.265306122448976,63.265306122448976,3,0.05714285714285714,0.08587257617728532
ALL,181-190,-2,34,42,42,300,80.95238095238095,80.95238095238095,26,49,49,300,53.06122448979592,53.06122448979592,8,0.05714285714285714,0.07202216066481995
ALL,191-200,-2,44,42,42,300,104.76190476190476,104.76190476190476,28,49,49,300,57.142857142857146,57.142857142857146,16,0.07394957983193277,0.07756232686980609
AGC-like,ALL,-2,73,42,42,300,173.8095238095238,173.8095238095238,32,49,49,300,65.3061224489796,65.3061224489796,41,1.0,1.0
AGC-like,100-110,-2,10,42,42,300,23.80952380952381,23.80952380952381,11,49,49,300,22.448979591836736,22.448979591836736,-1,0.136986301369863,0.34375
AGC-like,111-120,-2,8,42,42,300,19.047619047619047,19.047619047619047,4,49,49,300,8.16326530612245,8.16326530612245,4,0.1095890410958904,0.125
AGC-like,121-130,-2,12,42,42,300,28.571428571428573,28.571428571428573,3,49,49,300,6.122448979591836,6.122448979591836,9,0.1643835616438356,0.09375
AGC-like,131-140,-2,11,42,42,300,26.19047619047619,26.19047619047619,1,49,49,300,2.0408163265306123,2.0408163265306123,10,0.1506849315068493,0.03125
AGC-like,141-150,-2,5,42,42,300,11.904761904761905,11.904761904761905,4,49,49,300,8.16326530612245,8.16326530612245,1,0.0684931506849315,0.125
AGC-like,151-160,-2,11,42,42,300,26.19047619047619,26.19047619047619,4,49,49,300,8.16326530612245,8.16326530612245,7,0.1506849315068493,0.125
AGC-like,161-170,-2,4,42,42,300,9.523809523809524,9.523809523809524,3,49,49,300,6.122448979591836,6.122448979591836,1,0.0547945205479452,0.09375
AGC-like,171-180,-2,2,42,42,300,4.761904761904762,4.761904761904762,1,49,49,300,2.0408163265306123,2.0408163265306123,1,0.0273972602739726,0.03125
AGC-like,181-190,-2,4,42,42,300,9.523809523809524,9.523809523809524,1,49,49,300,2.0408163265306123,2.0408163265306123,3,0.0547945205479452,0.03125
AGC-like,191-200,-2,6,42,42,300,14.285714285714286,14.285714285714286,0,49,49,300,0.0,0.0,6,0.0821917808219178,0.0
HWC-like,ALL,-2,522,42,42,300,1242.857142857143,1242.857142857143,329,49,49,300,671.4285714285714,671.4285714285714,193,1.0,1.0
HWC-like,100-110,-2,66,42,42,300,157.14285714285714,157.14285714285714,40,49,49,300,81.63265306122449,81.63265306122449,26,0.12643678160919541,0.12158054711246201
HWC-like,111-120,-2,63,42,42,300,150.0,150.0,42,49,49,300,85.71428571428571,85.71428571428571,21,0.1206896551724138,0.1276595744680851
HWC-like,121-130,-2,78,42,42,300,185.71428571428572,185.71428571428572,45,49,49,300,91.83673469387755,91.83673469387755,33,0.14942528735632185,0.13677811550151975
HWC-like,131-140,-2,53,42,42,300,126.19047619047619,126.19047619047619,23,49,49,300,46.93877551020408,46.93877551020408,30,0.10153256704980843,0.06990881458966565
HWC-like,141-150,-2,58,42,42,300,138.0952380952381,138.0952380952381,29,49,49,300,59.183673469387756,59.183673469387756,29,0.1111111111111111,0.08814589665653495
HWC-like,151-160,-2,51,42,42,300,121.42857142857143,121.42857142857143,31,49,49,300,63.265306122448976,63.265306122448976,20,0.09770114942528736,0.09422492401215805
HWC-like,161-170,-2,53,42,42,300,126.19047619047619,126.19047619047619,36,49,49,300,73.46938775510205,73.46938775510205,17,0.10153256704980843,0.1094224924012158
HWC-like,171-180,-2,32,42,42,300,76.19047619047619,76.19047619047619,30,49,49,300,61.224489795918366,61.224489795918366,2,0.06130268199233716,0.0911854103343465
HWC-like,181-190,-2,30,42,42,300,71.42857142857143,71.42857142857143,25,49,49,300,51.02040816326531,51.02040816326531,5,0.05747126436781609,0.07598784194528875
HWC-like,191-200,-2,38,42,42,300,90.47619047619048,90.47619047619048,28,49,49,300,57.142857142857146,57.142857142857146,10,0.07279693486590039,0.0851063829787234
ALL,ALL,-1,745,53,53,300,1405.6603773584907,1405.6603773584907,500,54,54,300,925.925925925926,925.925925925926,245,1.0,1.0
ALL,100-110,-1,97,53,53,300,183.0188679245283,183.0188679245283,71,54,54,300,131.4814814814815,131.4814814814815,26,0.13020134228187918,0.142
ALL,111-120,-1,79,53,53,300,149.0566037735849,149.0566037735849,67,54,54,300,124.07407407407408,124.07407407407408,12,0.10604026845637583,0.134
ALL,121-130,-1,79,53,53,300,149.0566037735849,149.0566037735849,58,54,54,300,107.4074074074074,107.4074074074074,21,0.10604026845637583,0.116
ALL,131-140,-1,92,53,53,300,173.58490566037736,173.58490566037736,40,54,54,300,74.07407407407408,74.07407407407408,52,0.12348993288590604,0.08
ALL,141-150,-1,64,53,53,300,120.75471698113208,120.75471698113208,50,54,54,300,92.5925925925926,92.5925925925926,14,0.08590604026845637,0.1
ALL,151-160,-1,90,53,53,300,169.81132075471697,169.81132075471697,47,54,54,300,87.03703703703704,87.03703703703704,43,0.12080536912751678,0.094
ALL,161-170,-1,65,53,53,300,122.64150943396227,122.64150943396227,38,54,54,300,70.37037037037037,70.37037037037037,27,0.087248322147651,0.076
ALL,171-180,-1,66,53,53,300,124.52830188679245,124.52830188679245,52,54,54,300,96.29629629629629,96.29629629629629,14,0.08859060402684564,0.104
ALL,181-190,-1,53,53,53,300,100.0,100.0,36,54,54,300,66.66666666666667,66.66666666666667,17,0.07114093959731543,0.072
ALL,191-200,-1,60,53,53,300,113.20754716981132,113.20754716981132,41,54,54,300,75.92592592592592,75.92592592592592,19,0.08053691275167785,0.082
AGC-like,ALL,-1,115,53,53,300,216.9811320754717,216.9811320754717,116,54,54,300,214.8148148148148,214.8148148148148,-1,1.0,1.0
AGC-like,100-110,-1,19,53,53,300,35.84905660377358,35.84905660377358,21,54,54,300,38.888888888888886,38.888888888888886,-2,0.16521739130434782,0.1810344827586207
AGC-like,111-120,-1,13,53,53,300,24.528301886792452,24.528301886792452,11,54,54,300,20.37037037037037,20.37037037037037,2,0.11304347826086956,0.09482758620689655
