classification,token_range,event_month,treatment_event_row_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_event_row_count_per_100_repo_months,treatment_event_row_count_per_100_repositories,control_event_row_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_event_row_count_per_100_repo_months,control_event_row_count_per_100_repositories,event_row_count_difference_treatment_minus_control,treatment_event_row_share_within_month,control_event_row_share_within_month
ALL,ALL,-6,567,31,31,300,1829.032258064516,1829.032258064516,235,35,35,300,671.4285714285714,671.4285714285714,332,1.0,1.0
ALL,100-110,-6,79,31,31,300,254.83870967741936,254.83870967741936,28,35,35,300,80.0,80.0,51,0.13932980599647266,0.11914893617021277
ALL,111-120,-6,72,31,31,300,232.25806451612902,232.25806451612902,28,35,35,300,80.0,80.0,44,0.12698412698412698,0.11914893617021277
ALL,121-130,-6,64,31,31,300,206.4516129032258,206.4516129032258,31,35,35,300,88.57142857142857,88.57142857142857,33,0.1128747795414462,0.13191489361702127
ALL,131-140,-6,55,31,31,300,177.41935483870967,177.41935483870967,28,35,35,300,80.0,80.0,27,0.09700176366843033,0.11914893617021277
ALL,141-150,-6,59,31,31,300,190.32258064516128,190.32258064516128,14,35,35,300,40.0,40.0,45,0.10405643738977072,0.059574468085106386
ALL,151-160,-6,57,31,31,300,183.8709677419355,183.8709677419355,22,35,35,300,62.857142857142854,62.857142857142854,35,0.10052910052910052,0.09361702127659574
ALL,161-170,-6,49,31,31,300,158.06451612903226,158.06451612903226,20,35,35,300,57.142857142857146,57.142857142857146,29,0.08641975308641975,0.0851063829787234
ALL,171-180,-6,39,31,31,300,125.80645161290323,125.80645161290323,25,35,35,300,71.42857142857143,71.42857142857143,14,0.06878306878306878,0.10638297872340426
ALL,181-190,-6,44,31,31,300,141.93548387096774,141.93548387096774,22,35,35,300,62.857142857142854,62.857142857142854,22,0.07760141093474426,0.09361702127659574
ALL,191-200,-6,49,31,31,300,158.06451612903226,158.06451612903226,17,35,35,300,48.57142857142857,48.57142857142857,32,0.08641975308641975,0.07234042553191489
AGC-like,ALL,-6,65,31,31,300,209.67741935483872,209.67741935483872,25,35,35,300,71.42857142857143,71.42857142857143,40,1.0,1.0
AGC-like,100-110,-6,11,31,31,300,35.483870967741936,35.483870967741936,3,35,35,300,8.571428571428571,8.571428571428571,8,0.16923076923076924,0.12
AGC-like,111-120,-6,13,31,31,300,41.935483870967744,41.935483870967744,6,35,35,300,17.142857142857142,17.142857142857142,7,0.2,0.24
AGC-like,121-130,-6,5,31,31,300,16.129032258064516,16.129032258064516,1,35,35,300,2.857142857142857,2.857142857142857,4,0.07692307692307693,0.04
AGC-like,131-140,-6,9,31,31,300,29.032258064516128,29.032258064516128,1,35,35,300,2.857142857142857,2.857142857142857,8,0.13846153846153847,0.04
AGC-like,141-150,-6,6,31,31,300,19.35483870967742,19.35483870967742,3,35,35,300,8.571428571428571,8.571428571428571,3,0.09230769230769231,0.12
AGC-like,151-160,-6,5,31,31,300,16.129032258064516,16.129032258064516,3,35,35,300,8.571428571428571,8.571428571428571,2,0.07692307692307693,0.12
AGC-like,161-170,-6,5,31,31,300,16.129032258064516,16.129032258064516,5,35,35,300,14.285714285714286,14.285714285714286,0,0.07692307692307693,0.2
AGC-like,171-180,-6,5,31,31,300,16.129032258064516,16.129032258064516,2,35,35,300,5.714285714285714,5.714285714285714,3,0.07692307692307693,0.08
AGC-like,181-190,-6,6,31,31,300,19.35483870967742,19.35483870967742,1,35,35,300,2.857142857142857,2.857142857142857,5,0.09230769230769231,0.04
AGC-like,191-200,-6,0,31,31,300,0.0,0.0,0,35,35,300,0.0,0.0,0,0.0,0.0
HWC-like,ALL,-6,502,31,31,300,1619.3548387096773,1619.3548387096773,210,35,35,300,600.0,600.0,292,1.0,1.0
HWC-like,100-110,-6,68,31,31,300,219.3548387096774,219.3548387096774,25,35,35,300,71.42857142857143,71.42857142857143,43,0.13545816733067728,0.11904761904761904
HWC-like,111-120,-6,59,31,31,300,190.32258064516128,190.32258064516128,22,35,35,300,62.857142857142854,62.857142857142854,37,0.11752988047808766,0.10476190476190476
HWC-like,121-130,-6,59,31,31,300,190.32258064516128,190.32258064516128,30,35,35,300,85.71428571428571,85.71428571428571,29,0.11752988047808766,0.14285714285714285
HWC-like,131-140,-6,46,31,31,300,148.38709677419354,148.38709677419354,27,35,35,300,77.14285714285714,77.14285714285714,19,0.09163346613545817,0.12857142857142856
HWC-like,141-150,-6,53,31,31,300,170.96774193548387,170.96774193548387,11,35,35,300,31.428571428571427,31.428571428571427,42,0.10557768924302789,0.05238095238095238
HWC-like,151-160,-6,52,31,31,300,167.74193548387098,167.74193548387098,19,35,35,300,54.285714285714285,54.285714285714285,33,0.10358565737051793,0.09047619047619047
HWC-like,161-170,-6,44,31,31,300,141.93548387096774,141.93548387096774,15,35,35,300,42.857142857142854,42.857142857142854,29,0.08764940239043825,0.07142857142857142
HWC-like,171-180,-6,34,31,31,300,109.6774193548387,109.6774193548387,23,35,35,300,65.71428571428571,65.71428571428571,11,0.06772908366533864,0.10952380952380952
HWC-like,181-190,-6,38,31,31,300,122.58064516129032,122.58064516129032,21,35,35,300,60.0,60.0,17,0.07569721115537849,0.1
HWC-like,191-200,-6,49,31,31,300,158.06451612903226,158.06451612903226,17,35,35,300,48.57142857142857,48.57142857142857,32,0.09760956175298804,0.08095238095238096
ALL,ALL,-5,503,33,33,300,1524.2424242424242,1524.2424242424242,207,43,43,300,481.3953488372093,481.3953488372093,296,1.0,1.0
ALL,100-110,-5,91,33,33,300,275.75757575757575,275.75757575757575,34,43,43,300,79.06976744186046,79.06976744186046,57,0.18091451292246521,0.1642512077294686
ALL,111-120,-5,62,33,33,300,187.87878787878788,187.87878787878788,35,43,43,300,81.3953488372093,81.3953488372093,27,0.12326043737574553,0.16908212560386474
ALL,121-130,-5,65,33,33,300,196.96969696969697,196.96969696969697,13,43,43,300,30.232558139534884,30.232558139534884,52,0.12922465208747516,0.06280193236714976
ALL,131-140,-5,55,33,33,300,166.66666666666666,166.66666666666666,33,43,43,300,76.74418604651163,76.74418604651163,22,0.10934393638170974,0.15942028985507245
ALL,141-150,-5,46,33,33,300,139.3939393939394,139.3939393939394,18,43,43,300,41.86046511627907,41.86046511627907,28,0.09145129224652088,0.08695652173913043
ALL,151-160,-5,34,33,33,300,103.03030303030303,103.03030303030303,13,43,43,300,30.232558139534884,30.232558139534884,21,0.06759443339960239,0.06280193236714976
ALL,161-170,-5,43,33,33,300,130.3030303030303,130.3030303030303,19,43,43,300,44.18604651162791,44.18604651162791,24,0.08548707753479125,0.09178743961352658
ALL,171-180,-5,41,33,33,300,124.24242424242425,124.24242424242425,11,43,43,300,25.58139534883721,25.58139534883721,30,0.08151093439363817,0.05314009661835749
ALL,181-190,-5,35,33,33,300,106.06060606060606,106.06060606060606,16,43,43,300,37.2093023255814,37.2093023255814,19,0.06958250497017893,0.07729468599033816
ALL,191-200,-5,31,33,33,300,93.93939393939394,93.93939393939394,15,43,43,300,34.883720930232556,34.883720930232556,16,0.061630218687872766,0.07246376811594203
AGC-like,ALL,-5,58,33,33,300,175.75757575757575,175.75757575757575,27,43,43,300,62.7906976744186,62.7906976744186,31,1.0,1.0
AGC-like,100-110,-5,10,33,33,300,30.303030303030305,30.303030303030305,3,43,43,300,6.976744186046512,6.976744186046512,7,0.1724137931034483,0.1111111111111111
AGC-like,111-120,-5,5,33,33,300,15.151515151515152,15.151515151515152,6,43,43,300,13.953488372093023,13.953488372093023,-1,0.08620689655172414,0.2222222222222222
AGC-like,121-130,-5,14,33,33,300,42.42424242424242,42.42424242424242,5,43,43,300,11.627906976744185,11.627906976744185,9,0.2413793103448276,0.18518518518518517
AGC-like,131-140,-5,4,33,33,300,12.121212121212121,12.121212121212121,4,43,43,300,9.30232558139535,9.30232558139535,0,0.06896551724137931,0.14814814814814814
AGC-like,141-150,-5,4,33,33,300,12.121212121212121,12.121212121212121,2,43,43,300,4.651162790697675,4.651162790697675,2,0.06896551724137931,0.07407407407407407
AGC-like,151-160,-5,5,33,33,300,15.151515151515152,15.151515151515152,1,43,43,300,2.3255813953488373,2.3255813953488373,4,0.08620689655172414,0.037037037037037035
AGC-like,161-170,-5,4,33,33,300,12.121212121212121,12.121212121212121,4,43,43,300,9.30232558139535,9.30232558139535,0,0.06896551724137931,0.14814814814814814
AGC-like,171-180,-5,4,33,33,300,12.121212121212121,12.121212121212121,1,43,43,300,2.3255813953488373,2.3255813953488373,3,0.06896551724137931,0.037037037037037035
AGC-like,181-190,-5,5,33,33,300,15.151515151515152,15.151515151515152,1,43,43,300,2.3255813953488373,2.3255813953488373,4,0.08620689655172414,0.037037037037037035
AGC-like,191-200,-5,3,33,33,300,9.090909090909092,9.090909090909092,0,43,43,300,0.0,0.0,3,0.05172413793103448,0.0
HWC-like,ALL,-5,445,33,33,300,1348.4848484848485,1348.4848484848485,180,43,43,300,418.6046511627907,418.6046511627907,265,1.0,1.0
HWC-like,100-110,-5,81,33,33,300,245.45454545454547,245.45454545454547,31,43,43,300,72.09302325581395,72.09302325581395,50,0.18202247191011237,0.17222222222222222
HWC-like,111-120,-5,57,33,33,300,172.72727272727272,172.72727272727272,29,43,43,300,67.44186046511628,67.44186046511628,28,0.12808988764044943,0.16111111111111112
HWC-like,121-130,-5,51,33,33,300,154.54545454545453,154.54545454545453,8,43,43,300,18.6046511627907,18.6046511627907,43,0.1146067415730337,0.044444444444444446
HWC-like,131-140,-5,51,33,33,300,154.54545454545453,154.54545454545453,29,43,43,300,67.44186046511628,67.44186046511628,22,0.1146067415730337,0.16111111111111112
HWC-like,141-150,-5,42,33,33,300,127.27272727272727,127.27272727272727,16,43,43,300,37.2093023255814,37.2093023255814,26,0.09438202247191012,0.08888888888888889
HWC-like,151-160,-5,29,33,33,300,87.87878787878788,87.87878787878788,12,43,43,300,27.906976744186046,27.906976744186046,17,0.0651685393258427,0.06666666666666667
HWC-like,161-170,-5,39,33,33,300,118.18181818181819,118.18181818181819,15,43,43,300,34.883720930232556,34.883720930232556,24,0.08764044943820225,0.08333333333333333
HWC-like,171-180,-5,37,33,33,300,112.12121212121212,112.12121212121212,10,43,43,300,23.25581395348837,23.25581395348837,27,0.08314606741573034,0.05555555555555555
HWC-like,181-190,-5,30,33,33,300,90.9090909090909,90.9090909090909,15,43,43,300,34.883720930232556,34.883720930232556,15,0.06741573033707865,0.08333333333333333
HWC-like,191-200,-5,28,33,33,300,84.84848484848484,84.84848484848484,15,43,43,300,34.883720930232556,34.883720930232556,13,0.06292134831460675,0.08333333333333333
ALL,ALL,-4,420,35,35,300,1200.0,1200.0,559,47,47,300,1189.3617021276596,1189.3617021276596,-139,1.0,1.0
ALL,100-110,-4,55,35,35,300,157.14285714285714,157.14285714285714,87,47,47,300,185.10638297872342,185.10638297872342,-32,0.13095238095238096,0.1556350626118068
ALL,111-120,-4,62,35,35,300,177.14285714285714,177.14285714285714,51,47,47,300,108.51063829787235,108.51063829787235,11,0.14761904761904762,0.09123434704830054
ALL,121-130,-4,44,35,35,300,125.71428571428571,125.71428571428571,47,47,47,300,100.0,100.0,-3,0.10476190476190476,0.08407871198568873
ALL,131-140,-4,40,35,35,300,114.28571428571429,114.28571428571429,84,47,47,300,178.72340425531914,178.72340425531914,-44,0.09523809523809523,0.15026833631484796
ALL,141-150,-4,43,35,35,300,122.85714285714286,122.85714285714286,55,47,47,300,117.02127659574468,117.02127659574468,-12,0.10238095238095238,0.09838998211091235
ALL,151-160,-4,31,35,35,300,88.57142857142857,88.57142857142857,59,47,47,300,125.53191489361703,125.53191489361703,-28,0.07380952380952381,0.10554561717352415
ALL,161-170,-4,45,35,35,300,128.57142857142858,128.57142857142858,31,47,47,300,65.95744680851064,65.95744680851064,14,0.10714285714285714,0.055456171735241505
ALL,171-180,-4,40,35,35,300,114.28571428571429,114.28571428571429,52,47,47,300,110.63829787234043,110.63829787234043,-12,0.09523809523809523,0.09302325581395349
ALL,181-190,-4,29,35,35,300,82.85714285714286,82.85714285714286,35,47,47,300,74.46808510638297,74.46808510638297,-6,0.06904761904761905,0.0626118067978533
ALL,191-200,-4,31,35,35,300,88.57142857142857,88.57142857142857,58,47,47,300,123.40425531914893,123.40425531914893,-27,0.07380952380952381,0.1037567084078712
AGC-like,ALL,-4,25,35,35,300,71.42857142857143,71.42857142857143,108,47,47,300,229.7872340425532,229.7872340425532,-83,1.0,1.0
