dataset_source,token_range,event_rows,unique_bodies,agc_count,hwc_count,agc_share_within_range,hwc_share_within_range
control,100-110,788,639,123,665,0.15609137055837563,0.8439086294416244
control,111-120,689,546,84,605,0.12191582002902758,0.8780841799709724
control,121-130,645,516,95,550,0.14728682170542637,0.8527131782945736
control,131-140,617,480,101,516,0.16369529983792544,0.8363047001620746
control,141-150,543,440,78,465,0.143646408839779,0.856353591160221
control,151-160,498,415,66,432,0.13253012048192772,0.8674698795180723
control,161-170,479,386,67,412,0.13987473903966596,0.860125260960334
control,171-180,455,346,59,396,0.12967032967032968,0.8703296703296703
control,181-190,397,300,65,332,0.163727959697733,0.836272040302267
control,191-200,375,301,46,329,0.12266666666666666,0.8773333333333333
treatment,100-110,2457,2079,309,2148,0.12576312576312576,0.8742368742368742
treatment,111-120,2124,1778,286,1838,0.13465160075329566,0.8653483992467044
treatment,121-130,1904,1624,286,1618,0.15021008403361344,0.8497899159663865
treatment,131-140,1813,1540,263,1550,0.1450634307777165,0.8549365692222836
treatment,141-150,1644,1393,202,1442,0.12287104622871046,0.8771289537712895
treatment,151-160,1549,1312,200,1349,0.1291155584247902,0.8708844415752098
treatment,161-170,1503,1269,202,1301,0.13439787092481703,0.865602129075183
treatment,171-180,1311,1145,158,1153,0.12051868802440885,0.8794813119755912
treatment,181-190,1317,1093,169,1148,0.12832194381169323,0.8716780561883067
treatment,191-200,1252,1072,135,1117,0.10782747603833866,0.8921725239616614
