function_body_split_space_token_count,event_rows,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,event_rows_per_unique_body
100,328,279,28,300,1.3810187673192487,1.3564866175920063,0.08536585365853659,0.9146341463414634,1.1756272401433692
101,302,241,44,258,1.401868891027715,1.3518763059186303,0.1456953642384106,0.8543046357615894,1.2531120331950207
102,310,273,30,280,1.3856949018337128,1.3645932636919935,0.0967741935483871,0.9032258064516129,1.1355311355311355
103,289,255,39,250,1.4059795041773773,1.3547870777054591,0.13494809688581316,0.8650519031141869,1.1333333333333333
104,277,231,24,253,1.377912829546355,1.3431230071714302,0.08664259927797834,0.9133574007220217,1.199134199134199
105,286,245,42,244,1.3997339798975421,1.3695893819813847,0.14685314685314685,0.8531468531468531,1.1673469387755102
106,334,262,42,292,1.4033125180106385,1.3560275270827586,0.12574850299401197,0.874251497005988,1.2748091603053435
107,256,235,39,217,1.4055220438416023,1.360795455717009,0.15234375,0.84765625,1.0893617021276596
108,267,219,25,242,1.3828714893068474,1.3454643645495126,0.09363295880149813,0.9063670411985019,1.2191780821917808
109,256,219,43,213,1.4218673869364613,1.381804087059598,0.16796875,0.83203125,1.1689497716894977
110,340,259,76,264,1.4522505850722405,1.3758831638306792,0.2235294117647059,0.7764705882352941,1.3127413127413128
111,232,197,22,210,1.3891973883259174,1.3660113221074393,0.09482758620689655,0.9051724137931034,1.1776649746192893
112,281,222,33,248,1.396955217584318,1.369461540237069,0.11743772241992882,0.8825622775800712,1.2657657657657657
113,314,251,46,268,1.4060708127879735,1.3557142803230142,0.1464968152866242,0.8535031847133758,1.250996015936255
114,293,246,32,261,1.3912075641613564,1.372892749653528,0.10921501706484642,0.8907849829351536,1.1910569105691058
115,265,230,46,219,1.4287766791605678,1.393997519271135,0.17358490566037735,0.8264150943396227,1.1521739130434783
116,335,273,50,285,1.4025796123759209,1.3593868937409217,0.14925373134328357,0.8507462686567164,1.2271062271062272
117,268,225,32,236,1.402926701177055,1.3742506361752076,0.11940298507462686,0.8805970149253731,1.191111111111111
118,237,212,42,195,1.41958380344689,1.3728680531014317,0.17721518987341772,0.8227848101265823,1.1179245283018868
119,312,248,50,262,1.4172525585560853,1.3867737300105463,0.16025641025641027,0.8397435897435898,1.2580645161290323
120,276,219,17,259,1.3709615140957583,1.3601161694314166,0.06159420289855073,0.9384057971014492,1.2602739726027397
121,268,225,49,219,1.439046476557121,1.383033265211762,0.1828358208955224,0.8171641791044776,1.191111111111111
122,242,209,37,205,1.4091555884424949,1.3575880939366276,0.15289256198347106,0.8471074380165289,1.1578947368421053
123,276,228,38,238,1.4076752393965581,1.3637649456016185,0.13768115942028986,0.8623188405797102,1.2105263157894737
124,279,234,50,229,1.4201731870542118,1.3725678437734572,0.17921146953405018,0.8207885304659498,1.1923076923076923
125,247,216,31,216,1.3945170783653287,1.332616570575203,0.12550607287449392,0.8744939271255061,1.1435185185185186
126,258,219,33,225,1.3972362297780472,1.361584337274642,0.12790697674418605,0.872093023255814,1.178082191780822
127,221,175,29,192,1.4126719910437155,1.3815012671106717,0.13122171945701358,0.8687782805429864,1.262857142857143
128,228,191,33,195,1.4187838544300642,1.3584662603879667,0.14473684210526316,0.8552631578947368,1.193717277486911
129,263,208,38,225,1.452645039272931,1.38658728864316,0.1444866920152091,0.8555133079847909,1.2644230769230769
130,267,235,43,224,1.4136540681276002,1.3875170500426195,0.16104868913857678,0.8389513108614233,1.1361702127659574
131,244,208,44,200,1.4236052519942475,1.3890511193075512,0.18032786885245902,0.819672131147541,1.1730769230769231
132,246,207,38,208,1.420043201582073,1.3826826907524383,0.15447154471544716,0.8455284552845529,1.1884057971014492
133,278,227,36,242,1.3883445526167237,1.3493377835375646,0.12949640287769784,0.8705035971223022,1.224669603524229
134,247,213,33,214,1.3993092668250129,1.360864367390367,0.13360323886639677,0.8663967611336032,1.15962441314554
135,246,189,26,220,1.3849284434607003,1.3561075083734244,0.10569105691056911,0.8943089430894309,1.3015873015873016
136,227,202,35,192,1.417104104777193,1.3678640711425256,0.15418502202643172,0.8458149779735683,1.1237623762376239
137,219,183,31,188,1.4074823187894954,1.3707656448073453,0.1415525114155251,0.8584474885844748,1.1967213114754098
