function_body_split_space_token_count,event_rows,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,event_rows_per_unique_body
138,242,194,35,207,1.4157621247952137,1.3770794033776097,0.1446280991735537,0.8553719008264463,1.2474226804123711
139,262,210,54,208,1.4178069925040946,1.396120755610354,0.20610687022900764,0.7938931297709924,1.2476190476190476
140,219,187,32,187,1.411645754950031,1.377236351820339,0.1461187214611872,0.8538812785388128,1.1711229946524064
141,189,166,20,169,1.3766222410306317,1.3408008104448692,0.10582010582010581,0.8941798941798942,1.1385542168674698
142,187,161,17,170,1.410426561027552,1.3692041632984826,0.09090909090909091,0.9090909090909091,1.1614906832298137
143,244,201,23,221,1.381714502703248,1.35444933771958,0.0942622950819672,0.9057377049180327,1.2139303482587065
144,215,184,38,177,1.4195008731195555,1.3844003389651085,0.17674418604651163,0.8232558139534883,1.1684782608695652
145,252,204,32,220,1.394749210958276,1.3508000745427213,0.12698412698412698,0.873015873015873,1.2352941176470589
146,203,167,23,180,1.3689724044829175,1.3276649361933588,0.11330049261083744,0.8866995073891626,1.215568862275449
147,210,178,30,180,1.4083094081880903,1.3840090488091077,0.14285714285714285,0.8571428571428571,1.1797752808988764
148,229,193,31,198,1.4059292338308642,1.3873781406819272,0.13537117903930132,0.8646288209606987,1.1865284974093264
149,250,195,43,207,1.4042722099923421,1.3702328760793674,0.172,0.828,1.2820512820512822
150,208,184,23,185,1.3828330798892403,1.3604225573693318,0.11057692307692307,0.8894230769230769,1.1304347826086956
151,211,180,30,181,1.409920349554273,1.3750788866937416,0.14218009478672985,0.8578199052132701,1.1722222222222223
152,231,189,33,198,1.3992747888009553,1.36849910611103,0.14285714285714285,0.8571428571428571,1.2222222222222223
153,206,160,23,183,1.3921930748053628,1.3775879617992899,0.11165048543689321,0.8883495145631068,1.2875
154,213,179,24,189,1.3950411598735555,1.370193978440711,0.11267605633802817,0.8873239436619719,1.1899441340782122
155,185,159,22,163,1.398767757418653,1.350116256037602,0.11891891891891893,0.8810810810810811,1.1635220125786163
156,184,165,33,151,1.414995042805923,1.3786066412742992,0.1793478260869565,0.8206521739130435,1.1151515151515152
157,194,168,25,169,1.4043160554337404,1.3794854864223471,0.12886597938144329,0.8711340206185567,1.1547619047619047
158,194,174,21,173,1.3827607416724697,1.346490224789575,0.10824742268041238,0.8917525773195877,1.1149425287356323
159,221,180,26,195,1.382626333986564,1.3703363732061782,0.11764705882352941,0.8823529411764706,1.2277777777777779
160,208,173,29,179,1.3887303004561629,1.3594087106166532,0.13942307692307693,0.8605769230769231,1.2023121387283238
161,222,184,34,188,1.407009035451772,1.3614913559236697,0.15315315315315314,0.8468468468468469,1.2065217391304348
162,185,154,18,167,1.398073193443074,1.3828776051513902,0.0972972972972973,0.9027027027027027,1.2012987012987013
163,210,180,32,178,1.4070196171338505,1.370100803224837,0.1523809523809524,0.8476190476190476,1.1666666666666667
164,199,164,23,176,1.3993280617120933,1.3867954811405234,0.11557788944723618,0.8844221105527639,1.2134146341463414
165,198,164,31,167,1.3997797002561647,1.3775064931547965,0.15656565656565657,0.8434343434343434,1.2073170731707317
166,182,154,31,151,1.422984340535896,1.358022461240592,0.17032967032967034,0.8296703296703297,1.1818181818181819
167,192,158,22,170,1.4020592212639753,1.3787210106445278,0.11458333333333333,0.8854166666666666,1.2151898734177216
168,181,158,24,157,1.3959494496678564,1.3757056097111453,0.13259668508287292,0.8674033149171271,1.1455696202531647
169,181,147,22,159,1.3784052942113485,1.3421530865952227,0.12154696132596685,0.8784530386740331,1.2312925170068028
170,232,192,32,200,1.4204624236469838,1.3888234464578444,0.13793103448275862,0.8620689655172413,1.2083333333333333
171,170,147,28,142,1.4049533591274215,1.3391699490109443,0.16470588235294117,0.8352941176470589,1.1564625850340136
172,162,134,14,148,1.3475873063760586,1.3185936216472056,0.08641975308641975,0.9135802469135802,1.208955223880597
173,172,143,24,148,1.4008834439940998,1.3558935184930572,0.13953488372093023,0.8604651162790697,1.2027972027972027
174,190,173,24,166,1.391684959454168,1.3457580260860489,0.12631578947368421,0.8736842105263158,1.0982658959537572
175,176,160,22,154,1.3930481997263664,1.3784970397541714,0.125,0.875,1.1
176,187,150,13,174,1.3945211756730942,1.3750802406832403,0.06951871657754011,0.93048128342246,1.2466666666666666
177,194,155,15,179,1.3705602549819984,1.3479109288280193,0.07731958762886598,0.9226804123711341,1.2516129032258065
178,182,154,21,161,1.388726234813056,1.3722823987280686,0.11538461538461539,0.8846153846153846,1.1818181818181819
179,196,159,32,164,1.3858930046310565,1.3349054913928975,0.16326530612244897,0.8367346938775511,1.2327044025157232
180,137,116,24,113,1.4081093536032672,1.362486228500159,0.17518248175182483,0.8248175182481752,1.1810344827586208
181,172,137,27,145,1.4001835595525673,1.3543837143185211,0.1569767441860465,0.8430232558139535,1.2554744525547445
182,166,134,21,145,1.409393121131473,1.3789590540880257,0.12650602409638553,0.8734939759036144,1.2388059701492538
183,199,157,21,178,1.3787062899623042,1.3367703243023,0.10552763819095477,0.8944723618090452,1.267515923566879
184,166,134,21,145,1.377437608421874,1.3352676942162032,0.12650602409638553,0.8734939759036144,1.2388059701492538
185,202,162,26,176,1.407370251440318,1.367176786194157,0.12871287128712872,0.8712871287128713,1.2469135802469136
186,162,131,24,138,1.413694332513662,1.3722096685247775,0.14814814814814814,0.8518518518518519,1.2366412213740459
187,164,137,22,142,1.4048844857771772,1.3627049292347486,0.13414634146341464,0.8658536585365854,1.197080291970803
188,163,134,18,145,1.3589457990130347,1.333038539011201,0.11042944785276074,0.8895705521472392,1.2164179104477613
189,182,149,25,157,1.4036171075578787,1.3536810213976649,0.13736263736263737,0.8626373626373627,1.221476510067114
190,138,118,29,109,1.4371489037109981,1.4022317988562907,0.21014492753623187,0.7898550724637681,1.1694915254237288
191,167,144,17,150,1.3725251616531653,1.3507883694010123,0.10179640718562874,0.8982035928143712,1.1597222222222223
192,176,143,21,155,1.391411519573937,1.357077925425465,0.11931818181818182,0.8806818181818182,1.2307692307692308
193,155,127,15,140,1.3945338784916674,1.3669169929257503,0.0967741935483871,0.9032258064516129,1.220472440944882
194,148,130,14,134,1.391123375601199,1.3684215096746861,0.0945945945945946,0.9054054054054054,1.1384615384615384
195,162,139,17,145,1.3773673793690284,1.3582263890799555,0.10493827160493827,0.8950617283950617,1.1654676258992807
196,179,145,27,152,1.40966714545589,1.359188174049209,0.15083798882681565,0.8491620111731844,1.2344827586206897
197,149,130,20,129,1.3894621871897228,1.3484103925110402,0.1342281879194631,0.8657718120805369,1.146153846153846
198,158,127,16,142,1.3897138815794947,1.3678277859537835,0.10126582278481013,0.8987341772151899,1.2440944881889764
199,167,146,19,148,1.3942853917842117,1.3532135863238972,0.11377245508982035,0.8862275449101796,1.143835616438356
200,166,142,15,151,1.3615677973696565,1.3321945347235415,0.09036144578313253,0.9096385542168675,1.1690140845070423
