dataset_source,treatment_period,token_range,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,share_of_period_unique_bodies
treatment,event,161-170,138,44,94,1.4950725647699048,1.467874262869457,0.3188405797101449,0.6811594202898551,0.07912844036697247
treatment,event,171-180,159,32,127,1.4455771343366923,1.4316504657329083,0.20125786163522014,0.7987421383647799,0.0911697247706422
treatment,event,181-190,117,31,86,1.485915350510151,1.4660136222203404,0.26495726495726496,0.7350427350427351,0.06708715596330275
treatment,event,191-200,143,31,112,1.425895897491338,1.393527396809565,0.21678321678321677,0.7832167832167832,0.08199541284403669
treatment,post,100-110,879,100,779,1.3909665492035608,1.3634039481196256,0.11376564277588168,0.8862343572241184,0.14023611997447352
treatment,post,111-120,740,99,641,1.4015241286908169,1.376552083157772,0.13378378378378378,0.8662162162162163,0.11805998723675813
treatment,post,121-130,686,106,580,1.4176601939671691,1.3828448845290047,0.15451895043731778,0.8454810495626822,0.10944479897894065
treatment,post,131-140,686,105,581,1.4170200519209872,1.377531131427367,0.15306122448979592,0.8469387755102041,0.10944479897894065
treatment,post,141-150,614,71,543,1.3917228613703498,1.3669922599969204,0.11563517915309446,0.8843648208469055,0.09795788130185067
treatment,post,151-160,591,71,520,1.3950467553693453,1.37020452824074,0.12013536379018612,0.8798646362098139,0.0942884492661136
treatment,post,161-170,599,76,523,1.405248619384515,1.3847774507985733,0.12687813021702837,0.8731218697829716,0.09556477345245692
treatment,post,171-180,493,68,425,1.4052343736229036,1.3750738839070444,0.13793103448275862,0.8620689655172413,0.07865347798340779
treatment,post,181-190,512,61,451,1.3965305480070258,1.3666630558916126,0.119140625,0.880859375,0.0816847479259732
treatment,post,191-200,468,57,411,1.3999466390611468,1.3741490633268416,0.12179487179487179,0.8782051282051282,0.07466496490108487
treatment,pre,100-110,992,93,899,1.3800828438750778,1.347454729753737,0.09375,0.90625,0.14877024595080984
treatment,pre,111-120,833,92,741,1.3867661448078143,1.3547114749412466,0.11044417767106843,0.8895558223289316,0.1249250149970006
treatment,pre,121-130,789,97,692,1.3947364181136617,1.35158554586104,0.1229404309252218,0.8770595690747782,0.11832633473305339
treatment,pre,131-140,721,80,641,1.3928036401646726,1.3607313976385602,0.11095700416088766,0.8890429958391124,0.10812837432513497
treatment,pre,141-150,634,55,579,1.3718627960028944,1.3424068397256088,0.08675078864353312,0.9132492113564669,0.09508098380323936
treatment,pre,151-160,629,74,555,1.3858867614551416,1.3518584143824015,0.11764705882352941,0.8823529411764706,0.09433113377324535
treatment,pre,161-170,563,57,506,1.3832093373858132,1.3514900978955249,0.10124333925399645,0.8987566607460036,0.08443311337732454
treatment,pre,171-180,516,38,478,1.3601695137967278,1.3293185377633432,0.07364341085271318,0.9263565891472868,0.07738452309538092
treatment,pre,181-190,500,48,452,1.3721285753589418,1.3374978951192664,0.096,0.904,0.07498500299940011
treatment,pre,191-200,491,34,457,1.3686045682771284,1.3477277492953117,0.06924643584521385,0.9307535641547862,0.07363527294541092
