token_range,event_rows,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,share_of_all_regular_events,event_rows_per_unique_body
100-110,3245,2718,432,2813,1.4020794425103424,1.360523180836233,0.13312788906009246,0.8668721109399076,0.1451252236135957,1.1938925680647534
111-120,2813,2323,370,2443,1.4025780822478788,1.3701684297720331,0.13153217205830076,0.8684678279416993,0.12580500894454383,1.2109341368919502
121-130,2549,2140,381,2168,1.4168434560103984,1.368037195066082,0.14947038054138878,0.8505296194586113,0.11399821109123434,1.1911214953271028
131-140,2430,2020,364,2066,1.408281245625613,1.3703879477828282,0.14979423868312758,0.8502057613168724,0.10867620751341682,1.202970297029703
141-150,2187,1833,280,1907,1.3955375855055192,1.3630362025541232,0.12802926383173296,0.871970736168267,0.09780858676207513,1.193126022913257
151-160,2047,1727,266,1781,1.396629972826186,1.366031844755249,0.12994626282364435,0.8700537371763556,0.0915474060822898,1.1852924145917776
161-170,1982,1655,269,1713,1.403622776274092,1.3744269278444912,0.1357214934409687,0.8642785065590313,0.08864042933810376,1.197583081570997
171-180,1766,1491,217,1549,1.388254884996822,1.3558935184930572,0.12287655719139298,0.877123442808607,0.07898032200357782,1.1844399731723676
181-190,1714,1393,234,1480,1.3983718675051262,1.3615067252310207,0.13652275379229872,0.8634772462077013,0.07665474060822898,1.230437903804738
191-200,1627,1373,181,1446,1.3872610010220157,1.359214009572571,0.11124769514443761,0.8887523048555623,0.0727638640429338,1.1849963583394028
