time_to_event,token_range,event_rows,unique_bodies,agc_count,hwc_count,agc_share_within_range,hwc_share_within_range
-14,100-110,28,26,3,25,0.10714285714285714,0.8928571428571429
-14,111-120,11,11,3,8,0.2727272727272727,0.7272727272727273
-14,121-130,18,18,1,17,0.05555555555555555,0.9444444444444444
-14,131-140,10,10,2,8,0.2,0.8
-14,141-150,21,19,3,18,0.14285714285714285,0.8571428571428571
-14,151-160,15,14,4,11,0.26666666666666666,0.7333333333333333
-14,161-170,18,16,1,17,0.05555555555555555,0.9444444444444444
-14,171-180,7,7,1,6,0.14285714285714285,0.8571428571428571
-14,181-190,6,6,0,6,0.0,1.0
-14,191-200,6,6,0,6,0.0,1.0
-13,100-110,90,78,5,85,0.05555555555555555,0.9444444444444444
-13,111-120,60,55,9,51,0.15,0.85
-13,121-130,55,46,3,52,0.05454545454545454,0.9454545454545454
-13,131-140,39,31,3,36,0.07692307692307693,0.9230769230769231
-13,141-150,43,39,2,41,0.046511627906976744,0.9534883720930233
-13,151-160,50,43,6,44,0.12,0.88
-13,161-170,32,28,4,28,0.125,0.875
-13,171-180,43,38,3,40,0.06976744186046512,0.9302325581395349
-13,181-190,32,30,2,30,0.0625,0.9375
-13,191-200,31,29,2,29,0.06451612903225806,0.9354838709677419
-12,100-110,124,94,8,116,0.06451612903225806,0.9354838709677419
-12,111-120,95,71,11,84,0.11578947368421053,0.8842105263157894
-12,121-130,81,66,8,73,0.09876543209876543,0.9012345679012346
-12,131-140,90,68,13,77,0.14444444444444443,0.8555555555555555
-12,141-150,62,46,5,57,0.08064516129032258,0.9193548387096774
-12,151-160,53,44,4,49,0.07547169811320754,0.9245283018867925
-12,161-170,55,47,7,48,0.12727272727272726,0.8727272727272727
-12,171-180,69,51,8,61,0.11594202898550725,0.8840579710144928
-12,181-190,58,41,5,53,0.08620689655172414,0.9137931034482759
-12,191-200,46,36,2,44,0.043478260869565216,0.9565217391304348
-11,100-110,55,50,5,50,0.09090909090909091,0.9090909090909091
-11,111-120,63,59,3,60,0.047619047619047616,0.9523809523809523
-11,121-130,54,45,4,50,0.07407407407407407,0.9259259259259259
-11,131-140,49,45,4,45,0.08163265306122448,0.9183673469387755
-11,141-150,33,32,4,29,0.12121212121212122,0.8787878787878788
