time_to_event,token_range,event_rows,unique_bodies,agc_count,hwc_count,agc_share_within_range,hwc_share_within_range
-11,151-160,30,27,1,29,0.03333333333333333,0.9666666666666667
-11,161-170,40,39,5,35,0.125,0.875
-11,171-180,30,27,0,30,0.0,1.0
-11,181-190,55,51,1,54,0.01818181818181818,0.9818181818181818
-11,191-200,47,45,2,45,0.0425531914893617,0.9574468085106383
-10,100-110,97,93,13,84,0.13402061855670103,0.865979381443299
-10,111-120,101,85,7,94,0.06930693069306931,0.9306930693069307
-10,121-130,84,81,10,74,0.11904761904761904,0.8809523809523809
-10,131-140,78,70,6,72,0.07692307692307693,0.9230769230769231
-10,141-150,49,44,8,41,0.16326530612244897,0.8367346938775511
-10,151-160,59,57,3,56,0.05084745762711865,0.9491525423728814
-10,161-170,56,53,5,51,0.08928571428571429,0.9107142857142857
-10,171-180,41,40,0,41,0.0,1.0
-10,181-190,48,41,0,48,0.0,1.0
-10,191-200,37,36,2,35,0.05405405405405406,0.9459459459459459
-9,100-110,70,65,4,66,0.05714285714285714,0.9428571428571428
-9,111-120,85,78,4,81,0.047058823529411764,0.9529411764705882
-9,121-130,68,64,4,64,0.058823529411764705,0.9411764705882353
-9,131-140,65,60,2,63,0.03076923076923077,0.9692307692307692
-9,141-150,56,51,0,56,0.0,1.0
-9,151-160,61,57,4,57,0.06557377049180328,0.9344262295081968
-9,161-170,54,51,3,51,0.05555555555555555,0.9444444444444444
-9,171-180,54,51,3,51,0.05555555555555555,0.9444444444444444
-9,181-190,50,49,5,45,0.1,0.9
-9,191-200,53,50,3,50,0.05660377358490566,0.9433962264150944
-8,100-110,108,99,7,101,0.06481481481481481,0.9351851851851852
-8,111-120,66,62,13,53,0.19696969696969696,0.803030303030303
-8,121-130,60,55,3,57,0.05,0.95
-8,131-140,59,47,4,55,0.06779661016949153,0.9322033898305084
-8,141-150,62,56,1,61,0.016129032258064516,0.9838709677419355
-8,151-160,52,49,7,45,0.1346153846153846,0.8653846153846154
-8,161-170,34,32,3,31,0.08823529411764706,0.9117647058823529
-8,171-180,34,31,0,34,0.0,1.0
-8,181-190,33,30,3,30,0.09090909090909091,0.9090909090909091
-8,191-200,41,35,3,38,0.07317073170731707,0.926829268292683
-7,100-110,96,92,4,92,0.041666666666666664,0.9583333333333334
-7,111-120,56,54,7,49,0.125,0.875
-7,121-130,80,79,9,71,0.1125,0.8875
-7,131-140,74,68,9,65,0.12162162162162163,0.8783783783783784
-7,141-150,78,67,3,75,0.038461538461538464,0.9615384615384616
-7,151-160,64,61,8,56,0.125,0.875
-7,161-170,55,47,7,48,0.12727272727272726,0.8727272727272727
-7,171-180,41,39,2,39,0.04878048780487805,0.9512195121951219
-7,181-190,60,50,10,50,0.16666666666666666,0.8333333333333334
-7,191-200,43,42,1,42,0.023255813953488372,0.9767441860465116
-6,100-110,79,73,11,68,0.13924050632911392,0.8607594936708861
-6,111-120,72,68,13,59,0.18055555555555555,0.8194444444444444
-6,121-130,64,56,5,59,0.078125,0.921875
-6,131-140,55,53,9,46,0.16363636363636364,0.8363636363636363
-6,141-150,59,55,6,53,0.1016949152542373,0.8983050847457628
-6,151-160,57,53,5,52,0.08771929824561403,0.9122807017543859
-6,161-170,49,45,5,44,0.10204081632653061,0.8979591836734694
-6,171-180,39,35,5,34,0.1282051282051282,0.8717948717948718
-6,181-190,44,42,6,38,0.13636363636363635,0.8636363636363636
-6,191-200,49,49,0,49,0.0,1.0
-5,100-110,91,87,10,81,0.10989010989010989,0.8901098901098901
-5,111-120,62,59,5,57,0.08064516129032258,0.9193548387096774
-5,121-130,65,64,14,51,0.2153846153846154,0.7846153846153846
-5,131-140,55,52,4,51,0.07272727272727272,0.9272727272727272
-5,141-150,46,44,4,42,0.08695652173913043,0.9130434782608695
-5,151-160,34,31,5,29,0.14705882352941177,0.8529411764705882
-5,161-170,43,41,4,39,0.09302325581395349,0.9069767441860465
-5,171-180,41,41,4,37,0.0975609756097561,0.9024390243902439
-5,181-190,35,33,5,30,0.14285714285714285,0.8571428571428571
-5,191-200,31,30,3,28,0.0967741935483871,0.9032258064516129
-4,100-110,55,52,1,54,0.01818181818181818,0.9818181818181818
-4,111-120,62,56,6,56,0.0967741935483871,0.9032258064516129
-4,121-130,44,39,6,38,0.13636363636363635,0.8636363636363636
-4,131-140,40,35,5,35,0.125,0.875
-4,141-150,43,43,1,42,0.023255813953488372,0.9767441860465116
-4,151-160,31,30,1,30,0.03225806451612903,0.967741935483871
-4,161-170,45,40,3,42,0.06666666666666667,0.9333333333333333
-4,171-180,40,34,1,39,0.025,0.975
-4,181-190,29,28,0,29,0.0,1.0
-4,191-200,31,27,1,30,0.03225806451612903,0.967741935483871
-3,100-110,111,98,14,97,0.12612612612612611,0.8738738738738738
-3,111-120,98,94,11,87,0.11224489795918367,0.8877551020408163
-3,121-130,85,82,15,70,0.17647058823529413,0.8235294117647058
-3,131-140,101,92,12,89,0.1188118811881188,0.8811881188118812
-3,141-150,68,61,13,55,0.19117647058823528,0.8088235294117647
-3,151-160,67,60,10,57,0.14925373134328357,0.8507462686567164
-3,161-170,61,52,10,51,0.16393442622950818,0.8360655737704918
-3,171-180,48,45,6,42,0.125,0.875
-3,181-190,55,49,8,47,0.14545454545454545,0.8545454545454545
-3,191-200,51,49,6,45,0.11764705882352941,0.8823529411764706
-2,100-110,76,71,10,66,0.13157894736842105,0.868421052631579
-2,111-120,71,66,8,63,0.11267605633802817,0.8873239436619719
-2,121-130,90,82,12,78,0.13333333333333333,0.8666666666666667
-2,131-140,64,61,11,53,0.171875,0.828125
-2,141-150,63,61,5,58,0.07936507936507936,0.9206349206349206
-2,151-160,62,59,11,51,0.1774193548387097,0.8225806451612904
-2,161-170,57,56,4,53,0.07017543859649122,0.9298245614035088
-2,171-180,34,33,2,32,0.058823529411764705,0.9411764705882353
-2,181-190,34,32,4,30,0.11764705882352941,0.8823529411764706
-2,191-200,44,40,6,38,0.13636363636363635,0.8636363636363636
-1,100-110,97,93,19,78,0.1958762886597938,0.8041237113402062
-1,111-120,79,73,13,66,0.16455696202531644,0.8354430379746836
-1,121-130,79,74,11,68,0.13924050632911392,0.8607594936708861
-1,131-140,92,84,13,79,0.14130434782608695,0.8586956521739131
-1,141-150,64,58,11,53,0.171875,0.828125
-1,151-160,90,87,10,80,0.1111111111111111,0.8888888888888888
-1,161-170,65,61,7,58,0.1076923076923077,0.8923076923076924
-1,171-180,66,64,11,55,0.16666666666666666,0.8333333333333334
-1,181-190,53,50,11,42,0.20754716981132076,0.7924528301886793
-1,191-200,60,57,9,51,0.15,0.85
0,100-110,284,260,69,215,0.24295774647887325,0.7570422535211268
0,111-120,260,243,57,203,0.21923076923076923,0.7807692307692308
0,121-130,205,191,63,142,0.3073170731707317,0.6926829268292682
0,131-140,172,166,51,121,0.29651162790697677,0.7034883720930233
0,141-150,204,189,57,147,0.27941176470588236,0.7205882352941176
0,151-160,149,138,40,109,0.2684563758389262,0.7315436241610739
0,161-170,145,138,47,98,0.32413793103448274,0.6758620689655173
0,171-180,169,159,35,134,0.20710059171597633,0.7928994082840237
0,181-190,122,117,35,87,0.28688524590163933,0.7131147540983607
0,191-200,150,143,32,118,0.21333333333333335,0.7866666666666666
1,100-110,147,128,32,115,0.21768707482993196,0.782312925170068
1,111-120,135,118,20,115,0.14814814814814814,0.8518518518518519
1,121-130,121,114,29,92,0.2396694214876033,0.7603305785123967
1,131-140,121,110,15,106,0.12396694214876033,0.8760330578512396
1,141-150,128,119,15,113,0.1171875,0.8828125
1,151-160,101,94,14,87,0.13861386138613863,0.8613861386138614
1,161-170,106,93,13,93,0.12264150943396226,0.8773584905660378
1,171-180,87,77,19,68,0.21839080459770116,0.7816091954022989
1,181-190,115,103,19,96,0.16521739130434782,0.8347826086956521
1,191-200,71,71,13,58,0.18309859154929578,0.8169014084507042
2,100-110,140,130,21,119,0.15,0.85
2,111-120,131,124,18,113,0.13740458015267176,0.8625954198473282
2,121-130,100,95,11,89,0.11,0.89
2,131-140,107,97,18,89,0.16822429906542055,0.8317757009345794
2,141-150,87,86,11,76,0.12643678160919541,0.8735632183908046
2,151-160,118,112,18,100,0.15254237288135594,0.847457627118644
2,161-170,98,94,11,87,0.11224489795918367,0.8877551020408163
2,171-180,68,68,11,57,0.16176470588235295,0.8382352941176471
2,181-190,88,76,10,78,0.11363636363636363,0.8863636363636364
2,191-200,71,68,10,61,0.14084507042253522,0.8591549295774648
3,100-110,117,110,18,99,0.15384615384615385,0.8461538461538461
3,111-120,121,104,20,101,0.1652892561983471,0.8347107438016529
3,121-130,78,74,18,60,0.23076923076923078,0.7692307692307693
3,131-140,81,75,19,62,0.2345679012345679,0.7654320987654321
3,141-150,80,74,9,71,0.1125,0.8875
3,151-160,79,74,9,70,0.11392405063291139,0.8860759493670886
3,161-170,85,78,19,66,0.2235294117647059,0.7764705882352941
3,171-180,74,72,13,61,0.17567567567567569,0.8243243243243243
3,181-190,62,59,7,55,0.11290322580645161,0.8870967741935484
3,191-200,94,81,13,81,0.13829787234042554,0.8617021276595744
4,100-110,184,173,19,165,0.10326086956521739,0.8967391304347826
4,111-120,147,138,14,133,0.09523809523809523,0.9047619047619048
4,121-130,102,92,14,88,0.13725490196078433,0.8627450980392157
4,131-140,117,113,24,93,0.20512820512820512,0.7948717948717948
4,141-150,114,106,15,99,0.13157894736842105,0.868421052631579
4,151-160,107,96,20,87,0.18691588785046728,0.8130841121495327
4,161-170,117,104,20,97,0.17094017094017094,0.8290598290598291
4,171-180,76,73,11,65,0.14473684210526316,0.8552631578947368
4,181-190,125,107,9,116,0.072,0.928
4,191-200,89,76,8,81,0.0898876404494382,0.9101123595505618
5,100-110,181,166,14,167,0.07734806629834254,0.9226519337016574
5,111-120,144,127,16,128,0.1111111111111111,0.8888888888888888
5,121-130,180,169,31,149,0.17222222222222222,0.8277777777777777
5,131-140,148,138,18,130,0.12162162162162163,0.8783783783783784
5,141-150,130,116,11,119,0.08461538461538462,0.9153846153846154
5,151-160,126,117,3,123,0.023809523809523808,0.9761904761904762
5,161-170,142,132,12,130,0.08450704225352113,0.9154929577464789
5,171-180,94,86,6,88,0.06382978723404255,0.9361702127659575
5,181-190,98,92,14,84,0.14285714285714285,0.8571428571428571
5,191-200,112,103,9,103,0.08035714285714286,0.9196428571428571
6,100-110,146,124,13,133,0.08904109589041095,0.910958904109589
6,111-120,127,103,19,108,0.14960629921259844,0.8503937007874016
6,121-130,135,124,11,124,0.08148148148148149,0.9185185185185185
6,131-140,124,108,18,106,0.14516129032258066,0.8548387096774194
6,141-150,100,90,12,88,0.12,0.88
6,151-160,97,91,12,85,0.12371134020618557,0.8762886597938144
6,161-170,109,95,6,103,0.05504587155963303,0.944954128440367
6,171-180,101,86,11,90,0.10891089108910891,0.8910891089108911
6,181-190,85,73,9,76,0.10588235294117647,0.8941176470588236
6,191-200,57,55,5,52,0.08771929824561403,0.9122807017543859
7,100-110,37,34,2,35,0.05405405405405406,0.9459459459459459
7,111-120,34,31,2,32,0.058823529411764705,0.9411764705882353
7,121-130,22,20,3,19,0.13636363636363635,0.8636363636363636
7,131-140,33,32,0,33,0.0,1.0
7,141-150,21,21,4,17,0.19047619047619047,0.8095238095238095
7,151-160,18,17,1,17,0.05555555555555555,0.9444444444444444
7,161-170,12,12,2,10,0.16666666666666666,0.8333333333333334
7,171-180,33,32,0,33,0.0,1.0
7,181-190,11,11,2,9,0.18181818181818182,0.8181818181818182
7,191-200,14,14,1,13,0.07142857142857142,0.9285714285714286
8,100-110,19,16,2,17,0.10526315789473684,0.8947368421052632
8,111-120,18,17,1,17,0.05555555555555555,0.9444444444444444
8,121-130,12,10,0,12,0.0,1.0
8,131-140,13,12,0,13,0.0,1.0
8,141-150,10,9,0,10,0.0,1.0
8,151-160,12,12,0,12,0.0,1.0
8,161-170,9,9,1,8,0.1111111111111111,0.8888888888888888
8,171-180,12,12,3,9,0.25,0.75
8,181-190,5,4,0,5,0.0,1.0
8,191-200,15,13,3,12,0.2,0.8
9,100-110,2,2,2,0,1.0,0.0
9,111-120,3,3,1,2,0.3333333333333333,0.6666666666666666
9,121-130,2,2,0,2,0.0,1.0
9,131-140,3,3,0,3,0.0,1.0
9,141-150,0,0,0,0,,
9,151-160,1,1,0,1,0.0,1.0
9,161-170,4,4,2,2,0.5,0.5
9,171-180,1,1,0,1,0.0,1.0
9,181-190,2,2,1,1,0.5,0.5
9,191-200,2,2,0,2,0.0,1.0
10,100-110,15,14,3,12,0.2,0.8
10,111-120,19,17,5,14,0.2631578947368421,0.7368421052631579
10,121-130,15,13,0,15,0.0,1.0
10,131-140,22,21,2,20,0.09090909090909091,0.9090909090909091
10,141-150,22,21,1,21,0.045454545454545456,0.9545454545454546
10,151-160,10,10,4,6,0.4,0.6
10,161-170,7,7,0,7,0.0,1.0
10,171-180,7,7,1,6,0.14285714285714285,0.8571428571428571
10,181-190,9,9,1,8,0.1111111111111111,0.8888888888888888
10,191-200,7,7,1,6,0.14285714285714285,0.8571428571428571
11,100-110,8,8,0,8,0.0,1.0
11,111-120,4,4,0,4,0.0,1.0
11,121-130,5,5,1,4,0.2,0.8
11,131-140,1,1,1,0,1.0,0.0
11,141-150,1,1,1,0,1.0,0.0
11,151-160,6,2,0,6,0.0,1.0
11,161-170,5,5,1,4,0.2,0.8
11,171-180,2,2,2,0,1.0,0.0
11,181-190,3,3,2,1,0.6666666666666666,0.3333333333333333
11,191-200,0,0,0,0,,
