function_body_split_space_token_count,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range
100,279,24,255,1.3815300425556682,1.3566512841281066,0.08602150537634409,0.9139784946236559
101,241,31,210,1.3952234015165228,1.3542042048477003,0.12863070539419086,0.8713692946058091
102,273,30,243,1.3900801335295407,1.3634039481196256,0.10989010989010989,0.8901098901098901
103,255,31,224,1.3980364832718204,1.3520185343653108,0.12156862745098039,0.8784313725490196
104,231,21,210,1.384008598752563,1.352095685954577,0.09090909090909091,0.9090909090909091
105,245,37,208,1.4045492210772366,1.3751891606112474,0.1510204081632653,0.8489795918367347
106,262,31,231,1.395808785448226,1.357188591495385,0.1183206106870229,0.8816793893129771
107,235,35,200,1.405042861522512,1.364547669941295,0.14893617021276595,0.851063829787234
108,219,21,198,1.3881714192712808,1.354393918847205,0.0958904109589041,0.9041095890410958
109,219,37,182,1.4263076950247149,1.3849156911234113,0.1689497716894977,0.8310502283105022
110,259,39,220,1.406728864704059,1.3641407836695902,0.15057915057915058,0.8494208494208494
111,197,21,176,1.3896895644226908,1.360226041734833,0.1065989847715736,0.8934010152284264
112,222,27,195,1.3922296583264926,1.363475865582783,0.12162162162162163,0.8783783783783784
113,251,38,213,1.4121305931012835,1.3659534907191206,0.15139442231075698,0.848605577689243
114,246,29,217,1.389254137745982,1.3695156451385437,0.11788617886178862,0.8821138211382114
115,230,38,192,1.4245124698884077,1.392576593479645,0.16521739130434782,0.8347826086956521
116,273,39,234,1.3972921234883726,1.3565974482325358,0.14285714285714285,0.8571428571428571
117,225,28,197,1.4011687539592075,1.3717340665631763,0.12444444444444444,0.8755555555555555
118,212,34,178,1.412570352641905,1.3713259327021934,0.16037735849056603,0.839622641509434
119,248,39,209,1.4176059184118095,1.385726630645435,0.15725806451612903,0.842741935483871
120,219,16,203,1.3744580228615872,1.3601687299378296,0.0730593607305936,0.9269406392694064
121,225,43,182,1.440508493907487,1.3867974932134512,0.19111111111111112,0.8088888888888889
122,209,33,176,1.4085897964510847,1.3582124240668676,0.15789473684210525,0.8421052631578947
123,228,32,196,1.4022869934419036,1.3625702860377373,0.14035087719298245,0.8596491228070176
124,234,44,190,1.4205422881651322,1.3718370133530065,0.18803418803418803,0.811965811965812
125,216,27,189,1.3924736861793339,1.3374081284741237,0.125,0.875
126,219,28,191,1.395064595945117,1.36506973484943,0.1278538812785388,0.8721461187214612
127,175,23,152,1.412463744083703,1.3795630223998705,0.13142857142857142,0.8685714285714285
128,191,31,160,1.4277185845175682,1.3634194693526935,0.16230366492146597,0.837696335078534
129,208,25,183,1.4165804562860704,1.3867392711502902,0.1201923076923077,0.8798076923076923
130,235,39,196,1.4185036785773562,1.3914152307529677,0.16595744680851063,0.8340425531914893
131,208,33,175,1.4186586802519217,1.3786156753330534,0.15865384615384615,0.8413461538461539
132,207,31,176,1.4120895055399652,1.3731132798246088,0.1497584541062802,0.8502415458937198
133,227,33,194,1.3935344541320025,1.3527429932385673,0.14537444933920704,0.8546255506607929
134,213,25,188,1.3993362486177812,1.366888158162599,0.11737089201877934,0.8826291079812206
135,189,22,167,1.3867645865347085,1.350628755532337,0.1164021164021164,0.8835978835978836
136,202,31,171,1.415563228684777,1.3662760030773988,0.15346534653465346,0.8465346534653465
137,183,30,153,1.4182937483518636,1.3786987649482418,0.16393442622950818,0.8360655737704918
138,194,26,168,1.41460584011817,1.3763581554125905,0.13402061855670103,0.865979381443299
139,210,37,173,1.4091480645378742,1.368332296262745,0.1761904761904762,0.8238095238095238
140,187,31,156,1.4209608890039052,1.3824560924576388,0.1657754010695187,0.8342245989304813
141,166,20,146,1.3824071365756336,1.3423043851550422,0.12048192771084337,0.8795180722891566
