n_expected_windows,unique_bodies,minimum_tokens,maximum_tokens,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range
1,6738,100,128,907,5831,1.4025466312255417,1.3651161091211748,0.13460967646185812,0.8653903235381419
2,11935,129,200,1556,10379,1.3980135714091781,1.363615543697688,0.13037285295349813,0.8696271470465019
