dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ratio_sample
control,Event-AHU/OpenEvDET,2025-05,36,2,2,396,44,,0,0,,0,2.0,2.0,True,both,control,control,0,0,36,9251,141.0,10829.0,11636,2,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.610917912644224,9.13259502335133,4.955827057601261,1.0986122886681096,1.791759469228055,0.6931471805599453,1,1,1,1,0,Event-AHU/OpenEvDET,2025-05,20,12,8,1,0,0.6,3.044522437723423,2.5649493574615367,2.197224577336219,70,80,70-79,bounded_band,1
control,Event-AHU/OpenEvDET,2025-08,3,1,1,7,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,8,233.0,10791.0,11598,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3862943611198906,2.197224577336219,5.455321115357701,1.0986122886681096,0.6931471805599453,0.6931471805599453,1,1,1,1,0,Event-AHU/OpenEvDET,2025-08,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
control,FFY0/AdaKV,2024-06,1,1,1,54,7,,0,0,,0,1.0,1.0,True,both,control,control,0,0,1,0,0.0,1247.0,1231,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,FFY0/AdaKV,2024-06,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
control,FFY0/AdaKV,2024-11,8,3,1,16,4,,0,0,,0,1.0,1.0,True,both,control,control,0,0,9,978,76.0,2209.0,2233,2,17.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.302585092994045,6.88653164253051,4.343805421853684,1.0986122886681096,2.8903717578961645,1.0986122886681096,1,1,1,1,0,FFY0/AdaKV,2024-11,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,FMInference/FlexiGen,2024-04,1,1,1,5,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,1,203,0.0,661619.0,749980,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471805599453,5.318119993844216,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,FMInference/FlexiGen,2024-04,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
control,FaceAdapter/Face-Adapter,2024-05,22,5,2,154,10,,0,0,,0,2.0,2.0,True,both,control,control,0,0,24,4439,0.0,2500.0,2752,3,180.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.218875824868201,8.39840965542627,0.0,1.3862943611198906,5.198497031265825,2.5649493574615367,1,1,1,1,0,FaceAdapter/Face-Adapter,2024-05,4,4,0,1,0,1.0,1.6094379124341003,1.6094379124341003,0.0,70,80,70-79,bounded_band,1
control,FolhaSP/mosaico,2024-11,29,11,10,381,63,,0,0,,0,10.0,10.0,True,both,control,control,0,0,34,2184,0.0,4869.0,5760,3,5.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.555348061489413,7.68937110752969,0.0,1.3862943611198906,1.791759469228055,3.044522437723423,1,1,1,1,0,FolhaSP/mosaico,2024-11,23,9,14,1,0,0.391304347826087,3.1780538303479453,2.3025850929940455,2.70805020110221,70,80,70-79,bounded_band,1
control,FolhaSP/mosaico,2024-12,4,1,1,17,2,,0,0,,0,1.0,1.0,True,both,control,control,0,0,4,279,16.0,4969.0,5893,2,2.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6094379124341005,5.634789603169249,2.833213344056216,1.0986122886681096,1.0986122886681096,2.4849066497880004,1,1,1,1,0,FolhaSP/mosaico,2024-12,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,70,80,70-79,bounded_band,1
control,FolhaSP/mosaico,2025-02,20,15,14,107,31,,0,0,,0,14.0,14.0,True,both,control,control,0,0,20,2294,78.0,5157.0,6124,2,3.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.044522437723423,7.738488122494645,4.3694478524670215,1.0986122886681096,1.3862943611198906,3.4339872044851463,1,1,1,1,0,FolhaSP/mosaico,2025-02,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,70,80,70-79,bounded_band,1
control,FolhaSP/mosaico,2025-03,19,11,10,64,19,,0,0,,0,10.0,10.0,True,both,control,control,0,0,19,2593,106.0,6083.0,7089,2,0.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.995732273553991,7.860956364876388,4.672828834461906,1.0986122886681096,0.0,3.091042453358316,1,1,1,1,0,FolhaSP/mosaico,2025-03,1,0,1,1,0,0.0,0.6931471805599453,0.0,0.6931471805599453,70,80,70-79,bounded_band,1
