dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.428191489361702,0.786030071799076,0.626149853495874,0.435034415757962,0.67017359600843,2.84209052561109,6.78725604489432,17487.1329787234,60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
treatment,844,100,0.600710900473934,1.31992101958779,1.12342549132905,0.701655825111097,0.704609130782305,3.3907790093758,8.05450751245183,99249.2168246446,60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
