outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,treat,0.0592534196404115,0.0525489384678153,-0.0437424997565066,0.16224933903733,,Borusyak static treatment effect,Any Function-Change Event,60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
log1p_function_change_events,treat,0.086114964581965,0.17781456494734,-0.262401582714822,0.434631511878752,,Borusyak static treatment effect,Total Function-Change Events (log1p),60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,treat,0.0732614489418321,0.165457947684839,-0.251036128520452,0.397559026404116,,Borusyak static treatment effect,AGC-Like Function-Change Events (log1p),60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,treat,0.0680992363030729,0.120858958091185,-0.168784321555649,0.304982794161795,,Borusyak static treatment effect,HWC-Like Function-Change Events (log1p),60-69,60,70,bounded_band,full,paper,calendar_month,all,strict_band_60_69_full_paper_ncloc_calendar_month_all
