dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,322,76,1,1.64387775962313,0.662884046902598,1.38355668577198,0.266305342264906,3.47344597133045,8.54660431548976,20542.0590062112,130-139,130,140,bounded_band,ratio,paper,calendar_month,all,strict_band_130_139_ratio_paper_ncloc_calendar_month_all
treatment,524,91,1,2.05716798069405,0.963409351887702,1.80615378197633,0.240925884545609,4.09594652681438,9.26602255386148,151061.341603053,130-139,130,140,bounded_band,ratio,paper,calendar_month,all,strict_band_130_139_ratio_paper_ncloc_calendar_month_all
