dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,327,82,1,1.81080074863916,1.19847968954185,1.23788487942057,0.502764207004944,3.433823495571,8.50624401918695,19538.8134556575,80-89,80,90,bounded_band,ratio,paper,calendar_month,all,strict_band_80_89_ratio_paper_ncloc_calendar_month_all
treatment,512,87,1,2.18735628693779,1.60451800673133,1.53150730768708,0.528951169693219,4.09775729664802,9.28311663127002,154553.9453125,80-89,80,90,bounded_band,ratio,paper,calendar_month,all,strict_band_80_89_ratio_paper_ncloc_calendar_month_all
