outcome,term,estimate,std_error,conf_low,conf_high,p_value,note,outcome_label,panel,estimate_pct,conf_low_pct,conf_high_pct
log_commits,treat,0.221026935553459,0.120950091864855,-0.0160352445016567,0.458089115608575,0.0676362486537121,Borusyak static treatment effect,Commits,flexible,24.7357028363495,-1.5907364410455,58.1049893006983
log_lines_added,treat,1.02610970763697,0.258653358253764,0.519149125459591,1.53307028981434,7.27454294148362e-05,Borusyak static treatment effect,Lines Added,flexible,179.019003840416,68.0597063906318,363.237775288877
log_commits,treat,0.217748308972099,0.125352362298365,-0.0279423211326953,0.463438939076894,0.0823713228610178,Borusyak static treatment effect,Commits,strict,24.3274107298033,-2.75555453216487,58.953089653742
log_lines_added,treat,0.992551801581745,0.267332730724598,0.468579649361534,1.51652395380196,0.0002049823851366,Borusyak static treatment effect,Lines Added,strict,169.811073843464,59.7723253590538,355.63595200211
