panel,dataset_source,rows,repos,mean_commits,mean_lines_added,mean_log_commits,mean_log_lines_added,mean_contributors_log
flexible,treatment,917,110,98.3565976008724,33354.1712104689,3.38321432237817,8.07807164943714,1.60594712578974
flexible,control,789,122,142.206590621039,179289.719898606,2.83679249916991,6.70529396459041,1.27348648879073
strict,treatment,853,100,100.706916764361,33642.2180539273,3.37369498275051,8.02270245858185,1.58466553429477
strict,control,780,120,143.525641025641,181267.212820513,2.84269971544393,6.72724858064882,1.27627947768349
