outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.0161843485977636,-0.12979775655812,0.162166453753647,0.0744806658958588,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,-0.0665272247036169,-0.235907916525508,0.102853467118274,0.0864187203172911,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,-0.0603552590740396,-0.245774200216782,0.125063682068703,0.0946015005830319,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,-0.13516945423071,-0.28392550532234,0.0135865968609195,0.0758959444345049,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,-0.0843411882233998,-0.262918891365202,0.0942365149184026,0.0911110730315318,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,0.0236423081971294,-0.112963659263705,0.160248275657964,0.0696969221738951,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,-0.0769654404367085,-0.232333476900311,0.0784025960268946,0.0792694063589811,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,-0.0676703172764101,-0.223758705847363,0.0884180712945432,0.0796369329443639,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,-0.0145399301969138,-0.185531937065823,0.156452076671995,0.0872408198310761,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.153594414209605,-0.335032575912568,0.0278437474933592,0.0925704906647774,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,-0.0146867678182072,-0.155001710569019,0.125628174932604,0.0715892565055161,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,0.0455434154758644,-0.093836033982168,0.184922864933897,0.0711119640092002,,FALSE,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
