dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,301,78,1,1.82717265111429,1.07816992600845,1.372342298657,0.406909356300639,3.50803076173485,8.54855388657973,20641.9667774086,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
treatment,526,91,1,2.14379698570385,1.42633827735795,1.61223735767511,0.442560832109396,4.0532625342649,9.26327027860018,151941.268060837,90-99,90,100,bounded_band,ratio,paper,calendar_month,all,strict_band_90_99_ratio_paper_ncloc_calendar_month_all
