outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
has_function_change_event,Any Function-Change Event,-6,-0.0590747465672533,-0.220440159726384,0.102290666591877,0.0823292924281279,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-5,-0.00287451219039923,-0.139650227917905,0.133901203537107,0.0697835284324011,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-4,-0.0398197505922255,-0.2189117943768,0.139272293192349,0.0913734917268236,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-3,0.036674647427414,-0.140533035876222,0.21388233073105,0.0904120833181816,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,-2,0.055000131354694,-0.111567269699705,0.221567532409093,0.0849833678848972,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,0,0.142212542891888,0.00908536966285872,0.275339716120917,0.0679220271576679,,TRUE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,1,0.125178720253128,-0.0203862034622739,0.270743643968529,0.0742678182221436,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,2,0.0150379792467461,-0.131568836959829,0.161644795453321,0.0747993960237629,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,3,0.0186697783392502,-0.153436055908491,0.190775612586991,0.0878090991059902,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,4,-0.117004601728881,-0.285088763858879,0.0510795604011166,0.0857572255765295,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,5,0.00255545852534504,-0.161428610192031,0.166539527242721,0.0836653411823345,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
has_function_change_event,Any Function-Change Event,6,-0.0853486915464416,-0.315455935237976,0.144758552145092,0.11740165494466,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-6,-0.0694925710098655,-0.479891558100718,0.340906416080987,0.20938723831166,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-5,0.00570523351068152,-0.295638048329949,0.307048515351312,0.153746572367669,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-4,-0.164866130644661,-0.53569992424634,0.205967662957017,0.189200915102897,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-3,-0.044171271912663,-0.300608577425202,0.212266033599876,0.130835359955377,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),-2,0.0450932186970008,-0.296609249233154,0.386795686627156,0.174337993841916,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),0,0.36423577891198,0.056346136186655,0.672125421637305,0.15708655241088,,TRUE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),1,0.211763914894111,-0.104785324372482,0.528313154160704,0.161504713911527,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),2,-0.00212638917323506,-0.335708022245934,0.331455243899464,0.170194710751377,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),3,0.0182260661965959,-0.392017799464777,0.428469931857969,0.20930809472519,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),4,-0.221805746620091,-0.665920514737358,0.222309021497176,0.226589167406769,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),5,-0.00929702749813357,-0.488083088028533,0.469489033032266,0.244278602311428,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),6,0.247938270337153,-0.455683687261548,0.951560227935854,0.358990794693215,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-6,0.077627848021848,-0.189396891453465,0.344652587497161,0.136237111977201,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-5,-0.0225753352207449,-0.263149325429259,0.217998654987769,0.122741831739038,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-4,-0.199891671458088,-0.433607832968888,0.0338244900527117,0.119242939546327,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-3,-0.0591419929901128,-0.253088773544903,0.134804787564677,0.0989524390585665,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-2,0.11757643424289,-0.150783728230665,0.385936596716445,0.13691845024161,,FALSE,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
