dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,752,117,0.422872340425532,0.717308859179996,0.327214380315865,0.586096553348555,0.310692420240572,2.84209052561109,6.78725604489432,17487.1329787234,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
treatment,844,100,0.622037914691943,1.29288893832234,0.697842772227796,1.08961351668918,0.310403039754063,3.3907790093758,8.05450751245183,99249.2168246446,120-129,120,130,bounded_band,full,paper,calendar_month,all,strict_band_120_129_full_paper_ncloc_calendar_month_all
