outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.136056368750233,-0.011233057468728,0.283345794969194,0.0751476664382454,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,0.174493232886789,0.000661344779071427,0.348325120994507,0.0886897388304682,,TRUE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,0.171038536505212,0.0103071984559827,0.331769874554441,0.0820057847189944,,TRUE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,0.0544173707816465,-0.122197865592368,0.231032607155661,0.0901098144765379,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,0.19484931354882,0.0317821084936608,0.357916518603979,0.0831975535995709,,TRUE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,-0.083177907729021,-0.209135866640722,0.0427800511826799,0.0642642647508678,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,-0.0640715773191953,-0.207564276450582,0.0794211218121916,0.0732105607813199,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,-0.0313269552227334,-0.205993077319333,0.143339166873866,0.0891153684166325,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,-0.238603393872686,-0.381784033420933,-0.095422754324438,0.0730513467082895,,TRUE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.181451533666085,-0.337944256529795,-0.0249588108023742,0.0798432259508726,,TRUE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,-0.130048386197486,-0.279194602280282,0.0190978298853112,0.0760950082055086,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,-0.0726432713375638,-0.277984295296767,0.132697752621639,0.104765828550614,,FALSE,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
