dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_log1p_commits,mean_log1p_lines_added,mean_ncloc,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
control,318,81,1,1.69627755378414,0.77378998112431,1.38598933370476,0.310692420240572,3.51701356677916,8.58782689795131,20104.1226415094,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
treatment,525,90,1,2.07847288370295,1.12186533287669,1.75168344397269,0.310403039754063,4.06591463123948,9.25186046726017,150251.803809524,120-129,120,130,bounded_band,ratio,paper,calendar_month,all,strict_band_120_129_ratio_paper_ncloc_calendar_month_all
