outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,ast_sequence_token_band_set,analysis_design_status,ast_sequence_token_band_width,ast_sequence_token_band,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_specification,sample_type,ncloc_spec,time_mode,parse_exclusion_mode,panel
log1p_function_change_events,Total Function-Change Events (log1p),0,0.416265366392008,0.0748204118297553,0.75771032095426,0.174206609470537,,TRUE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),1,0.296742521472367,-0.0844897251268419,0.677974768071577,0.194506248264903,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),2,-0.0242652707009458,-0.414162372425447,0.365631831023556,0.198927092716582,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),3,-0.0496763835330763,-0.49880125185445,0.399448484788297,0.229145340980293,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),4,-0.327067538923033,-0.847333764186127,0.193198686340061,0.265441951664844,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),5,-0.0562849810392153,-0.594289747995025,0.481719785916594,0.274492228038678,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_function_change_events,Total Function-Change Events (log1p),6,0.122908687221011,-0.659673733919975,0.905491108361996,0.399276745480095,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-6,0.0814552531696337,-0.248122336850828,0.411032843190095,0.168151831643093,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-5,0.0294983658882292,-0.247180185497557,0.306176917274015,0.141162526217238,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-4,-0.12617274351713,-0.398417026072564,0.146071539038305,0.138900144160936,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-3,-0.123306394242006,-0.360564917580625,0.113952129096613,0.1210502670095,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-2,0.0440642053720958,-0.255921287512866,0.344049698257058,0.153053822900491,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),0,0.142585752133464,-0.133104789222561,0.418276293489489,0.14065843946736,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),1,0.18847267889056,-0.105716956863088,0.482662314644207,0.150096752935534,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),2,-0.124293880778714,-0.417552764004833,0.168965002447406,0.149621879197,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),3,-0.221007328994382,-0.564789783270686,0.122775125281922,0.175399211365461,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),4,-0.208283729760443,-0.629380139712822,0.212812680191936,0.214845107118561,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),5,-0.0847092732789571,-0.537765876264962,0.368347329707047,0.231151328054084,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),6,0.202059267569733,-0.391520033322106,0.795638568461571,0.302846582087673,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-6,-0.0173205820990232,-0.42219335127239,0.387552187074344,0.206567739374167,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-5,-0.0190694652851731,-0.339640251934601,0.301501321364255,0.163556523800729,,FALSE,width20_80_139,post_hoc_exploratory_sensitivity,20,120-139,120,140,bounded_band,full,paper,calendar_month,all,strict_width20_80_139_band_120_139_full_paper_ncloc_calendar_month_all
