panel,metric,exists,nonmissing,missing,mean,median,min,max,zero_count
strict,ncloc_raw,1,1589,44,57545.05789804909,7660.0,4.0,2037467.0,0
strict,bugs_raw,1,1611,22,40.04158907510863,4.0,0.0,2278.0,405
strict,vulnerabilities_raw,1,1611,22,7.75356921166977,1.0,0.0,157.0,795
strict,code_smells_raw,1,1611,22,989.195530726257,122.0,0.0,41102.0,62
strict,duplicated_lines_density_raw,1,1589,44,6.413845185651352,2.6,0.0,94.5,444
strict,comment_lines_density_raw,1,1589,44,15.404027690371302,12.7,0.0,47.7,9
strict,cognitive_complexity_raw,1,1588,45,5170.76637279597,927.0,0.0,113885.0,2
strict,technical_debt_raw,1,1611,22,6236.284916201117,808.0,0.0,242848.0,62
strict,static_analysis_warnings,1,1611,22,1036.9906890130353,140.0,0.0,43384.0,56
strict,duplicate_line_density,1,1589,44,6.413845185651352,2.6,0.0,94.5,444
strict,code_complexity,1,1588,45,5170.76637279597,927.0,0.0,113885.0,2
strict,warnings_per_kloc,1,1589,44,27.638088471186247,17.377567140600316,0.0,759.3860684769776,34
strict,complexity_per_kloc,1,1588,45,139.11405522003858,114.58333333333331,0.0,836.836580557618,2
strict,code_smells_per_kloc,1,1589,44,25.3474841831304,16.65065642010887,0.0,757.9693034238488,40
strict,sonarqube_any_raw_metric_missing,1,1633,0,0.0275566442131047,0.0,0.0,1.0,1588
strict,sonarqube_all_raw_metrics_missing,1,1633,0,0.0134721371708511,0.0,0.0,1.0,1611
strict,sonarqube_ncloc_zero,1,1633,0,0.0,0.0,0.0,0.0,1633
strict,sonarqube_static_warnings_missing,1,1633,0,0.0134721371708511,0.0,0.0,1.0,1611
strict,sonarqube_duplicate_density_missing,1,1633,0,0.0269442743417023,0.0,0.0,1.0,1589
strict,sonarqube_cognitive_complexity_missing,1,1633,0,0.0275566442131047,0.0,0.0,1.0,1588
strict,sonarqube_quality_outcomes_complete,1,1633,0,0.9724433557868952,1.0,0.0,1.0,45
