dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,730,118,0.727397260273973,2.70923791128007,1.70717095937801,2.51801702871053,0.231103587499847,14085.7219178082
treatment,791,100,0.829329962073325,3.79057707429996,2.5850457600304,3.55817638657036,0.23738888210822,54422.9860935525
