dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,60,0,60,6,,0,0,,0,1.0,1.0,60.0,60.0,0.0,19.0,41.0,0.3166666666666666,19.0,41.0,0.0,0.0,60.0,True,both,1,0,control,control,0,0,4.110873864173311,2.995732273553991,3.7376696182833684
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,7,0,7,1,,0,0,,0,1.0,1.0,7.0,7.0,0.0,1.0,6.0,0.1428571428571428,1.0,6.0,0.0,0.0,7.0,True,both,1,0,control,control,0,0,2.0794415416798357,0.6931471805599453,1.9459101490553132
control,AkariAsai/ScholarQABench,2025-04,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,AkariAsai/ScholarQABench,2025-07,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,AkariAsai/ScholarQABench,2025-08,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,48,27,21,27,5,,0,0,,0,6.0,6.0,48.0,48.0,0.0,14.0,34.0,0.2916666666666667,10.0,17.0,4.0,17.0,27.0,True,both,1,0,control,control,0,0,3.8918202981106265,2.70805020110221,3.5553480614894135
control,ArpiarSaundersLab/annsql,2024-10,22,18,13,36,10,26,16,4,,0,0,,0,13.0,13.0,36.0,36.0,0.0,2.0,34.0,0.0555555555555555,1.0,9.0,1.0,25.0,16.0,True,both,1,0,control,control,0,0,3.6109179126442243,1.0986122886681096,3.5553480614894135
control,ArpiarSaundersLab/annsql,2024-11,13,10,5,9,3,6,7,4,,0,0,,0,5.0,5.0,9.0,9.0,0.0,3.0,6.0,0.3333333333333333,2.0,1.0,1.0,5.0,7.0,True,both,1,0,control,control,0,0,2.302585092994046,1.3862943611198906,1.9459101490553132
control,ArpiarSaundersLab/annsql,2024-12,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
