dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events
control,ArpiarSaundersLab/annsql,2025-01,5,5,3,17,14,3,15,3,,0,0,,0,3.0,3.0,17.0,17.0,0.0,1.0,16.0,0.0588235294117647,1.0,13.0,0.0,3.0,15.0,True,both,1,0,control,control,0,0,2.8903717578961645,0.6931471805599453,2.833213344056216
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,190,91,99,128,9,,0,0,,0,13.0,13.0,190.0,190.0,0.0,79.0,111.0,0.4157894736842105,47.0,44.0,32.0,67.0,128.0,True,both,1,0,control,control,0,0,5.25227342804663,4.382026634673881,4.718498871295094
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,51,17,34,36,6,,0,0,,0,7.0,7.0,51.0,51.0,0.0,26.0,25.0,0.5098039215686274,15.0,2.0,11.0,23.0,36.0,True,both,1,0,control,control,0,0,3.9512437185814275,3.295836866004329,3.258096538021482
control,ArpiarSaundersLab/annsql,2025-04,1,1,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2025-05,1,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,BalancerMaxis/multisig-ops,2024-01,158,25,17,34,3,31,15,4,,0,0,,0,17.0,17.0,34.0,34.0,0.0,1.0,33.0,0.0294117647058823,0.0,3.0,1.0,30.0,15.0,True,both,1,0,control,control,2,1,3.5553480614894135,0.6931471805599453,3.5263605246161616
control,BalancerMaxis/multisig-ops,2024-02,118,13,13,25,5,20,13,4,,0,0,,0,13.0,13.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,20.0,13.0,True,both,1,0,control,control,0,0,3.258096538021482,0.0,3.258096538021482
control,BalancerMaxis/multisig-ops,2024-03,205,44,38,64,13,51,22,5,,0,0,,0,38.0,38.0,64.0,64.0,0.0,9.0,55.0,0.140625,4.0,9.0,5.0,46.0,22.0,True,both,1,0,control,control,2,1,4.174387269895637,2.302585092994046,4.02535169073515
control,BalancerMaxis/multisig-ops,2024-04,225,45,19,30,4,26,14,6,,0,0,,0,19.0,19.0,30.0,30.0,0.0,3.0,27.0,0.1,0.0,4.0,3.0,23.0,14.0,True,both,1,0,control,control,0,0,3.4339872044851463,1.3862943611198906,3.332204510175204
control,BalancerMaxis/multisig-ops,2024-05,245,52,31,58,4,54,21,9,,0,0,,0,31.0,31.0,58.0,58.0,0.0,0.0,58.0,0.0,0.0,4.0,0.0,54.0,21.0,True,both,1,0,control,control,0,0,4.07753744390572,0.0,4.07753744390572
control,BalancerMaxis/multisig-ops,2024-06,241,36,19,31,6,25,19,7,,0,0,,0,19.0,19.0,31.0,31.0,0.0,5.0,26.0,0.1612903225806451,1.0,5.0,4.0,21.0,19.0,True,both,1,0,control,control,2,1,3.4657359027997265,1.791759469228055,3.295836866004329
control,BalancerMaxis/multisig-ops,2024-07,227,36,18,20,2,18,10,4,,0,0,,0,18.0,18.0,20.0,20.0,0.0,6.0,14.0,0.3,2.0,0.0,4.0,14.0,10.0,True,both,1,0,control,control,0,0,3.044522437723423,1.9459101490553132,2.70805020110221
control,BalancerMaxis/multisig-ops,2024-08,189,9,7,9,5,4,7,4,,0,0,,0,7.0,7.0,9.0,9.0,0.0,1.0,8.0,0.1111111111111111,1.0,4.0,0.0,4.0,7.0,True,both,1,0,control,control,0,0,2.302585092994046,0.6931471805599453,2.1972245773362196
control,BalancerMaxis/multisig-ops,2024-09,215,21,15,23,0,23,15,6,,0,0,,0,15.0,15.0,23.0,23.0,0.0,3.0,20.0,0.1304347826086956,0.0,0.0,3.0,20.0,15.0,True,both,1,0,control,control,0,0,3.1780538303479458,1.3862943611198906,3.044522437723423
control,BalancerMaxis/multisig-ops,2024-10,262,8,7,7,1,6,2,2,,0,0,,0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6.0,2.0,True,both,1,0,control,control,0,0,2.0794415416798357,0.0,2.0794415416798357
control,BalancerMaxis/multisig-ops,2024-11,100,21,11,25,11,14,16,7,,0,0,,0,11.0,11.0,25.0,25.0,0.0,2.0,23.0,0.08,1.0,10.0,1.0,13.0,16.0,True,both,1,0,control,control,0,0,3.258096538021482,1.0986122886681096,3.1780538303479458
control,BalancerMaxis/multisig-ops,2024-12,235,15,9,27,6,21,25,21,,0,0,,0,9.0,9.0,27.0,27.0,0.0,2.0,25.0,0.074074074074074,2.0,4.0,0.0,21.0,25.0,True,both,1,0,control,control,0,0,3.332204510175204,1.0986122886681096,3.258096538021482
control,BalancerMaxis/multisig-ops,2025-01,223,18,17,24,2,22,12,4,,0,0,,0,17.0,17.0,24.0,24.0,0.0,3.0,21.0,0.125,1.0,1.0,2.0,20.0,12.0,True,both,1,0,control,control,0,0,3.2188758248682006,1.3862943611198906,3.091042453358316
control,BalancerMaxis/multisig-ops,2025-02,241,26,21,33,3,30,16,4,,0,0,,0,21.0,21.0,33.0,33.0,0.0,2.0,31.0,0.0606060606060606,0.0,3.0,2.0,28.0,16.0,True,both,1,0,control,control,0,0,3.5263605246161616,1.0986122886681096,3.4657359027997265
control,BalancerMaxis/multisig-ops,2025-03,218,27,16,59,4,55,36,15,,0,0,,0,16.0,16.0,59.0,59.0,0.0,5.0,54.0,0.0847457627118644,1.0,3.0,4.0,51.0,36.0,True,both,1,0,control,control,0,0,4.0943445622221,1.791759469228055,4.007333185232471
control,BalancerMaxis/multisig-ops,2025-04,290,16,14,16,2,14,8,6,,0,0,,0,14.0,14.0,16.0,16.0,0.0,1.0,15.0,0.0625,1.0,1.0,0.0,14.0,8.0,True,both,1,0,control,control,0,0,2.833213344056216,0.6931471805599453,2.772588722239781
control,BalancerMaxis/multisig-ops,2025-05,272,16,12,14,2,12,3,1,,0,0,,0,12.0,12.0,14.0,14.0,0.0,1.0,13.0,0.0714285714285714,1.0,1.0,0.0,12.0,3.0,True,both,1,0,control,control,0,0,2.70805020110221,0.6931471805599453,2.639057329615259
control,BalancerMaxis/multisig-ops,2025-06,234,30,22,35,5,30,17,6,,0,0,,0,22.0,22.0,35.0,35.0,0.0,5.0,30.0,0.1428571428571428,2.0,3.0,3.0,27.0,17.0,True,both,1,0,control,control,0,0,3.58351893845611,1.791759469228055,3.4339872044851463
control,BalancerMaxis/multisig-ops,2025-07,230,14,9,22,14,8,21,7,,0,0,,0,9.0,9.0,22.0,22.0,0.0,7.0,15.0,0.3181818181818182,6.0,8.0,1.0,7.0,21.0,True,both,1,0,control,control,0,0,3.1354942159291497,2.0794415416798357,2.772588722239781
control,BalancerMaxis/multisig-ops,2025-08,363,47,25,66,36,30,31,6,,0,0,,0,25.0,25.0,66.0,66.0,0.0,8.0,58.0,0.1212121212121212,6.0,30.0,2.0,28.0,31.0,True,both,1,0,control,control,0,0,4.204692619390966,2.1972245773362196,4.07753744390572
control,Benzauber/convert-commander,2024-11,16,1,1,17,17,0,17,3,,0,0,,0,1.0,1.0,17.0,17.0,0.0,5.0,12.0,0.2941176470588235,5.0,12.0,0.0,0.0,17.0,True,both,1,0,control,control,0,0,2.8903717578961645,1.791759469228055,2.5649493574615367
control,Benzauber/convert-commander,2024-12,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-01,3,1,1,14,4,10,14,5,,0,0,,0,1.0,1.0,14.0,14.0,0.0,5.0,9.0,0.3571428571428571,4.0,0.0,1.0,9.0,14.0,True,both,1,0,control,control,0,0,2.70805020110221,1.791759469228055,2.302585092994046
control,Benzauber/convert-commander,2025-03,6,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-05,5,2,1,1,1,0,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.6931471805599453,0.0
control,Benzauber/convert-commander,2025-06,2,1,1,5,2,3,5,1,,0,0,,0,1.0,1.0,5.0,5.0,0.0,3.0,2.0,0.6,2.0,0.0,1.0,2.0,5.0,True,both,1,0,control,control,0,0,1.791759469228055,1.3862943611198906,1.0986122886681096
control,Benzauber/convert-commander,2025-07,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Benzauber/convert-commander,2025-08,3,2,2,11,7,4,11,2,,0,0,,0,2.0,2.0,11.0,11.0,0.0,5.0,6.0,0.4545454545454545,4.0,3.0,1.0,3.0,11.0,True,both,1,0,control,control,0,0,2.4849066497880004,1.791759469228055,1.9459101490553132
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,29,25,4,25,9,,0,0,,0,4.0,4.0,29.0,29.0,0.0,16.0,13.0,0.5517241379310345,13.0,12.0,3.0,1.0,25.0,True,both,1,0,control,control,0,0,3.4011973816621555,2.833213344056216,2.639057329615259
control,BiancoChiu/iOSRealRun-cli-18,2024-03,3,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,BiancoChiu/iOSRealRun-cli-18,2025-02,6,4,4,8,1,7,5,3,,0,0,,0,4.0,4.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,5.0,True,both,1,0,control,control,0,0,2.1972245773362196,0.0,2.1972245773362196
control,BiancoChiu/iOSRealRun-cli-18,2025-03,3,1,1,2,0,2,2,2,,0,0,,0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,2.0,True,both,1,0,control,control,0,0,1.0986122886681096,0.6931471805599453,0.6931471805599453
control,BiancoChiu/iOSRealRun-cli-18,2025-05,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,BiancoChiu/iOSRealRun-cli-18,2025-06,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,C4NU/Paddie,2024-01,6,6,6,10,0,10,8,6,,0,0,,0,6.0,6.0,10.0,10.0,0.0,1.0,9.0,0.1,0.0,0.0,1.0,9.0,8.0,True,both,1,0,control,control,0,0,2.3978952727983707,0.6931471805599453,2.302585092994046
control,C4NU/Paddie,2024-02,5,5,5,7,0,7,5,3,,0,0,,0,5.0,5.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,True,both,1,0,control,control,0,0,2.0794415416798357,0.0,2.0794415416798357
control,C4NU/Paddie,2024-03,5,5,5,14,1,13,11,5,,0,0,,0,5.0,5.0,14.0,14.0,0.0,4.0,10.0,0.2857142857142857,1.0,0.0,3.0,10.0,11.0,True,both,1,0,control,control,0,0,2.70805020110221,1.6094379124341003,2.3978952727983707
control,C4NU/Paddie,2024-04,0,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,C4NU/Paddie,2025-03,26,13,12,174,154,20,158,24,,0,0,,0,12.0,12.0,174.0,174.0,0.0,77.0,97.0,0.4425287356321839,75.0,79.0,2.0,18.0,158.0,True,both,1,0,control,control,0,0,5.1647859739235145,4.356708826689592,4.584967478670572
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-05,99,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-06,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-07,73,25,7,311,307,4,212,14,,0,0,,0,7.0,7.0,311.0,311.0,0.0,92.0,219.0,0.2958199356913183,92.0,215.0,0.0,4.0,212.0,True,both,1,0,control,control,0,0,5.7430031878094825,4.532599493153256,5.393627546352361
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-08,12,10,2,4,4,0,2,2,,0,0,,0,2.0,2.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,True,both,1,0,control,control,0,0,1.6094379124341003,1.6094379124341003,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-09,15,10,5,10,10,0,2,2,,0,0,,0,5.0,5.0,10.0,10.0,0.0,10.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,True,both,1,0,control,control,0,0,2.3978952727983707,2.3978952727983707,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-10,210,40,6,208,195,13,112,5,,0,0,,0,6.0,6.0,208.0,208.0,0.0,61.0,147.0,0.2932692307692308,61.0,134.0,0.0,13.0,112.0,True,both,1,0,control,control,0,0,5.342334251964811,4.127134385045092,4.997212273764115
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-11,31,3,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2024-12,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-01,10,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-02,32,19,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-03,63,9,5,377,376,1,255,17,,0,0,,0,5.0,5.0,377.0,377.0,0.0,108.0,269.0,0.2864721485411141,108.0,268.0,0.0,1.0,255.0,True,both,1,0,control,control,0,0,5.934894195619588,4.6913478822291435,5.598421958998375
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-04,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-05,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,DakeQQ/YOLO-Depth-Estimation-for-Android,2025-08,56,5,5,142,62,80,141,8,,0,0,,0,5.0,5.0,142.0,142.0,0.0,23.0,119.0,0.1619718309859155,9.0,53.0,14.0,66.0,141.0,True,both,1,0,control,control,0,0,4.962844630259907,3.1780538303479458,4.787491742782046
control,Drchip61/Dual_SAM,2024-03,27,1,1,268,268,0,268,23,,0,0,,0,1.0,1.0,268.0,268.0,0.0,84.0,184.0,0.3134328358208955,84.0,184.0,0.0,0.0,268.0,True,both,1,0,control,control,1,1,5.594711379601839,4.442651256490317,5.220355825078325
control,Drchip61/Dual_SAM,2024-04,5,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Drchip61/Dual_SAM,2024-12,2,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,EURAC-EEBgroup/brick-llm,2024-09,2,1,1,27,27,0,27,4,,0,0,,0,1.0,1.0,27.0,27.0,0.0,10.0,17.0,0.3703703703703703,10.0,17.0,0.0,0.0,27.0,True,both,1,0,control,control,0,0,3.332204510175204,2.3978952727983707,2.8903717578961645
control,EURAC-EEBgroup/brick-llm,2024-10,49,32,24,160,42,118,61,18,,0,0,,0,24.0,24.0,160.0,160.0,0.0,61.0,99.0,0.38125,23.0,19.0,38.0,80.0,61.0,True,both,1,0,control,control,0,0,5.081404364984463,4.127134385045092,4.605170185988092
control,EURAC-EEBgroup/brick-llm,2024-11,40,7,4,17,4,13,15,12,,0,0,,0,4.0,4.0,17.0,17.0,0.0,3.0,14.0,0.1764705882352941,2.0,2.0,1.0,12.0,15.0,True,both,1,0,control,control,0,0,2.8903717578961645,1.3862943611198906,2.70805020110221
control,EURAC-EEBgroup/brick-llm,2024-12,7,7,4,11,1,10,9,9,,0,0,,0,4.0,4.0,11.0,11.0,0.0,2.0,9.0,0.1818181818181818,0.0,1.0,2.0,8.0,9.0,True,both,1,0,control,control,0,0,2.4849066497880004,1.0986122886681096,2.302585092994046
control,EURAC-EEBgroup/brick-llm,2025-01,6,1,1,1,0,1,1,1,,0,0,,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True,both,1,0,control,control,0,0,0.6931471805599453,0.0,0.6931471805599453
control,EURAC-EEBgroup/brick-llm,2025-03,2,1,1,15,5,10,15,11,,0,0,,0,1.0,1.0,15.0,15.0,0.0,4.0,11.0,0.2666666666666666,1.0,4.0,3.0,7.0,15.0,True,both,1,0,control,control,0,0,2.772588722239781,1.6094379124341003,2.4849066497880004
control,EURAC-EEBgroup/brick-llm,2025-05,0,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Envious-Data/Env-KB,2024-04,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-06,11,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-07,14,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-08,10,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-09,3,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-11,8,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2024-12,26,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2025-01,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2025-02,45,3,3,740,740,0,740,78,,0,0,,0,3.0,3.0,740.0,740.0,0.0,232.0,508.0,0.3135135135135135,232.0,508.0,0.0,0.0,710.0,True,both,1,0,control,control,0,0,6.608000625296087,5.4510384535657,6.2324480165505225
control,Event-AHU/OpenEvDET,2025-03,7,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2025-04,4,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2025-05,36,2,2,396,396,0,396,44,,0,0,,0,2.0,2.0,396.0,396.0,0.0,119.0,277.0,0.3005050505050505,119.0,277.0,0.0,0.0,381.0,True,both,1,0,control,control,0,0,5.983936280687191,4.787491742782046,5.627621113690637
control,Event-AHU/OpenEvDET,2025-07,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,Event-AHU/OpenEvDET,2025-08,3,1,1,7,7,0,7,1,,0,0,,0,1.0,1.0,7.0,7.0,0.0,1.0,6.0,0.1428571428571428,1.0,6.0,0.0,0.0,7.0,True,both,1,0,control,control,0,0,2.0794415416798357,0.6931471805599453,1.9459101490553132
control,FFY0/AdaKV,2024-06,1,1,1,54,54,0,54,7,,0,0,,0,1.0,1.0,54.0,54.0,0.0,14.0,40.0,0.2592592592592592,14.0,40.0,0.0,0.0,54.0,True,both,1,0,control,control,0,0,4.007333185232471,2.70805020110221,3.713572066704308
control,FFY0/AdaKV,2024-07,2,2,2,29,18,11,26,3,,0,0,,0,2.0,2.0,29.0,29.0,0.0,11.0,18.0,0.3793103448275862,9.0,9.0,2.0,9.0,26.0,True,both,1,0,control,control,0,0,3.4011973816621555,2.4849066497880004,2.9444389791664403
control,FFY0/AdaKV,2024-08,6,2,2,34,18,16,29,8,,0,0,,0,2.0,2.0,34.0,34.0,0.0,6.0,28.0,0.1764705882352941,0.0,18.0,6.0,10.0,29.0,True,both,1,0,control,control,0,0,3.5553480614894135,1.9459101490553132,3.367295829986474
control,FFY0/AdaKV,2024-11,8,3,1,16,4,12,16,4,,0,0,,0,1.0,1.0,16.0,16.0,0.0,1.0,15.0,0.0625,0.0,4.0,1.0,11.0,16.0,True,both,1,0,control,control,0,0,2.833213344056216,0.6931471805599453,2.772588722239781
control,FFY0/AdaKV,2024-12,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
control,FFY0/AdaKV,2025-01,1,1,1,36,12,24,36,9,,0,0,,0,1.0,1.0,36.0,36.0,0.0,3.0,33.0,0.0833333333333333,3.0,9.0,0.0,24.0,36.0,True,both,1,0,control,control,0,0,3.6109179126442243,1.3862943611198906,3.5263605246161616
control,FFY0/AdaKV,2025-06,1,0,0,0,0,0,0,0,,0,0,,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,control,control,0,0,0.0,0.0,0.0
