check,value
panel_label,strict
input_rows,1633
output_rows,1633
row_count_preserved_in_full_output,1
repos,220
min_time,2024-01
max_time,2025-08
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
duplicate_repo_time_source_rows,0
analysis_ready_did_base_rows,1633
analysis_ready_core_quality_rows,1603
analysis_ready_quality_did_rows,1603
missing_core_quality_rows,30
treatment_time_to_event_nonmissing,853
control_time_to_event_nonmissing,0
post_event_sum,432
control_post_event_sum,0
treatment_post_event_sum,432
sonarqube_latest_commit_missing,0
sonarqube_any_raw_metric_missing_sum,30
sonarqube_all_raw_metrics_missing_sum,7
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,7
sonarqube_duplicate_density_missing_sum,29
sonarqube_cognitive_complexity_missing_sum,30
sonarqube_quality_outcomes_complete_sum,1603
static_analysis_warnings_nonmissing,1626
static_analysis_warnings_missing,7
static_analysis_warnings_zero_count,56
static_analysis_warnings_mean,1030.9255842558425
static_analysis_warnings_median,139.5
duplicate_line_density_nonmissing,1604
duplicate_line_density_missing,29
duplicate_line_density_zero_count,455
duplicate_line_density_mean,6.372256857855361
duplicate_line_density_median,2.6
code_complexity_nonmissing,1603
code_complexity_missing,30
code_complexity_zero_count,2
code_complexity_mean,5139.744229569557
code_complexity_median,927.0
warnings_per_kloc_nonmissing,1604
warnings_per_kloc_missing,29
warnings_per_kloc_zero_count,34
warnings_per_kloc_mean,27.68182694088318
warnings_per_kloc_median,17.518285509692596
complexity_per_kloc_nonmissing,1603
complexity_per_kloc_missing,30
complexity_per_kloc_zero_count,2
complexity_per_kloc_mean,139.36155110771958
complexity_per_kloc_median,115.734562659226
code_smells_per_kloc_nonmissing,1604
code_smells_per_kloc_missing,29
code_smells_per_kloc_zero_count,40
code_smells_per_kloc_mean,25.389363593501532
code_smells_per_kloc_median,16.789799379375047
technical_debt_nonmissing,1626
technical_debt_missing,7
technical_debt_zero_count,62
technical_debt_mean,6197.619926199262
technical_debt_median,793.0
ncloc_nonmissing,1604
ncloc_missing,29
ncloc_zero_count,0
ncloc_mean,57131.77743142145
ncloc_median,7613.5
duplicated_lines_density_nonmissing,1604
duplicated_lines_density_missing,29
duplicated_lines_density_zero_count,455
duplicated_lines_density_mean,6.372256857855361
duplicated_lines_density_median,2.6
comment_lines_density_nonmissing,1604
comment_lines_density_missing,29
comment_lines_density_zero_count,10
comment_lines_density_mean,15.345199501246883
comment_lines_density_median,12.55
cognitive_complexity_nonmissing,1603
cognitive_complexity_missing,30
cognitive_complexity_zero_count,2
cognitive_complexity_mean,5139.744229569557
cognitive_complexity_median,927.0
bugs_nonmissing,1626
bugs_missing,7
bugs_zero_count,409
bugs_mean,39.84009840098401
bugs_median,4.0
vulnerabilities_nonmissing,1626
vulnerabilities_missing,7
vulnerabilities_zero_count,806
vulnerabilities_mean,7.7060270602706025
vulnerabilities_median,1.0
code_smells_nonmissing,1626
code_smells_missing,7
code_smells_zero_count,62
code_smells_mean,983.3794587945879
code_smells_median,120.0
log_static_analysis_warnings_nonmissing,1626
log_static_analysis_warnings_finite,1626
log_code_complexity_nonmissing,1603
log_code_complexity_finite,1603
log_technical_debt_nonmissing,1626
log_technical_debt_finite,1626
log_ncloc_nonmissing,1604
log_ncloc_finite,1604
log_bugs_nonmissing,1626
log_bugs_finite,1626
log_vulnerabilities_nonmissing,1626
log_vulnerabilities_finite,1626
log_code_smells_nonmissing,1626
log_code_smells_finite,1626
log_warnings_per_kloc_nonmissing,1604
log_warnings_per_kloc_finite,1604
log_complexity_per_kloc_nonmissing,1603
log_complexity_per_kloc_finite,1603
log_code_smells_per_kloc_nonmissing,1604
log_code_smells_per_kloc_finite,1604
complete_output_path,repo_python/did_final_pyv2/panel_event_matched_strict_with_sonarqube_quality_did_input_complete.csv
complete_output_rows,1603
complete_output_repos,219
