repo_name,status,target_dir,note
toheart/goanalysis,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/toheart_goanalysis,ok
grafana/faro-flutter-sdk,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/grafana_faro-flutter-sdk,ok
airweave-ai/airweave,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/airweave-ai_airweave,ok
sirkirby/unifi-network-rules,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/sirkirby_unifi-network-rules,ok
VladSez/easy-invoice-pdf,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_repo_dataset/VladSez_easy-invoice-pdf,ok
