dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ratio_sample
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,6,,0,0,,0,1.0,1.0,True,both,control,control,0,0,3,12969,0.0,1469.0,1545,2,32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,9.47039427731049,0.0,1.0986122886681096,3.49650756146648,0.6931471805599453,1,1,1,1,0,AkariAsai/ScholarQABench,2024-11,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,50,60,50-59,bounded_band,1
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,7,2632,73.0,1602.0,1714,2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.079441541679836,7.875879159496309,4.304065093204169,1.0986122886681096,2.079441541679836,0.0,1,1,1,1,0,AkariAsai/ScholarQABench,2025-02,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,50,60,50-59,bounded_band,1
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,27,5,,0,0,,0,6.0,6.0,True,both,control,control,0,0,20,4392,0.0,779.0,741,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.044522437723423,8.38776764397578,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2024-09,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,50,60,50-59,bounded_band,1
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,128,9,,0,0,,0,13.0,13.0,True,both,control,control,0,0,19,52835,90.0,3309.0,3871,2,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.995732273553991,10.874948055543754,4.51085950651685,1.0986122886681096,1.6094379124341005,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-02,9,8,1,1,0,0.8888888888888888,2.3025850929940455,2.197224577336219,0.6931471805599453,50,60,50-59,bounded_band,1
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,36,6,,0,0,,0,7.0,7.0,True,both,control,control,0,0,18,6354,118.0,3626.0,4192,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.9444389791664403,8.756997183623554,4.77912349311153,1.0986122886681096,1.3862943611198906,0.0,1,1,1,1,0,ArpiarSaundersLab/annsql,2025-03,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,50,60,50-59,bounded_band,1
control,BalancerMaxis/multisig-ops,2024-03,205,44,38,22,5,,0,0,,0,38.0,38.0,True,both,control,control,2,1,290,44398,416.0,8859.0,8626,15,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.673323267171492,10.700972225644158,6.0330862217988015,2.772588722239781,0.0,1.791759469228055,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-03,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,50,60,50-59,bounded_band,1
control,BalancerMaxis/multisig-ops,2024-06,241,36,19,19,7,,0,0,,0,19.0,19.0,True,both,control,control,2,1,321,107979,508.0,9596.0,9357,20,1.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.7745515455444085,11.589701303772278,6.2324480165505225,3.044522437723423,0.6931471805599453,2.5649493574615367,1,1,1,1,0,BalancerMaxis/multisig-ops,2024-06,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,50,60,50-59,bounded_band,1
control,Benzauber/convert-commander,2025-05,5,2,1,1,1,,0,0,,0,1.0,1.0,True,both,control,control,0,0,5,120,175.0,1305.0,422,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,4.795790545596741,5.170483995038151,1.0986122886681096,0.6931471805599453,0.0,1,1,1,1,0,Benzauber/convert-commander,2025-05,1,1,0,1,0,1.0,0.6931471805599453,0.6931471805599453,0.0,50,60,50-59,bounded_band,1
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,25,9,,0,0,,0,4.0,4.0,True,both,control,control,0,0,14,461,0.0,303.0,307,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,6.135564891081739,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,BiancoChiu/iOSRealRun-cli-18,2024-02,2,1,1,1,0,0.5,1.0986122886681096,0.6931471805599453,0.6931471805599453,50,60,50-59,bounded_band,1
control,C4NU/Paddie,2025-03,26,13,12,158,24,,0,0,,0,12.0,12.0,True,both,control,control,0,0,30,17902,507.0,1614.0,1828,2,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.4339872044851463,9.792723575551271,6.230481447578482,1.0986122886681096,1.3862943611198906,1.791759469228055,1,1,1,1,0,C4NU/Paddie,2025-03,10,9,1,1,0,0.9,2.3978952727983707,2.3025850929940455,0.6931471805599453,50,60,50-59,bounded_band,1
