treatment_repo,control_rank,control_repo,event_window_min,event_window_max,treatment_python_months_observed_in_window,control_python_eligible_months,control_no_python_months,control_unknown_or_unavailable_months,stable_python_for_observed_treatment_months,eligible_snapshot_age_max_months
tsukumijima/KonomiTV,2,jfcrenshaw/pzflow,-6,6,13,13,0,0,1,8
tsukumijima/KonomiTV,3,qiboteam/qibojit,-6,6,13,13,0,0,1,1
ttmouse/Wispr-Flow-CN,1,RobinWu218/ToST,-6,6,10,5,2,3,0,4
ttmouse/Wispr-Flow-CN,2,vonssy/BlockBitsApp-BOT,-6,6,10,7,0,3,0,6
ttmouse/Wispr-Flow-CN,3,Scrapybara/scrapybara-playground,-6,6,10,7,0,3,0,3
tw-haiven/haiven,1,IBM/mt-rag-benchmark,-6,6,13,9,0,4,0,4
tw-haiven/haiven,2,ArpiarSaundersLab/annsql,-6,6,13,12,0,1,0,3
tw-haiven/haiven,3,evermoving/SystemCaptioner,-6,6,13,11,0,2,0,7
utensils/mcp-nixos,1,aws/nova-act,-6,6,6,6,0,0,1,0
utensils/mcp-nixos,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
utensils/mcp-nixos,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
vcs-python/vcspull,1,Khrylx/PyTorch-RL,-6,6,12,12,0,0,1,54
vcs-python/vcspull,2,ahmetozlu/color_recognition,-6,6,12,12,0,0,1,55
vcs-python/vcspull,3,oval-group/smooth-topk,-6,6,12,12,0,0,1,48
vietanhdev/anylabeling,1,microsoft/AzureTRE,-6,6,9,9,0,0,1,0
vietanhdev/anylabeling,2,Scholar01/sd-webui-bg-mask,-6,6,9,9,0,0,1,19
vietanhdev/anylabeling,3,zeyangsha/De-Fake,-6,6,9,9,0,0,1,12
wdm0006/elote,1,snowzjx/ns3-load-balance,-6,6,11,11,0,0,1,66
wdm0006/elote,2,jyjblrd/SelfDrivingCar,-6,6,11,11,0,0,1,65
wdm0006/elote,3,tranceitionalMynd/spy-reaper,-6,6,11,11,0,0,1,89
wdm0006/git-pandas,1,dimatura/pypcd,-6,6,11,11,0,0,1,12
wdm0006/git-pandas,2,LonamiWebs/Telebackup,-6,6,11,11,0,0,1,91
wdm0006/git-pandas,3,R0uter/ss.conf-for-surge,-6,6,11,11,0,0,1,12
wdm0006/pygeohash,1,anujshah1003/Tensorboard-own-image-data-image-features-embedding-visualization,-6,6,11,11,0,0,1,48
wdm0006/pygeohash,2,surajt97/Train_Delay_Prediction,-6,6,11,11,0,0,1,93
wdm0006/pygeohash,3,autti/abraham,-6,6,11,11,0,0,1,98
whiteducksoftware/flock,1,aio-libs/aiohttp,-6,6,7,7,0,0,1,0
whiteducksoftware/flock,2,pieces-app/cli-agent,-6,6,7,7,0,0,1,0
whiteducksoftware/flock,3,plurai-ai/intellagent,-6,6,7,7,0,0,1,4
xzq-xu/jvm-mcp-server,1,aws/nova-act,-6,6,6,6,0,0,1,0
xzq-xu/jvm-mcp-server,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
xzq-xu/jvm-mcp-server,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
yagami1997/CursorMind,1,aws/nova-act,-6,6,6,6,0,0,1,0
yagami1997/CursorMind,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
yagami1997/CursorMind,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
yagami1997/TradeMind,1,dymmond/edgy,-6,6,6,6,0,0,1,0
yagami1997/TradeMind,2,BalancerMaxis/multisig-ops,-6,6,6,6,0,0,1,0
yagami1997/TradeMind,3,bropines/chrome-lens-py,-6,6,6,6,0,0,1,2
yeagerai/genlayer-studio,1,microsoft/semantic-link-labs,-6,6,12,12,0,0,1,0
yeagerai/genlayer-studio,2,lancedb/lancedb,-6,6,12,12,0,0,1,0
yeagerai/genlayer-studio,3,pieces-app/cli-agent,-6,6,12,12,0,0,1,0
zauberzeug/nicegui,1,nhw649/EOV-Seg,-6,6,12,12,0,0,1,8
zauberzeug/nicegui,2,baaivision/EVE,-6,6,12,12,0,0,1,4
zauberzeug/nicegui,3,believethehype/nostrdvm,-6,6,12,12,0,0,1,2
zenbase-ai/py-priompt,1,00sapo/taskcheck,-6,6,1,1,0,0,1,0
zenbase-ai/py-priompt,2,sakomws/ai-workshop,-6,6,1,1,0,0,1,0
zenbase-ai/py-priompt,3,justin4ai/Quark,-6,6,1,0,0,1,0,
zilliztech/mcp-server-milvus,1,aws/nova-act,-6,6,4,4,0,0,1,0
zilliztech/mcp-server-milvus,2,cyb3rfortr3ss/ByDeF,-6,6,4,4,0,0,1,1
zilliztech/mcp-server-milvus,3,vonssy/DreamerQuests-BOT,-6,6,4,4,0,0,1,2
