treatment_repo,treatment_month,event_month,time_to_event,control_rank,control_repo,control_slot_status,pair_status,control_clone_found,selected_eligibility_month,selected_snapshot_commit,selected_scan_status,selected_error_message
AttackIQ/DetectIQ,2024-11,2024-11,0.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
AttackIQ/DetectIQ,2024-12,2024-11,1.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2024-11,2024-11,0.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2024-12,2024-11,1.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-01,2024-11,2.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-02,2024-11,3.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-03,2024-11,4.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-04,2024-11,5.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-05,2024-11,6.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
Meeting-Baas/speaking-meeting-bot,2025-06,2024-11,7.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
arjitvermaco/DbDost,2024-11,2024-11,0.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2024-11,2024-11,0.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2024-12,2024-11,1.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2025-01,2024-11,2.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2025-02,2024-11,3.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2025-03,2024-11,4.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
neal-zhu/sentinel,2025-04,2024-11,5.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
zenbase-ai/py-priompt,2024-11,2024-11,0.0,3,justin4ai/Quark,missing_clone,control_clone_missing,0,,,missing_clone,Clone directory does not exist.
assafelovic/gpt-researcher,2024-01,2025-01,-12.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
