treatment_repo,treatment_month,event_month,time_to_event,control_rank,control_repo,control_slot_status,pair_status,control_clone_found,selected_eligibility_month,selected_snapshot_commit,selected_scan_status,selected_error_message
assafelovic/gpt-researcher,2024-02,2025-01,-11.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-03,2025-01,-10.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-04,2025-01,-9.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-05,2025-01,-8.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-06,2025-01,-7.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-07,2025-01,-6.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-08,2025-01,-5.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-09,2025-01,-4.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-10,2025-01,-3.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-11,2025-01,-2.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2024-12,2025-01,-1.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-01,2025-01,0.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-02,2025-01,1.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-03,2025-01,2.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-04,2025-01,3.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-05,2025-01,4.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-06,2025-01,5.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-07,2025-01,6.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
assafelovic/gpt-researcher,2025-08,2025-01,7.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-01,2025-01,-12.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-02,2025-01,-11.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-03,2025-01,-10.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-04,2025-01,-9.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-05,2025-01,-8.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-06,2025-01,-7.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-07,2025-01,-6.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-08,2025-01,-5.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-09,2025-01,-4.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-10,2025-01,-3.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-11,2025-01,-2.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2024-12,2025-01,-1.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-01,2025-01,0.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-02,2025-01,1.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-03,2025-01,2.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-04,2025-01,3.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-05,2025-01,4.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-06,2025-01,5.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-07,2025-01,6.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
atopile/atopile,2025-08,2025-01,7.0,1,QiuChenly/InjectLib,missing_monthly_history,control_clone_missing,0,,,,
tw-haiven/haiven,2024-04,2025-02,-10.0,2,ArpiarSaundersLab/annsql,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-05,2025-02,-9.0,2,ArpiarSaundersLab/annsql,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-06,2025-02,-8.0,2,ArpiarSaundersLab/annsql,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-07,2025-02,-7.0,2,ArpiarSaundersLab/annsql,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-08,2025-02,-6.0,2,ArpiarSaundersLab/annsql,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-03,2024-12,-9.0,1,Event-AHU/OpenEvDET,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-04,2024-12,-8.0,1,Event-AHU/OpenEvDET,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-05,2024-12,-7.0,1,Event-AHU/OpenEvDET,no_prior_snapshot,aligned,1,,,,
ericmjl/llamabot,2024-01,2024-09,-8.0,3,FaceAdapter/Face-Adapter,no_prior_snapshot,aligned,1,,,,
ericmjl/llamabot,2024-02,2024-09,-7.0,3,FaceAdapter/Face-Adapter,no_prior_snapshot,aligned,1,,,,
ericmjl/llamabot,2024-03,2024-09,-6.0,3,FaceAdapter/Face-Adapter,no_prior_snapshot,aligned,1,,,,
ericmjl/llamabot,2024-04,2024-09,-5.0,3,FaceAdapter/Face-Adapter,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-01,2025-02,-13.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-02,2025-02,-12.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-03,2025-02,-11.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-04,2025-02,-10.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-05,2025-02,-9.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-06,2025-02,-8.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-07,2025-02,-7.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-08,2025-02,-6.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-09,2025-02,-5.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-10,2025-02,-4.0,1,FolhaSP/mosaico,no_prior_snapshot,aligned,1,,,,
OpenSPP/openspp-modules,2024-01,2025-03,-14.0,1,GispoCoding/qgis-venv-creator,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-04,2025-02,-10.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-05,2025-02,-9.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-06,2025-02,-8.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-07,2025-02,-7.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-08,2025-02,-6.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-09,2025-02,-5.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-10,2025-02,-4.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
tw-haiven/haiven,2024-11,2025-02,-3.0,1,IBM/mt-rag-benchmark,no_prior_snapshot,aligned,1,,,,
appl-team/appl,2024-05,2024-12,-7.0,1,JustinSparrrow/IOOI-EmotionEgg,no_prior_snapshot,aligned,1,,,,
appl-team/appl,2024-06,2024-12,-6.0,1,JustinSparrrow/IOOI-EmotionEgg,no_prior_snapshot,aligned,1,,,,
appl-team/appl,2024-07,2024-12,-5.0,1,JustinSparrrow/IOOI-EmotionEgg,no_prior_snapshot,aligned,1,,,,
The-Pocket/PocketFlow,2024-12,2025-02,-2.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
The-Pocket/PocketFlow,2025-01,2025-02,-1.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-05,2025-02,-9.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-06,2025-02,-8.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-07,2025-02,-7.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-08,2025-02,-6.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-09,2025-02,-5.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-10,2025-02,-4.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-11,2025-02,-3.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-12,2025-02,-2.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2025-01,2025-02,-1.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
ilanbenb/wa_llm,2025-01,2025-02,-1.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-01,2025-02,-13.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-02,2025-02,-12.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-03,2025-02,-11.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-04,2025-02,-10.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-05,2025-02,-9.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-06,2025-02,-8.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-07,2025-02,-7.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-08,2025-02,-6.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-09,2025-02,-5.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-10,2025-02,-4.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-11,2025-02,-3.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-12,2025-02,-2.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2025-01,2025-02,-1.0,2,LuneMods/KCD2-Blender-Toolkit,no_prior_snapshot,aligned,1,,,,
The-Pocket/PocketFlow,2024-12,2025-02,-2.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
The-Pocket/PocketFlow,2025-01,2025-02,-1.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-05,2025-02,-9.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-06,2025-02,-8.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-07,2025-02,-7.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-08,2025-02,-6.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-09,2025-02,-5.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-10,2025-02,-4.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-11,2025-02,-3.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2024-12,2025-02,-2.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ericyuegu/hal,2025-01,2025-02,-1.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
ilanbenb/wa_llm,2025-01,2025-02,-1.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-01,2025-02,-13.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-02,2025-02,-12.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-03,2025-02,-11.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-04,2025-02,-10.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-05,2025-02,-9.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-06,2025-02,-8.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-07,2025-02,-7.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-08,2025-02,-6.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-09,2025-02,-5.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-10,2025-02,-4.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-11,2025-02,-3.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2024-12,2025-02,-2.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
lss233/kirara-ai,2025-01,2025-02,-1.0,1,MIT-Emerging-Talent/ET6-edXtras,no_prior_snapshot,aligned,1,,,,
MDGrey33/pyvisionai,2024-11,2025-01,-2.0,2,MrTimonM/Arichain-Bot,no_prior_snapshot,aligned,1,,,,
MDGrey33/pyvisionai,2024-12,2025-01,-1.0,2,MrTimonM/Arichain-Bot,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-01,2025-02,-13.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-02,2025-02,-12.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-03,2025-02,-11.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-04,2025-02,-10.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-05,2025-02,-9.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-06,2025-02,-8.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-07,2025-02,-7.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-08,2025-02,-6.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-09,2025-02,-5.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
PostHog/posthog,2024-10,2025-02,-4.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-01,2025-02,-13.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-02,2025-02,-12.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-03,2025-02,-11.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-04,2025-02,-10.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-05,2025-02,-9.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-06,2025-02,-8.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-07,2025-02,-7.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-08,2025-02,-6.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-09,2025-02,-5.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
getsentry/sentry,2024-10,2025-02,-4.0,1,NVIDIA/cuEquivariance,no_prior_snapshot,aligned,1,,,,
raphaelmansuy/code2prompt,2024-03,2024-09,-6.0,1,OSU-NLP-Group/HippoRAG,no_prior_snapshot,aligned,1,,,,
raphaelmansuy/code2prompt,2024-04,2024-09,-5.0,1,OSU-NLP-Group/HippoRAG,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-01,2025-03,-14.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-02,2025-03,-13.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-03,2025-03,-12.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-04,2025-03,-11.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-05,2025-03,-10.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-06,2025-03,-9.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
ResearchHub/researchhub-backend,2024-07,2025-03,-8.0,3,PiotrMachowski/Home-Assistant-custom-components-TGE,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-03,2024-12,-9.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-04,2024-12,-8.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-05,2024-12,-7.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-06,2024-12,-6.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-07,2024-12,-5.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-08,2024-12,-4.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-09,2024-12,-3.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-10,2024-12,-2.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
OpenMOSS/Language-Model-SAEs,2024-11,2024-12,-1.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
SlyyCooper/cursorrules-architect,2024-11,2024-12,-1.0,2,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-09,2024-12,-3.0,1,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-10,2024-12,-2.0,1,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-11,2024-12,-1.0,1,RobinWu218/ToST,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-09,2024-12,-3.0,3,Scrapybara/scrapybara-playground,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-10,2024-12,-2.0,3,Scrapybara/scrapybara-playground,no_prior_snapshot,aligned,1,,,,
ttmouse/Wispr-Flow-CN,2024-11,2024-12,-1.0,3,Scrapybara/scrapybara-playground,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-01,2025-02,-13.0,3,Simatwa/free-proxies,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-02,2025-02,-12.0,3,Simatwa/free-proxies,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-03,2025-02,-11.0,3,Simatwa/free-proxies,no_prior_snapshot,aligned,1,,,,
allthingslinux/tux,2024-04,2025-02,-10.0,3,Simatwa/free-proxies,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-01,2024-10,-9.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-02,2024-10,-8.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-03,2024-10,-7.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-04,2024-10,-6.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-05,2024-10,-5.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-06,2024-10,-4.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-07,2024-10,-3.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-08,2024-10,-2.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-09,2024-10,-1.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-10,2024-10,0.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-11,2024-10,1.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2024-12,2024-10,2.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2025-01,2024-10,3.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
VRSEN/agency-swarm,2025-02,2024-10,4.0,2,TianxingChen/RoboTwin,no_prior_snapshot,aligned,1,,,,
