dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,1,0,0,0,0,0,0,0
control,AkariAsai/ScholarQABench,2024-11,3,1,1,60,60,0,60,6
control,AkariAsai/ScholarQABench,2025-02,7,1,1,7,7,0,7,1
control,AkariAsai/ScholarQABench,2025-04,1,0,0,0,0,0,0,0
control,AkariAsai/ScholarQABench,2025-07,3,0,0,0,0,0,0,0
control,AkariAsai/ScholarQABench,2025-08,2,0,0,0,0,0,0,0
control,ArpiarSaundersLab/annsql,2024-09,20,16,6,48,27,21,27,5
control,ArpiarSaundersLab/annsql,2024-10,22,18,13,36,10,26,16,4
control,ArpiarSaundersLab/annsql,2024-11,13,10,5,9,3,6,7,4
control,ArpiarSaundersLab/annsql,2024-12,1,0,0,0,0,0,0,0
control,ArpiarSaundersLab/annsql,2025-01,5,5,3,17,14,3,15,3
control,ArpiarSaundersLab/annsql,2025-02,18,15,13,190,91,99,128,9
control,ArpiarSaundersLab/annsql,2025-03,13,10,7,51,17,34,36,6
control,ArpiarSaundersLab/annsql,2025-04,1,1,0,0,0,0,0,0
control,ArpiarSaundersLab/annsql,2025-05,1,1,1,1,0,1,1,1
control,BalancerMaxis/multisig-ops,2024-01,158,25,17,34,3,31,15,4
control,BalancerMaxis/multisig-ops,2024-02,118,13,13,25,5,20,13,4
control,BalancerMaxis/multisig-ops,2024-03,205,44,38,64,13,51,22,5
control,BalancerMaxis/multisig-ops,2024-04,225,45,19,30,4,26,14,6
control,BalancerMaxis/multisig-ops,2024-05,245,52,31,58,4,54,21,9
control,BalancerMaxis/multisig-ops,2024-06,241,36,19,31,6,25,19,7
control,BalancerMaxis/multisig-ops,2024-07,227,36,18,20,2,18,10,4
control,BalancerMaxis/multisig-ops,2024-08,189,9,7,9,5,4,7,4
control,BalancerMaxis/multisig-ops,2024-09,215,21,15,23,0,23,15,6
control,BalancerMaxis/multisig-ops,2024-10,262,8,7,7,1,6,2,2
control,BalancerMaxis/multisig-ops,2024-11,100,21,11,25,11,14,16,7
control,BalancerMaxis/multisig-ops,2024-12,235,15,9,27,6,21,25,21
control,BalancerMaxis/multisig-ops,2025-01,223,18,17,24,2,22,12,4
control,BalancerMaxis/multisig-ops,2025-02,241,26,21,33,3,30,16,4
control,BalancerMaxis/multisig-ops,2025-03,218,27,16,59,4,55,36,15
control,BalancerMaxis/multisig-ops,2025-04,290,16,14,16,2,14,8,6
control,BalancerMaxis/multisig-ops,2025-05,272,16,12,14,2,12,3,1
control,BalancerMaxis/multisig-ops,2025-06,234,30,22,35,5,30,17,6
control,BalancerMaxis/multisig-ops,2025-07,230,14,9,22,14,8,21,7
control,BalancerMaxis/multisig-ops,2025-08,363,47,25,66,36,30,31,6
control,Benzauber/convert-commander,2024-11,16,1,1,17,17,0,17,3
control,Benzauber/convert-commander,2024-12,3,0,0,0,0,0,0,0
control,Benzauber/convert-commander,2025-01,3,1,1,14,4,10,14,5
control,Benzauber/convert-commander,2025-03,6,0,0,0,0,0,0,0
control,Benzauber/convert-commander,2025-05,5,2,1,1,1,0,1,1
control,Benzauber/convert-commander,2025-06,2,1,1,5,2,3,5,1
control,Benzauber/convert-commander,2025-07,2,0,0,0,0,0,0,0
control,Benzauber/convert-commander,2025-08,3,2,2,11,7,4,11,2
control,BiancoChiu/iOSRealRun-cli-18,2024-02,14,5,4,29,25,4,25,9
control,BiancoChiu/iOSRealRun-cli-18,2024-03,3,1,1,1,0,1,1,1
control,BiancoChiu/iOSRealRun-cli-18,2025-02,6,4,4,8,1,7,5,3
control,BiancoChiu/iOSRealRun-cli-18,2025-03,3,1,1,2,0,2,2,2
