treatment_repo,treatment_clone_dir_name,treatment_clone_path,treatment_is_git_repository,matched_period,propensity_score,original_matched_control_count,control_rank,control_repo,control_clone_found,control_clone_dir_name,control_clone_path,control_is_git_repository,pair_status
codingforentrepreneurs/Cursor-Django,codingforentrepreneurs_Cursor-Django,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,True,202409,0.0212830932484271,3,1,loml13yyy/AtlassianConfluence-RCE,True,loml13yyy_AtlassianConfluence-RCE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,True,aligned
codingforentrepreneurs/Cursor-Django,codingforentrepreneurs_Cursor-Django,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,True,202409,0.0212830932484271,3,2,loml13yyy/yyGRPU8,True,loml13yyy_yyGRPU8,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,True,aligned
codingforentrepreneurs/Cursor-Django,codingforentrepreneurs_Cursor-Django,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,True,202409,0.0212830932484271,3,3,HelpingAI/Webscout,True,HelpingAI_Webscout,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,True,aligned
cohnen/mcp-google-ads,cohnen_mcp-google-ads,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,True,202502,0.0740099640284197,3,1,aws/nova-act,True,aws_nova-act,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/aws_nova-act,True,aligned
cohnen/mcp-google-ads,cohnen_mcp-google-ads,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,True,202502,0.0740099640284197,3,2,cyb3rfortr3ss/ByDeF,True,cyb3rfortr3ss_ByDeF,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/cyb3rfortr3ss_ByDeF,True,aligned
cohnen/mcp-google-ads,cohnen_mcp-google-ads,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,True,202502,0.0740099640284197,3,3,vonssy/DreamerQuests-BOT,True,vonssy_DreamerQuests-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_DreamerQuests-BOT,True,aligned
DannyMac180/mirror,DannyMac180_mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,True,202411,0.01989527488105,3,1,viktoriasemaan/sa-ai-agent,True,viktoriasemaan_sa-ai-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/viktoriasemaan_sa-ai-agent,True,aligned
DannyMac180/mirror,DannyMac180_mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,True,202411,0.01989527488105,3,2,adelatour11/androidtvbackground,True,adelatour11_androidtvbackground,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/adelatour11_androidtvbackground,True,aligned
DannyMac180/mirror,DannyMac180_mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,True,202411,0.01989527488105,3,3,Makopolo/megascan_houdini20.0_USD_plugin,True,Makopolo_megascan_houdini20.0_USD_plugin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,True,aligned
daojiAnime/vmq-fastapi,daojiAnime_vmq-fastapi,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,True,202412,0.0436832021199089,3,1,ali-bahrainian/RAG_best_practices,True,ali-bahrainian_RAG_best_practices,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ali-bahrainian_RAG_best_practices,True,aligned
