role,repo_name,repo_dir_name_expected,expected_for_current_scope,in_matching_treatment_rows,in_matching_control_candidate_rows,selected_by_cloned_treatment,in_clone_directory,is_git_repository,clone_dir_name,clone_path,origin_url,repo_name_source,alignment_status
control,MIT-Emerging-Talent/ET6-edXtras,MIT-Emerging-Talent_ET6-edXtras,True,False,True,True,True,True,MIT-Emerging-Talent_ET6-edXtras,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,https://github.com/MIT-Emerging-Talent/ET6-edXtras.git,origin_url,aligned
control,monero-project/meta,monero-project_meta,True,False,True,True,True,True,monero-project_meta,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/monero-project_meta,https://github.com/monero-project/meta.git,origin_url,aligned
control,MrTimonM/Arichain-Bot,MrTimonM_Arichain-Bot,True,False,True,True,True,True,MrTimonM_Arichain-Bot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MrTimonM_Arichain-Bot,https://github.com/MrTimonM/Arichain-Bot.git,origin_url,aligned
control,neuml/rag,neuml_rag,True,False,True,True,True,True,neuml_rag,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/neuml_rag,https://github.com/neuml/rag.git,origin_url,aligned
control,nhw649/EOV-Seg,nhw649_EOV-Seg,True,False,True,True,True,True,nhw649_EOV-Seg,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/nhw649_EOV-Seg,https://github.com/nhw649/EOV-Seg.git,origin_url,aligned
control,NiceRingNode/LGGPT,NiceRingNode_LGGPT,True,False,True,True,True,True,NiceRingNode_LGGPT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NiceRingNode_LGGPT,https://github.com/NiceRingNode/LGGPT.git,origin_url,aligned
control,ninareyes1/Simple-Digital-Clock,ninareyes1_Simple-Digital-Clock,True,False,True,True,True,True,ninareyes1_Simple-Digital-Clock,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,https://github.com/ninareyes1/Simple-Digital-Clock.git,origin_url,aligned
control,NVIDIA/cuEquivariance,NVIDIA_cuEquivariance,True,False,True,True,True,True,NVIDIA_cuEquivariance,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/NVIDIA_cuEquivariance,https://github.com/NVIDIA/cuEquivariance.git,origin_url,aligned
control,odoo/industry,odoo_industry,True,False,True,True,True,True,odoo_industry,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,https://github.com/odoo/industry.git,origin_url,aligned
control,omkarcloud/amazon-scraper,omkarcloud_amazon-scraper,True,False,True,True,True,True,omkarcloud_amazon-scraper,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/omkarcloud_amazon-scraper,https://github.com/omkarcloud/amazon-scraper.git,origin_url,aligned
control,OSU-NLP-Group/HippoRAG,OSU-NLP-Group_HippoRAG,True,False,True,True,True,True,OSU-NLP-Group_HippoRAG,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/OSU-NLP-Group_HippoRAG,https://github.com/OSU-NLP-Group/HippoRAG.git,origin_url,aligned
control,oval-group/smooth-topk,oval-group_smooth-topk,True,False,True,True,True,True,oval-group_smooth-topk,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/oval-group_smooth-topk,https://github.com/oval-group/smooth-topk.git,origin_url,aligned
control,PennyLaneAI/catalyst,PennyLaneAI_catalyst,True,False,True,True,True,True,PennyLaneAI_catalyst,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PennyLaneAI_catalyst,https://github.com/PennyLaneAI/catalyst.git,origin_url,aligned
control,peter279k/cdc-data-mirror,peter279k_cdc-data-mirror,True,False,True,True,True,True,peter279k_cdc-data-mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/peter279k_cdc-data-mirror,https://github.com/peter279k/cdc-data-mirror.git,origin_url,aligned
control,PhilNad/robot-arm-kinematic-calibration,PhilNad_robot-arm-kinematic-calibration,True,False,True,True,True,True,PhilNad_robot-arm-kinematic-calibration,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,https://github.com/PhilNad/robot-arm-kinematic-calibration.git,origin_url,aligned
control,pieces-app/cli-agent,pieces-app_cli-agent,True,False,True,True,True,True,pieces-app_cli-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,https://github.com/pieces-app/cli-agent.git,origin_url,aligned
control,PiotrMachowski/Home-Assistant-custom-components-TGE,PiotrMachowski_Home-Assistant-custom-components-TGE,True,False,True,True,True,True,PiotrMachowski_Home-Assistant-custom-components-TGE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PiotrMachowski_Home-Assistant-custom-components-TGE,https://github.com/PiotrMachowski/Home-Assistant-custom-components-TGE.git,origin_url,aligned
control,plurai-ai/intellagent,plurai-ai_intellagent,True,False,True,True,True,True,plurai-ai_intellagent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/plurai-ai_intellagent,https://github.com/plurai-ai/intellagent.git,origin_url,aligned
control,popey/sbommage,popey_sbommage,True,False,True,True,True,True,popey_sbommage,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/popey_sbommage,https://github.com/popey/sbommage.git,origin_url,aligned
control,PromtEngineer/localGPT,PromtEngineer_localGPT,True,False,True,True,True,True,PromtEngineer_localGPT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PromtEngineer_localGPT,https://github.com/PromtEngineer/localGPT.git,origin_url,aligned
control,python-ring-doorbell/python-ring-doorbell,python-ring-doorbell_python-ring-doorbell,True,False,True,True,True,True,python-ring-doorbell_python-ring-doorbell,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/python-ring-doorbell_python-ring-doorbell,https://github.com/python-ring-doorbell/python-ring-doorbell.git,origin_url,aligned
control,qiboteam/qibojit,qiboteam_qibojit,True,False,True,True,True,True,qiboteam_qibojit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/qiboteam_qibojit,https://github.com/qiboteam/qibojit.git,origin_url,aligned
control,QiuChenly/InjectLib,QiuChenly_InjectLib,True,False,True,True,False,False,,,,not_applicable,expected_control_clone_missing
control,R0uter/ss.conf-for-surge,R0uter_ss.conf-for-surge,True,False,True,True,True,True,R0uter_ss.conf-for-surge,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,https://github.com/R0uter/ss.conf-for-surge.git,origin_url,aligned
control,rachtsy/KPCA_code,rachtsy_KPCA_code,True,False,True,True,True,True,rachtsy_KPCA_code,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/rachtsy_KPCA_code,https://github.com/rachtsy/KPCA_code.git,origin_url,aligned
control,Retmon403/cs2_cheats_for_python,Retmon403_cs2_cheats_for_python,True,False,True,True,True,True,Retmon403_cs2_cheats_for_python,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,https://github.com/Retmon403/cs2_cheats_for_python.git,origin_url,aligned
control,RobinWu218/ToST,RobinWu218_ToST,True,False,True,True,True,True,RobinWu218_ToST,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/RobinWu218_ToST,https://github.com/RobinWu218/ToST.git,origin_url,aligned
control,ruiqini/NTFields,ruiqini_NTFields,True,False,True,True,True,True,ruiqini_NTFields,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,https://github.com/ruiqini/NTFields.git,origin_url,aligned
control,sakomws/ai-workshop,sakomws_ai-workshop,True,False,True,True,True,True,sakomws_ai-workshop,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/sakomws_ai-workshop,https://github.com/sakomws/ai-workshop.git,origin_url,aligned
control,saucer-man/qq_msg_decode,saucer-man_qq_msg_decode,True,False,True,True,True,True,saucer-man_qq_msg_decode,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,https://github.com/saucer-man/qq_msg_decode.git,origin_url,aligned
control,Scholar01/sd-webui-bg-mask,Scholar01_sd-webui-bg-mask,True,False,True,True,True,True,Scholar01_sd-webui-bg-mask,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Scholar01_sd-webui-bg-mask,https://github.com/Scholar01/sd-webui-bg-mask.git,origin_url,aligned
control,Scrapybara/scrapybara-playground,Scrapybara_scrapybara-playground,True,False,True,True,True,True,Scrapybara_scrapybara-playground,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Scrapybara_scrapybara-playground,https://github.com/Scrapybara/scrapybara-playground.git,origin_url,aligned
control,SEU-ProactiveSecurity-Group/LLM-PD,SEU-ProactiveSecurity-Group_LLM-PD,True,False,True,True,True,True,SEU-ProactiveSecurity-Group_LLM-PD,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/SEU-ProactiveSecurity-Group_LLM-PD,https://github.com/SEU-ProactiveSecurity-Group/LLM-PD.git,origin_url,aligned
control,Simatwa/free-proxies,Simatwa_free-proxies,True,False,True,True,True,True,Simatwa_free-proxies,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,https://github.com/Simatwa/free-proxies.git,origin_url,aligned
control,slopp/30_days_of_dagster,slopp_30_days_of_dagster,True,False,True,True,True,True,slopp_30_days_of_dagster,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/slopp_30_days_of_dagster,https://github.com/slopp/30_days_of_dagster.git,origin_url,aligned
control,snowzjx/ns3-load-balance,snowzjx_ns3-load-balance,True,False,True,True,True,True,snowzjx_ns3-load-balance,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/snowzjx_ns3-load-balance,https://github.com/snowzjx/ns3-load-balance.git,origin_url,aligned
control,stakewise/v3-operator,stakewise_v3-operator,True,False,True,True,True,True,stakewise_v3-operator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/stakewise_v3-operator,https://github.com/stakewise/v3-operator.git,origin_url,aligned
control,surajt97/Train_Delay_Prediction,surajt97_Train_Delay_Prediction,True,False,True,True,True,True,surajt97_Train_Delay_Prediction,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/surajt97_Train_Delay_Prediction,https://github.com/surajt97/Train_Delay_Prediction.git,origin_url,aligned
control,taylorwilsdon/open-webui-tools,taylorwilsdon_open-webui-tools,True,False,True,True,True,True,taylorwilsdon_open-webui-tools,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/taylorwilsdon_open-webui-tools,https://github.com/taylorwilsdon/open-webui-tools.git,origin_url,aligned
control,The-Compiler/pytest-vw,The-Compiler_pytest-vw,True,False,True,True,True,True,The-Compiler_pytest-vw,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-Compiler_pytest-vw,https://github.com/The-Compiler/pytest-vw.git,origin_url,aligned
control,The-WhiteRabbit/dnfm_server,The-WhiteRabbit_dnfm_server,True,False,True,True,True,True,The-WhiteRabbit_dnfm_server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-WhiteRabbit_dnfm_server,https://github.com/The-WhiteRabbit/dnfm_server.git,origin_url,aligned
control,thefatedefeater/V2ray-Config,thefatedefeater_V2ray-Config,True,False,True,True,True,True,thefatedefeater_V2ray-Config,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thefatedefeater_V2ray-Config,https://github.com/thefatedefeater/V2ray-Config.git,origin_url,aligned
control,TheFocusedCoder/api-agent,TheFocusedCoder_api-agent,True,False,True,True,True,True,TheFocusedCoder_api-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TheFocusedCoder_api-agent,https://github.com/TheFocusedCoder/api-agent.git,origin_url,aligned
control,thegreenwebfoundation/admin-portal,thegreenwebfoundation_admin-portal,True,False,True,True,True,True,thegreenwebfoundation_admin-portal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thegreenwebfoundation_admin-portal,https://github.com/thegreenwebfoundation/admin-portal.git,origin_url,aligned
control,TianxingChen/RoboTwin,TianxingChen_RoboTwin,True,False,True,True,True,True,TianxingChen_RoboTwin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TianxingChen_RoboTwin,https://github.com/TianxingChen/RoboTwin.git,origin_url,aligned
control,tranceitionalMynd/spy-reaper,tranceitionalMynd_spy-reaper,True,False,True,True,True,True,tranceitionalMynd_spy-reaper,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tranceitionalMynd_spy-reaper,https://github.com/tranceitionalMynd/spy-reaper.git,origin_url,aligned
control,tusgino/llm-code-reviewer,tusgino_llm-code-reviewer,True,False,True,True,True,True,tusgino_llm-code-reviewer,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tusgino_llm-code-reviewer,https://github.com/tusgino/llm-code-reviewer.git,origin_url,aligned
control,viktoriasemaan/sa-ai-agent,viktoriasemaan_sa-ai-agent,True,False,True,True,True,True,viktoriasemaan_sa-ai-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/viktoriasemaan_sa-ai-agent,https://github.com/viktoriasemaan/sa-ai-agent.git,origin_url,aligned
control,VirtualFlow/VFVS,VirtualFlow_VFVS,True,False,True,True,True,True,VirtualFlow_VFVS,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/VirtualFlow_VFVS,https://github.com/VirtualFlow/VFVS.git,origin_url,aligned
control,vonssy/BlockBitsApp-BOT,vonssy_BlockBitsApp-BOT,True,False,True,True,True,True,vonssy_BlockBitsApp-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_BlockBitsApp-BOT,https://github.com/vonssy/BlockBitsApp-BOT.git,origin_url,aligned
control,vonssy/DreamerQuests-BOT,vonssy_DreamerQuests-BOT,True,False,True,True,True,True,vonssy_DreamerQuests-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_DreamerQuests-BOT,https://github.com/vonssy/DreamerQuests-BOT.git,origin_url,aligned
control,vortezwohl/Bhakti,vortezwohl_Bhakti,True,False,True,True,True,True,vortezwohl_Bhakti,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vortezwohl_Bhakti,https://github.com/vortezwohl/Bhakti.git,origin_url,aligned
control,Wang-ML-Lab/unified-continual-learning,Wang-ML-Lab_unified-continual-learning,True,False,True,True,True,True,Wang-ML-Lab_unified-continual-learning,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Wang-ML-Lab_unified-continual-learning,https://github.com/Wang-ML-Lab/unified-continual-learning.git,origin_url,aligned
control,wasilukm/hoymiles-mqtt,wasilukm_hoymiles-mqtt,True,False,True,True,True,True,wasilukm_hoymiles-mqtt,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/wasilukm_hoymiles-mqtt,https://github.com/wasilukm/hoymiles-mqtt.git,origin_url,aligned
control,weaviate/t2v-transformers-models,weaviate_t2v-transformers-models,True,False,True,True,True,True,weaviate_t2v-transformers-models,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weaviate_t2v-transformers-models,https://github.com/weaviate/t2v-transformers-models.git,origin_url,aligned
control,weizequan/TASHR,weizequan_TASHR,True,False,True,True,True,True,weizequan_TASHR,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,https://github.com/weizequan/TASHR.git,origin_url,aligned
control,william-sy/TesyLocal,william-sy_TesyLocal,True,False,True,True,True,True,william-sy_TesyLocal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/william-sy_TesyLocal,https://github.com/william-sy/TesyLocal.git,origin_url,aligned
control,xinsir6/ControlNetPlus,xinsir6_ControlNetPlus,True,False,True,True,True,True,xinsir6_ControlNetPlus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/xinsir6_ControlNetPlus,https://github.com/xinsir6/ControlNetPlus.git,origin_url,aligned
control,xnl-h4ck3r/getSubsidiaries,xnl-h4ck3r_getSubsidiaries,True,False,True,True,True,True,xnl-h4ck3r_getSubsidiaries,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/xnl-h4ck3r_getSubsidiaries,https://github.com/xnl-h4ck3r/getSubsidiaries.git,origin_url,aligned
control,YangDi666/UNIK,YangDi666_UNIK,True,False,True,True,True,True,YangDi666_UNIK,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/YangDi666_UNIK,https://github.com/YangDi666/UNIK.git,origin_url,aligned
control,yihozhang/most-influential-pl-papers,yihozhang_most-influential-pl-papers,True,False,True,True,True,True,yihozhang_most-influential-pl-papers,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yihozhang_most-influential-pl-papers,https://github.com/yihozhang/most-influential-pl-papers.git,origin_url,aligned
control,yoongi43/music_audio_enhancement_conformer,yoongi43_music_audio_enhancement_conformer,True,False,True,True,True,True,yoongi43_music_audio_enhancement_conformer,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yoongi43_music_audio_enhancement_conformer,https://github.com/yoongi43/music_audio_enhancement_conformer.git,origin_url,aligned
control,yousseb/meld,yousseb_meld,True,False,True,True,True,True,yousseb_meld,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/yousseb_meld,https://github.com/yousseb/meld.git,origin_url,aligned
control,ysj9909/SHViT,ysj9909_SHViT,True,False,True,True,True,True,ysj9909_SHViT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ysj9909_SHViT,https://github.com/ysj9909/SHViT.git,origin_url,aligned
control,zeyangsha/De-Fake,zeyangsha_De-Fake,True,False,True,True,True,True,zeyangsha_De-Fake,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zeyangsha_De-Fake,https://github.com/zeyangsha/De-Fake.git,origin_url,aligned
control,zhang-xr/FirmLLM,zhang-xr_FirmLLM,True,False,True,True,True,True,zhang-xr_FirmLLM,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhang-xr_FirmLLM,https://github.com/zhang-xr/FirmLLM.git,origin_url,aligned
control,zhipeixu/FakeShield,zhipeixu_FakeShield,True,False,True,True,True,True,zhipeixu_FakeShield,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhipeixu_FakeShield,https://github.com/zhipeixu/FakeShield.git,origin_url,aligned
control,zhou19830318/xiaozhi_micropython,zhou19830318_xiaozhi_micropython,True,False,True,True,True,True,zhou19830318_xiaozhi_micropython,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zhou19830318_xiaozhi_micropython,https://github.com/zhou19830318/xiaozhi_micropython.git,origin_url,aligned
control,zju3dv/ready_to_react,zju3dv_ready_to_react,True,False,True,True,True,True,zju3dv_ready_to_react,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/zju3dv_ready_to_react,https://github.com/zju3dv/ready_to_react.git,origin_url,aligned
treatment,1mrat/cursor-taskrunner,1mrat_cursor-taskrunner,True,True,False,False,True,True,1mrat_cursor-taskrunner,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,https://github.com/1mrat/cursor-taskrunner.git,origin_url,aligned
treatment,airweave-ai/airweave,airweave-ai_airweave,True,True,False,False,True,True,airweave-ai_airweave,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,https://github.com/airweave-ai/airweave.git,origin_url,aligned
treatment,allthingslinux/tux,allthingslinux_tux,True,True,False,False,True,True,allthingslinux_tux,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,https://github.com/allthingslinux/tux.git,origin_url,aligned
treatment,Altinity/clickhouse-grafana,Altinity_clickhouse-grafana,False,False,False,False,True,True,Altinity_clickhouse-grafana,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Altinity_clickhouse-grafana,https://github.com/Altinity/clickhouse-grafana.git,origin_url,clone_not_in_matching_treatment
treatment,Anemll/Anemll,Anemll_Anemll,True,True,False,False,True,True,Anemll_Anemll,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,https://github.com/Anemll/Anemll.git,origin_url,aligned
treatment,Apocrathia/home-assistant-config,Apocrathia_home-assistant-config,True,True,False,False,True,True,Apocrathia_home-assistant-config,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,https://github.com/Apocrathia/home-assistant-config.git,origin_url,aligned
treatment,appl-team/appl,appl-team_appl,True,True,False,False,True,True,appl-team_appl,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/appl-team_appl,https://github.com/appl-team/appl.git,origin_url,aligned
treatment,arjitvermaco/DbDost,arjitvermaco_DbDost,True,True,False,False,True,True,arjitvermaco_DbDost,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/arjitvermaco_DbDost,https://github.com/arjitvermaco/DbDost.git,origin_url,aligned
treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,Aronnaxx_Behold-Urwar-Droid-Concepts,True,True,False,False,True,True,Aronnaxx_Behold-Urwar-Droid-Concepts,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,https://github.com/Aronnaxx/Behold-Urwar-Droid-Concepts.git,origin_url,aligned
treatment,askjohngeorge/pipecat-lead-qualifier,askjohngeorge_pipecat-lead-qualifier,True,True,False,False,True,True,askjohngeorge_pipecat-lead-qualifier,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/askjohngeorge_pipecat-lead-qualifier,https://github.com/askjohngeorge/pipecat-lead-qualifier.git,origin_url,aligned
treatment,assafelovic/gpt-researcher,assafelovic_gpt-researcher,True,True,False,False,True,True,assafelovic_gpt-researcher,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/assafelovic_gpt-researcher,https://github.com/assafelovic/gpt-researcher.git,origin_url,aligned
treatment,atopile/atopile,atopile_atopile,True,True,False,False,True,True,atopile_atopile,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/atopile_atopile,https://github.com/atopile/atopile.git,origin_url,aligned
treatment,AttackIQ/DetectIQ,AttackIQ_DetectIQ,True,True,False,False,True,True,AttackIQ_DetectIQ,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/AttackIQ_DetectIQ,https://github.com/AttackIQ/DetectIQ.git,origin_url,aligned
treatment,c4fun/tell-stories-webui,c4fun_tell-stories-webui,True,True,False,False,True,True,c4fun_tell-stories-webui,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/c4fun_tell-stories-webui,https://github.com/c4fun/tell-stories-webui.git,origin_url,aligned
treatment,cbardyn/ai-swiss-workflows,cbardyn_ai-swiss-workflows,True,True,False,False,True,True,cbardyn_ai-swiss-workflows,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cbardyn_ai-swiss-workflows,https://github.com/cbardyn/ai-swiss-workflows.git,origin_url,aligned
treatment,cgevans/qslib,cgevans_qslib,True,True,False,False,True,True,cgevans_qslib,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,https://github.com/cgevans/qslib.git,origin_url,aligned
treatment,ChatFAQ/ChatFAQ,ChatFAQ_ChatFAQ,False,False,False,False,True,True,ChatFAQ_ChatFAQ,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ChatFAQ_ChatFAQ,https://github.com/ChatFAQ/ChatFAQ.git,origin_url,clone_not_in_matching_treatment
treatment,Chocksy/qc-options-framework,Chocksy_qc-options-framework,True,True,False,False,True,True,Chocksy_qc-options-framework,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Chocksy_qc-options-framework,https://github.com/Chocksy/qc-options-framework.git,origin_url,aligned
treatment,codingforentrepreneurs/Cursor-Django,codingforentrepreneurs_Cursor-Django,True,True,False,False,True,True,codingforentrepreneurs_Cursor-Django,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/codingforentrepreneurs_Cursor-Django,https://github.com/codingforentrepreneurs/Cursor-Django.git,origin_url,aligned
treatment,cohnen/mcp-google-ads,cohnen_mcp-google-ads,True,True,False,False,True,True,cohnen_mcp-google-ads,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,https://github.com/cohnen/mcp-google-ads.git,origin_url,aligned
treatment,DannyMac180/mirror,DannyMac180_mirror,True,True,False,False,True,True,DannyMac180_mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,https://github.com/DannyMac180/mirror.git,origin_url,aligned
treatment,daojiAnime/vmq-fastapi,daojiAnime_vmq-fastapi,True,True,False,False,True,True,daojiAnime_vmq-fastapi,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,https://github.com/daojiAnime/vmq-fastapi.git,origin_url,aligned
treatment,DataDog/integrations-core,DataDog_integrations-core,True,True,False,False,True,True,DataDog_integrations-core,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,https://github.com/DataDog/integrations-core.git,origin_url,aligned
treatment,DataScienceUIBK/Rankify,DataScienceUIBK_Rankify,True,True,False,False,True,True,DataScienceUIBK_Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,https://github.com/DataScienceUIBK/Rankify.git,origin_url,aligned
treatment,discus0434/nook,discus0434_nook,True,True,False,False,True,True,discus0434_nook,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,https://github.com/discus0434/nook.git,origin_url,aligned
treatment,Dror-Bengal/CursorFocus,Dror-Bengal_CursorFocus,True,True,False,False,True,True,Dror-Bengal_CursorFocus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Dror-Bengal_CursorFocus,https://github.com/Dror-Bengal/CursorFocus.git,origin_url,aligned
treatment,Elevate-Code/better-voice-typing,Elevate-Code_better-voice-typing,True,True,False,False,True,True,Elevate-Code_better-voice-typing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,https://github.com/Elevate-Code/better-voice-typing.git,origin_url,aligned
treatment,ericmjl/llamabot,ericmjl_llamabot,True,True,False,False,True,True,ericmjl_llamabot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,https://github.com/ericmjl/llamabot.git,origin_url,aligned
treatment,ericmjl/pyds-cli,ericmjl_pyds-cli,True,True,False,False,True,True,ericmjl_pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,https://github.com/ericmjl/pyds-cli.git,origin_url,aligned
treatment,ericyuegu/hal,ericyuegu_hal,True,True,False,False,True,True,ericyuegu_hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,https://github.com/ericyuegu/hal.git,origin_url,aligned
treatment,ericzakariasson/uber-eats-mcp-server,ericzakariasson_uber-eats-mcp-server,True,True,False,False,True,True,ericzakariasson_uber-eats-mcp-server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,https://github.com/ericzakariasson/uber-eats-mcp-server.git,origin_url,aligned
treatment,ethereum/pm,ethereum_pm,False,False,False,False,True,True,ethereum_pm,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethereum_pm,https://github.com/ethereum/pm.git,origin_url,clone_not_in_matching_treatment
