role,repo_name,repo_dir_name_expected,expected_for_current_scope,in_matching_treatment_rows,in_matching_control_candidate_rows,selected_by_cloned_treatment,in_clone_directory,is_git_repository,clone_dir_name,clone_path,origin_url,repo_name_source,alignment_status
control,FMInference/FlexiGen,FMInference_FlexiGen,True,False,True,True,True,True,FMInference_FlexiGen,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,https://github.com/FMInference/FlexiGen.git,origin_url,aligned
control,FolhaSP/mosaico,FolhaSP_mosaico,True,False,True,True,True,True,FolhaSP_mosaico,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,https://github.com/FolhaSP/mosaico.git,origin_url,aligned
control,GispoCoding/qgis-venv-creator,GispoCoding_qgis-venv-creator,True,False,True,True,True,True,GispoCoding_qgis-venv-creator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,https://github.com/GispoCoding/qgis-venv-creator.git,origin_url,aligned
control,golemfoundation/octant,golemfoundation_octant,True,False,True,True,True,True,golemfoundation_octant,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/golemfoundation_octant,https://github.com/golemfoundation/octant.git,origin_url,aligned
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,Hack-a-Day_2024-Supercon-8-Add-On-Badge,True,False,True,True,True,True,Hack-a-Day_2024-Supercon-8-Add-On-Badge,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,https://github.com/Hack-a-Day/2024-Supercon-8-Add-On-Badge.git,origin_url,aligned
control,harvard-edge/QuaRL,harvard-edge_QuaRL,True,False,True,True,True,True,harvard-edge_QuaRL,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/harvard-edge_QuaRL,https://github.com/harvard-edge/QuaRL.git,origin_url,aligned
control,HelpingAI/Webscout,HelpingAI_Webscout,True,False,True,True,True,True,HelpingAI_Webscout,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,https://github.com/HelpingAI/Webscout.git,origin_url,aligned
control,IBM/mt-rag-benchmark,IBM_mt-rag-benchmark,True,False,True,True,True,True,IBM_mt-rag-benchmark,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/IBM_mt-rag-benchmark,https://github.com/IBM/mt-rag-benchmark.git,origin_url,aligned
control,infected4098/Wave-U-Mamba,infected4098_Wave-U-Mamba,True,False,True,True,True,True,infected4098_Wave-U-Mamba,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/infected4098_Wave-U-Mamba,https://github.com/infected4098/Wave-U-Mamba.git,origin_url,aligned
control,itsKayWat/MindfulShift-2025,itsKayWat_MindfulShift-2025,True,False,True,True,True,True,itsKayWat_MindfulShift-2025,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/itsKayWat_MindfulShift-2025,https://github.com/itsKayWat/MindfulShift-2025.git,origin_url,aligned
control,ITSpecialist111/ai_automation_suggester,ITSpecialist111_ai_automation_suggester,True,False,True,True,True,True,ITSpecialist111_ai_automation_suggester,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ITSpecialist111_ai_automation_suggester,https://github.com/ITSpecialist111/ai_automation_suggester.git,origin_url,aligned
control,jacebrowning/datafiles,jacebrowning_datafiles,True,False,True,True,True,True,jacebrowning_datafiles,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jacebrowning_datafiles,https://github.com/jacebrowning/datafiles.git,origin_url,aligned
control,jfcrenshaw/pzflow,jfcrenshaw_pzflow,True,False,True,True,True,True,jfcrenshaw_pzflow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jfcrenshaw_pzflow,https://github.com/jfcrenshaw/pzflow.git,origin_url,aligned
control,jgwak/GSDN,jgwak_GSDN,True,False,True,True,True,True,jgwak_GSDN,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jgwak_GSDN,https://github.com/jgwak/GSDN.git,origin_url,aligned
control,Jieqianyu/SGN,Jieqianyu_SGN,True,False,True,True,True,True,Jieqianyu_SGN,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Jieqianyu_SGN,https://github.com/Jieqianyu/SGN.git,origin_url,aligned
control,jinli99/iShapEditing,jinli99_iShapEditing,True,False,True,True,True,True,jinli99_iShapEditing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jinli99_iShapEditing,https://github.com/jinli99/iShapEditing.git,origin_url,aligned
control,joereynolds/reap-get,joereynolds_reap-get,True,False,True,True,True,True,joereynolds_reap-get,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/joereynolds_reap-get,https://github.com/joereynolds/reap-get.git,origin_url,aligned
control,jrowellfx/lsseq,jrowellfx_lsseq,True,False,True,True,True,True,jrowellfx_lsseq,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,https://github.com/jrowellfx/lsseq.git,origin_url,aligned
