outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-6,0.0112790356751972,-0.0800792845295239,0.102637355879918,0.0466113878595516,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-5,0.0261872593575198,-0.0852637164255938,0.137638235140633,0.0568627427464865,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-4,0.0280652353473332,-0.0744836354642186,0.130614106158885,0.0523208524548734,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-3,0.0466628118931663,-0.0728840619333577,0.16620968571969,0.0609933029727163,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,-2,0.0210668408905395,-0.063929362247253,0.106063044028332,0.0433654097641798,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,0,0.0439723458510227,-0.0442246752408668,0.132169366942912,0.0449984801489232,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,1,-0.02373173480022,-0.12849970568355,0.0810362360831101,0.053453046369046,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,2,0.0373770428771149,-0.0813990182013907,0.156153103955621,0.0606000311625029,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,3,-0.0302010220903781,-0.133752303495154,0.0733502593143974,0.0528322864310079,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,4,-0.128262580056229,-0.248453973852982,-0.00807118625947568,0.0613221396922209,,TRUE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,5,0.0328189148485947,-0.0743234795428673,0.139961309240057,0.0546644869344194,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
agc_function_change_event_ratio,AGC-Like Event Share | Positive-Event Month,6,0.100016984132668,-0.0874160244113617,0.287449992676697,0.0956290859918517,,FALSE,strict_function_lines_1_8_ratio_python_snapshot_ncloc_calendar_month_parse_clean,ratio,python_snapshot,calendar_month,parse_clean
