dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,435,98,1,2.95014362751053,2.39097384797254,2.19326431012569,0.558154170032955,18158.4114942529
treatment,585,96,1,3.53707303576609,3.00377364834697,2.66504399527079,0.587820637176586,70782.8991452992
