dataset_source,repo_name,latest_commit,relative_path,snapshot_path,manifest_line,content_sha256,size_bytes_manifest,size_bytes_observed,error_type,fallback_reason,physical_lines,blank_lines,comment_only_lines,fallback_ncloc,logical_file_key,logical_file_occurrences,logical_file_unique_contents
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/d34f7b4b43ed87a374f394b0535ed685af66197b/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,a205d1f4be006ea9251a6b5025ac1078148d319907b50e14b924854c6ae8a30d,139358,139358,TokenError,"TokenError: ('EOF in multi-line statement', (3241, 0))",3240,524,136,2580,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,4,1
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/d34f7b4b43ed87a374f394b0535ed685af66197b/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,58eb7c688c7157eb59ef946f2e49ede204a2b8c58b7db714196637954bd02ce6,19719,19719,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)",472,52,161,259,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,4,1
treatment,ericyuegu/hal,05d9e477f28ce8fc61c193ac996eefb2ffc6cc30,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/05d9e477f28ce8fc61c193ac996eefb2ffc6cc30/notebooks/test_streaming_dataloader.py,90,324aa609e109b93a4de85b515a9b1ff6402785fc40335dd58b2f8551748399b2,1919,1919,TokenError,"TokenError: ('EOF in multi-line statement', (90, 0))",89,16,17,56,ericyuegu/hal::notebooks/test_streaming_dataloader.py,5,4
treatment,ericyuegu/hal,34c80ded5abcc8b885bc2cf72df72525f65ebd5e,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/34c80ded5abcc8b885bc2cf72df72525f65ebd5e/notebooks/test_streaming_dataloader.py,70,6b7cb5c6245c0dd2d0919b9264cce0fb72db8104655adb65732446ac988dc005,1183,1183,TokenError,"TokenError: ('EOF in multi-line statement', (61, 0))",60,10,10,40,ericyuegu/hal::notebooks/test_streaming_dataloader.py,5,4
treatment,ericyuegu/hal,472900b29dd21457804ed83eea31a4e9007f30fa,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/472900b29dd21457804ed83eea31a4e9007f30fa/notebooks/test_streaming_dataloader.py,72,99b069a316ca991896b8f38a09eb0c5d12b9122f67521fdae8a030a4cd57f8f7,1403,1403,TokenError,"TokenError: ('EOF in multi-line statement', (74, 0))",73,14,13,46,ericyuegu/hal::notebooks/test_streaming_dataloader.py,5,4
treatment,ericyuegu/hal,c90449941213af91277b88bef9aad2b0f29bbb56,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/c90449941213af91277b88bef9aad2b0f29bbb56/notebooks/test_streaming_dataloader.py,98,324aa609e109b93a4de85b515a9b1ff6402785fc40335dd58b2f8551748399b2,1919,1919,TokenError,"TokenError: ('EOF in multi-line statement', (90, 0))",89,16,17,56,ericyuegu/hal::notebooks/test_streaming_dataloader.py,5,4
treatment,ericyuegu/hal,e57df07e946a03f62138dba1116469e87b71dad0,notebooks/test_streaming_dataloader.py,repo_python/run-py-3a/strict/python_snapshots/treatment/ericyuegu_hal/e57df07e946a03f62138dba1116469e87b71dad0/notebooks/test_streaming_dataloader.py,65,c7a86d52b70877f57467bf16d7fc5f728b1098de24141762cd9da558f32fed9b,1049,1049,TokenError,"TokenError: ('EOF in multi-line statement', (54, 0))",53,9,8,36,ericyuegu/hal::notebooks/test_streaming_dataloader.py,5,4
treatment,getsentry/sentry,2d92281805254325dbedb3cafcfdd53d09b1d9df,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/2d92281805254325dbedb3cafcfdd53d09b1d9df/src/sentry/utils/snuba.py,4004,06a4369433a16b04b72b9f5ce712769d1300524a36722c0a49415dc0cccc2cd3,74308,74308,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)",2061,324,136,1601,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,32cb664b86c13cc020c06f7e208cd9a62e6891a0,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/32cb664b86c13cc020c06f7e208cd9a62e6891a0/src/sentry/utils/snuba.py,4099,06a4369433a16b04b72b9f5ce712769d1300524a36722c0a49415dc0cccc2cd3,74308,74308,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)",2061,324,136,1601,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,4f2be477198bf2814c6d6cd4b80ba19cbe386908,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/4f2be477198bf2814c6d6cd4b80ba19cbe386908/src/sentry/utils/snuba.py,3766,6bf38ba52576d0984f32856e5a08f879c098d815112838544febdaaaea990e98,74271,74271,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)",2061,324,136,1601,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,71c2f5f3925610f3aa1871ace1c20f48eeff3db8,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/71c2f5f3925610f3aa1871ace1c20f48eeff3db8/src/sentry/utils/snuba.py,3838,a3c7c9fecc5bb25d3b2677aae5e9dd031fafe378f2b7e3022fecbb4f123456a4,79445,79445,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1194)",2184,338,141,1705,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,975f8d773e5a6c5ed6595176a42ff31e887ec95d,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/975f8d773e5a6c5ed6595176a42ff31e887ec95d/src/sentry/utils/snuba.py,3665,f17c1411d6557b3d6648e934dd75fad9ba64af584d3504fffaa5cf0edf033726,74301,74301,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1169)",2061,324,136,1601,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,b9dc9712a91c4dbf3cb1550254113c1599388e57,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/b9dc9712a91c4dbf3cb1550254113c1599388e57/src/sentry/utils/snuba.py,3937,65c4268db0aca6c7b232aa28970b1a7e80b37c963df5877004b8f1518c888893,79915,79915,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1193)",2193,339,144,1710,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,getsentry/sentry,c4502d06cff34abeb8f58810743fb907ee914348,src/sentry/utils/snuba.py,repo_python/run-py-3a/strict/python_snapshots/treatment/getsentry_sentry/c4502d06cff34abeb8f58810743fb907ee914348/src/sentry/utils/snuba.py,3895,608a045f5d48ca9f4e2c55d495e98c2472690e3c9201b95630ffb7d4f07f92d2,73164,73164,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1150)",2040,323,134,1583,getsentry/sentry::src/sentry/utils/snuba.py,7,6
treatment,yagami1997/TradeMind,780f475050fbfda4467f51886b984bef6546321e,project_management/reference/stock_analyzer_original_backup.py,repo_python/run-py-3a/strict/python_snapshots/treatment/yagami1997_TradeMind/780f475050fbfda4467f51886b984bef6546321e/project_management/reference/stock_analyzer_original_backup.py,1,ea8c5680b1058215c7f7762849aef38e640e3a5cb424cf59c2e89e402a067b42,89736,89736,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 1805)",2095,276,211,1608,yagami1997/TradeMind::project_management/reference/stock_analyzer_original_backup.py,1,1
