dataset_source,repo_name,latest_commit,relative_path,snapshot_path,manifest_line,fallback_reason
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/3efdae9483742dd2e2d63331ebdf67972492c9c7/test_score.py,24,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)"
control,Drchip61/Dual_SAM,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/5f38d57c5ccaa4e16693d0b77f09c984901ac5b9/test_score.py,24,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)"
control,Drchip61/Dual_SAM,cf57ce7726f1d40206e0793cb096c1fc48f73425,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/cf57ce7726f1d40206e0793cb096c1fc48f73425/test_score.py,24,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)"
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)"
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,"TokenError: ('EOF in multi-line statement', (3241, 0))"
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)"
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)"
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,"TokenError: ('EOF in multi-line statement', (3241, 0))"
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)"
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/ab55510b0e19b0dcdb274e7ef5421827d0c237d0/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)"
