repo_name,project_key,month,latest_commit,sonarqube_version,analysis_date,previous_analysis_date,issue_key,type,severity,message,component,line,rule,effort,creation_date,update_date,status,resolution
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,2b1f4097-2fb2-433f-9b8f-287522084887,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/caches.py,60.0,python:S3776,16min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,edfc83e3-fb77-4936-aa4c-349990ff68bc,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""latest-44-nixos-25.11"" 3 times.",utensils_mcp-nixos:mcp_nixos/config.py,28.0,python:S1192,6min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,74a29726-55e5-474b-8cbb-4857315ce2e8,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 109 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/server.py,198.0,python:S3776,1h39min,2026-06-18T05:37:16+0000,2026-06-18T17:48:57+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,fd997f6c-1cbc-44e3-b197-8b087ad96c1f,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 61 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/server.py,479.0,python:S3776,51min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,55317d43-acea-4995-b0e5-173de94c951c,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/server.py,573.0,python:S3776,11min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,fdc1bde1-97a6-484b-9ad9-a4ecff14d50f,CODE_SMELL,MAJOR,"Remove the unused function parameter ""resolved"".",utensils_mcp-nixos:mcp_nixos/sources/base.py,100.0,python:S1172,5min,2026-06-18T05:37:16+0000,2026-06-18T17:48:57+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,8157255f-6bdd-4cec-a89d-d8db5b3b1800,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/sources/base.py,168.0,python:S3776,7min,2026-06-18T05:37:16+0000,2026-06-18T17:48:57+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,6d86db00-b740-42fd-95e5-99a5b700da78,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/sources/base.py,216.0,python:S3776,15min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,9b03b18f-37ae-48df-abae-c80af6234cf3,CODE_SMELL,MAJOR,"Remove this ""timeout"" parameter and use a timeout context manager instead.",utensils_mcp-nixos:mcp_nixos/sources/flake_inputs.py,54.0,python:S7483,5min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,2cedbb31-3a9d-4b98-bd57-80e5ae97a1d7,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""Nix is not installed or not in PATH"" 3 times.",utensils_mcp-nixos:mcp_nixos/sources/flake_inputs.py,142.0,python:S1192,6min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,d1ab0192-21a0-4327-9cbe-0d48ad74409b,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""No flake data returned"" 3 times.",utensils_mcp-nixos:mcp_nixos/sources/flake_inputs.py,149.0,python:S1192,6min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,9595393a-3276-49c6-93e1-9a2c3c83400d,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/sources/flake_inputs.py,168.0,python:S3776,20min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,5be98a76-2d80-4441-8b50-b2224643eece,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,utensils_mcp-nixos:mcp_nixos/sources/flake_inputs.py,249.0,python:S3776,7min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
utensils/mcp-nixos,utensils_mcp-nixos,2026-03,60c1efbba0de1268b42f1144c904e6c8a9627dde,2026-03,2026-06-18T17:48:41+0000,2026-06-18T05:37:16+0000,7661dcbf-6847-43fa-8cb4-52caddb4aebf,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""application/json"" 3 times.",utensils_mcp-nixos:mcp_nixos/sources/flakehub.py,14.0,python:S1192,6min,2026-06-18T05:37:16+0000,2026-06-18T05:37:16+0000,OPEN,
