dataset_source,rows,repositories,mean_has_function_change_event,mean_log1p_function_change_events,mean_log1p_agc_function_change_events,mean_log1p_hwc_function_change_events,mean_agc_function_change_event_ratio,mean_ncloc
control,770,118,0.741558441558442,2.83586814408402,1.80201404640579,2.6413090556089,0.230232390782049,14132.5051948052
treatment,848,100,0.840801886792453,3.94108677387859,2.70946004860474,3.70706936303654,0.236068819874868,58336.5919811321
