outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,sample_type,ncloc_spec,time_mode,parse_exclusion_mode
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-3,0.0497823045055914,-0.38767500797688,0.487239616988063,0.223192506368608,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),-2,0.292149676791578,-0.256316003987135,0.84061535757029,0.279829428968731,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),0,0.655008475105732,0.175579735436237,1.13443721477523,0.244606499831375,,TRUE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),1,0.42339616365697,-0.108077587812224,0.954869915126165,0.271160077280201,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),2,0.175082356895659,-0.43687412431907,0.787038838110388,0.312222694497311,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),3,-0.118590293677091,-0.737041496341717,0.499860908987536,0.315536327890115,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),4,-0.418078111064024,-1.08266103891916,0.246504816791112,0.339072922375069,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),5,-0.0871381583924741,-0.743281813559586,0.569005496774638,0.334767171003629,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_agc_function_change_events,AGC-Like Function-Change Events (log1p),6,-0.0258386191630728,-0.835514860580274,0.783837622254128,0.413100123172041,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-6,0.0808418064184236,-0.484801209411066,0.646484822247913,0.288593375423209,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-5,0.102941872001101,-0.307224091493583,0.513107835495785,0.209268348721777,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-4,0.0271368100420702,-0.38436872637572,0.43864234645986,0.209951804294791,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-3,0.279809605977684,-0.186065476724459,0.745684688679827,0.237691368725583,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),-2,0.441367802678332,-0.0861559864578256,0.968891591814489,0.269144790375591,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),0,0.812437611080932,0.263580983021736,1.36129423914013,0.280028891866937,,TRUE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),1,0.605950846184323,0.0114491698782747,1.20045252249037,0.3033171817888,,TRUE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),2,0.407549936838055,-0.273389622472115,1.08848949614822,0.347418142505189,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),3,-0.058626410234943,-0.728607258788793,0.611354438318907,0.341826963547883,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),4,-0.29072756722372,-0.991150655631476,0.409695521184035,0.357358718575386,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),5,-0.213232540725444,-0.877620753497898,0.451155672047011,0.33897357794513,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
log1p_hwc_function_change_events,HWC-Like Function-Change Events (log1p),6,-0.339964516769019,-1.18539287309372,0.505463839555678,0.431340998124846,,FALSE,strict_full_python_snapshot_ncloc,full,python_snapshot,calendar_month,all
