time,exact_commit_rows,unique_repos,median_abs_diff_ncloc,mean_diff_ncloc,median_abs_diff_bugs,mean_diff_bugs,median_abs_diff_vulnerabilities,mean_diff_vulnerabilities,median_abs_diff_code_smells,mean_diff_code_smells,median_abs_diff_duplicated_lines_density,mean_diff_duplicated_lines_density,median_abs_diff_comment_lines_density,mean_diff_comment_lines_density,median_abs_diff_cognitive_complexity,mean_diff_cognitive_complexity,median_abs_diff_technical_debt,mean_diff_technical_debt,median_abs_diff_static_analysis_warnings,mean_diff_static_analysis_warnings
2024-01,42,42,0.0,-161.8095238095238,2.5,-64.73809523809524,1.0,4.833333333333333,30.0,135.3095238095238,0.0,-0.7214285714285713,0.0,0.12380952380952384,0.0,-58.73809523809524,140.0,32.833333333333336,35.5,75.4047619047619
2024-02,48,48,0.0,28.979166666666668,1.0,-14.145833333333334,1.0,4.4375,19.5,54.125,0.0,0.027083333333333303,0.0,-0.01041666666666676,0.0,-1.3125,95.0,-212.97916666666666,19.5,44.416666666666664
2024-03,55,55,0.0,-11.30188679245283,1.0,-49.43636363636364,1.0,3.672727272727273,13.0,93.92727272727272,0.0,-0.4433962264150942,0.0,-0.00943396226415101,0.0,-1.4150943396226414,61.0,-22.12727272727273,15.0,48.163636363636364
2024-04,55,55,0.0,119.42592592592592,2.0,-39.85454545454545,1.0,6.581818181818182,21.0,141.07272727272726,0.0,-0.4425925925925927,0.0,-0.1,0.0,6.092592592592593,88.0,224.29090909090908,20.0,107.8
2024-05,59,59,0.0,197.91379310344828,2.0,-47.45762711864407,1.0,4.728813559322034,25.0,118.72881355932203,0.0,-0.4362068965517242,0.0,-0.09827586206896555,0.0,7.706896551724138,111.0,114.9322033898305,29.0,76.0
2024-06,62,62,0.0,318.8032786885246,0.0,-39.596774193548384,1.0,3.774193548387097,17.0,106.46774193548387,0.0,-0.42950819672131146,0.0,-0.08032786885245893,0.0,13.540983606557377,77.5,74.33870967741936,19.5,70.64516129032258
2024-07,70,70,0.0,145.9855072463768,0.0,-40.65714285714286,1.0,3.8142857142857145,24.5,77.67142857142858,0.0,-0.33768115942028987,0.0,0.04637681159420306,0.0,-350.05797101449275,99.5,-47.614285714285714,24.0,40.82857142857143
2024-08,78,78,0.0,416.94736842105266,0.0,-10.441558441558442,0.0,3.2987012987012987,16.0,44.90909090909091,0.0,0.002631578947368406,0.0,-0.07500000000000005,0.0,17.263157894736842,84.0,-85.58441558441558,16.5,-446.29487179487177
2024-09,69,69,0.0,506.6666666666667,0.5,-13.014705882352942,1.0,5.573529411764706,22.0,66.58823529411765,0.0,0.036363636363636355,0.0,-0.08030303030303022,0.0,23.257575757575758,84.0,-85.57352941176471,25.0,-488.4347826086956
2024-10,82,82,0.0,565.225,0.0,-11.135802469135802,1.0,5.1234567901234565,11.0,58.592592592592595,0.0,-0.10125000000000002,0.0,-0.07125000000000001,0.0,25.6875,77.0,-5.753086419753086,12.5,-408.1219512195122
2024-11,84,84,0.0,599.6867469879518,1.0,-40.44047619047619,0.5,3.0714285714285716,12.0,146.0,0.0,-0.38313253012048193,0.0,-0.06867469879518066,0.0,28.14457831325301,65.0,363.29761904761904,14.0,108.63095238095238
2024-12,95,95,0.0,531.2197802197802,0.0,-29.357894736842105,0.0,2.736842105263158,9.0,134.9578947368421,0.0,-0.2560439560439561,0.0,-0.07362637362637374,0.0,27.846153846153847,45.0,384.0105263157895,10.0,108.33684210526316
2025-01,102,102,0.0,518.0510204081633,1.0,-27.07843137254902,0.0,2.9705882352941178,12.0,133.19607843137254,0.0,-0.25102040816326526,0.0,-0.08163265306122444,0.0,26.908163265306122,50.0,380.0098039215686,13.0,109.08823529411765
2025-02,111,111,0.0,437.5963302752294,1.0,-28.126126126126128,0.0,3.324324324324324,17.0,138.35135135135135,0.0,-0.18623853211009173,0.0,-0.025688073394495418,0.0,-216.36111111111111,96.0,411.1171171171171,20.0,113.54954954954955
2025-03,120,120,0.0,741.8220338983051,1.0,-19.364406779661017,0.0,3.1864406779661016,14.5,125.11864406779661,0.0,0.15677966101694904,0.0,-0.11101694915254237,0.0,43.02542372881356,63.0,419.6694915254237,17.5,-42.916666666666664
2025-04,95,95,0.0,166.45744680851064,2.0,-45.202127659574465,0.5,3.734042553191489,24.0,-7.404255319148936,0.0,0.12553191489361684,0.0,-0.11489361702127669,0.0,-182.30851063829786,103.0,-379.7340425531915,28.0,-240.4
2025-05,81,81,0.0,989.3625,1.0,-33.2,0.0,4.175,23.5,130.7125,0.0,-0.08125,0.0,-0.08125000000000002,0.0,54.85,100.5,337.925,25.0,-122.35802469135803
2025-06,81,81,0.0,1175.275,2.0,-39.67901234567901,1.0,5.037037037037037,32.0,145.679012345679,0.0,-0.06750000000000003,0.0,-0.14250000000000007,0.0,67.0,125.0,294.8641975308642,35.0,111.03703703703704
2025-07,67,67,0.0,472.7761194029851,3.0,-47.44776119402985,1.0,5.2835820895522385,34.0,148.044776119403,0.0,-0.07910447761194035,0.0,-0.16716417910447764,0.0,28.492537313432837,160.0,365.5820895522388,43.0,105.88059701492537
2025-08,61,61,0.0,1772.655737704918,3.0,-49.09836065573771,1.0,4.508196721311475,27.0,179.08196721311475,0.0,-0.052459016393442595,0.0,-0.11639344262295087,0.0,92.70491803278688,130.0,304.04918032786884,40.0,134.49180327868854
