metric,value
paper_panel_rows,22096
paper_panel_unique_repo_months,21943
paper_panel_unique_repos,2002
paper_duplicate_repo_month_rows,204
treatment_scan_rows,1264
control_scan_rows,1779
combined_scan_rows,3043
combined_scan_unique_repo_months,3043
combined_scan_unique_repos,220
combined_scan_duplicate_repo_month_rows,0
combined_scan_rows_overlap_with_paper,2169
combined_scan_unique_repo_months_overlap_with_paper,2169
combined_scan_rows_missing_in_paper,874
combined_scan_unique_repo_months_missing_in_paper,874
treatment_scan_rows_overlap_with_paper,1002
treatment_scan_rows_missing_in_paper,262
control_scan_rows_overlap_with_paper,1167
control_scan_rows_missing_in_paper,612
treatment_overlap_output_rows,1002
control_overlap_output_rows,1167
final_did_input_rows,1603
final_did_unique_repo_months,1603
final_did_unique_repos,219
final_did_duplicate_repo_month_rows,0
final_rows_overlap_with_paper,1588
final_rows_missing_in_paper,15
final_rows_overlap_with_scan,1603
final_rows_missing_in_scan,0
final_extra_scan_rows_used,15
paper_repo_months_for_final_repos,2169
paper_repo_months_for_final_repos_missing_in_final,581
