metric,exact_commit_rows,comparable_non_null,identical_rows,identical_share_among_non_null,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
ncloc,1517,1488,911,0.6122311827956989,513.799059139785,0.0,0.0,466.0,2595.0,21561.39999999998,133392.0,58930.905913978495,59444.70497311828
bugs,1517,1510,683,0.452317880794702,-32.880132450331125,0.0,1.0,31.100000000000136,184.54999999999995,1636.8700000000865,3864.0,74.40794701986755,41.527814569536424
vulnerabilities,1517,1510,755,0.5,4.0370860927152314,0.0,0.5,14.0,25.0,62.280000000000655,137.0,3.7582781456953644,7.795364238410596
code_smells,1517,1510,153,0.10132450331125828,108.72649006622517,5.0,19.5,344.0,843.0,3145.080000000081,8448.0,905.3543046357615,1014.0807947019867
duplicated_lines_density,1517,1488,1239,0.8326612903225806,-0.16586021505376344,0.0,0.0,0.5,1.3,6.499999999999999,46.599999999999994,6.46633064516129,6.300470430107526
comment_lines_density,1517,1488,1257,0.844758064516129,-0.07298387096774193,0.0,0.0,0.10000000000000142,0.3000000000000007,5.225999999999976,15.7,15.701545698924733,15.62856182795699
cognitive_complexity,1517,1487,1301,0.874915938130464,-20.75521183591123,0.0,0.0,19.0,113.0,1299.4800000000032,29442.0,5291.303295225286,5270.548083389374
technical_debt,1517,1510,139,0.09205298013245033,169.9569536423841,17.0,85.0,1842.6000000000008,3903.949999999999,16803.950000000004,56847.0,6223.3761589403975,6393.333112582782
static_analysis_warnings,1517,1517,130,0.08569545154911008,-30.876071193144362,7.0,21.0,544.0000000000009,982.2,2023.0,37725.0,1089.3731048121292,1058.497033618985
