target_id,variant,source_group,repo_name,time,scan_commit,commit_match_status,main_root_cause,metric,paper_value,our_pyv2_value,sensitivity_value,abs_diff_our_to_paper,abs_diff_sensitivity_to_paper,improvement_abs_diff,improved_vs_pyv2,scan_success,metrics_found,scan_note
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,vulnerabilities,0.0,4.0,4.0,4.0,4.0,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,vulnerabilities,38.0,117.0,118.0,79.0,80.0,-1.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,bugs,262.0,72.0,60.0,190.0,202.0,-12.0,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,bugs,4466.0,602.0,579.0,3864.0,3887.0,-23.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,bugs,324.0,309.0,71.0,15.0,253.0,-238.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,code_smells,3137.0,2148.0,1412.0,989.0,1725.0,-736.0,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,code_smells,33270.0,24822.0,23704.0,8448.0,9566.0,-1118.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,code_smells,11012.0,13226.0,4415.0,2214.0,6597.0,-4383.0,False,True,True,ok
3,scope_exclude_common,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,37975.0,37862.0,26732.0,113.0,11243.0,-11130.0,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,94814.0,65372.0,40449.0,29442.0,54365.0,-24923.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,69756.0,76027.0,38325.0,6271.0,31431.0,-25160.0,False,True,True,ok
2,scope_exclude_common,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,4.7,4.9,7.5,0.20000000000000018,2.8,-2.5999999999999996,False,True,True,ok
1,scope_exclude_common,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,6.0,8.1,14.2,2.0999999999999996,8.2,-6.1,False,True,True,ok
